       2447892.50000 -0.171978156469E-01 -0.292567960598E-02 -0.126939936943E-02
       2447893.50000 -0.171381341688E-01 -0.320203981123E-02 -0.138917558388E-02
       2447894.50000 -0.170729548841E-01 -0.347708735345E-02 -0.150834460529E-02
       2447895.50000 -0.170023914456E-01 -0.375069565904E-02 -0.162685497764E-02
       2447896.50000 -0.169265707278E-01 -0.402275944769E-02 -0.174466700833E-02
       2447897.50000 -0.168456266306E-01 -0.429319866178E-02 -0.186175436112E-02
       2447898.50000 -0.167596917884E-01 -0.456196127717E-02 -0.197810492324E-02
       2447899.50000 -0.166688871787E-01 -0.482902372772E-02 -0.209372029243E-02
       2447900.50000 -0.165733108255E-01 -0.509438737508E-02 -0.220861315897E-02
       2447901.50000 -0.164730282459E-01 -0.535807015123E-02 -0.232280231883E-02
       2447902.50000 -0.163680678915E-01 -0.562009429553E-02 -0.243630602174E-02
       2447903.50000 -0.162584236493E-01 -0.588047311652E-02 -0.254913531083E-02
       2447904.50000 -0.161440638115E-01 -0.613920050217E-02 -0.266128923376E-02
       2447905.50000 -0.160249434053E-01 -0.639624576344E-02 -0.277275304114E-02
       2447906.50000 -0.159010159862E-01 -0.665155408669E-02 -0.288349924173E-02
       2447907.50000 -0.157722421051E-01 -0.690505090009E-02 -0.299349044445E-02
       2447908.50000 -0.156385935700E-01 -0.715664775830E-02 -0.310268269010E-02
       2447909.50000 -0.155000541479E-01 -0.740624777895E-02 -0.321102830303E-02
       2447910.50000 -0.153566180189E-01 -0.765374953966E-02 -0.331847779203E-02
       2447911.50000 -0.152082872950E-01 -0.789904910930E-02 -0.342498072372E-02
       2447912.50000 -0.150550696369E-01 -0.814204034688E-02 -0.353048570985E-02
       2447913.50000 -0.148969767150E-01 -0.838261381959E-02 -0.363493974231E-02
       2447914.50000 -0.147340240647E-01 -0.862065481453E-02 -0.373828715963E-02
       2447915.50000 -0.145662327315E-01 -0.885604106099E-02 -0.384046859127E-02
       2447916.50000 -0.143936328641E-01 -0.908864097626E-02 -0.394142031065E-02
       2447917.50000 -0.142162689851E-01 -0.931831341806E-02 -0.404107448474E-02
       2447918.50000 -0.140342060203E-01 -0.954490988808E-02 -0.413936074242E-02
       2447919.50000 -0.138475345053E-01 -0.976827968116E-02 -0.423620920407E-02
       2447920.50000 -0.136563731030E-01 -0.998827758187E-02 -0.433155463377E-02
       2447921.50000 -0.134608670365E-01 -0.102047726825E-01 -0.442534087896E-02
       2447922.50000 -0.132611822521E-01 -0.104176563027E-01 -0.451752454178E-02
       2447923.50000 -0.130574964917E-01 -0.106268472496E-01 -0.460807705739E-02
       2447924.50000 -0.128499892183E-01 -0.108322936385E-01 -0.469698491500E-02
       2447925.50000 -0.126388321471E-01 -0.110339715698E-01 -0.478424829895E-02
       2447926.50000 -0.124241813361E-01 -0.112318815178E-01 -0.486987865963E-02
       2447927.50000 -0.122061710526E-01 -0.114260431951E-01 -0.495389562422E-02
       2447928.50000 -0.119849094093E-01 -0.116164892568E-01 -0.503632343477E-02
       2447929.50000 -0.117604760368E-01 -0.118032579839E-01 -0.511718700552E-02
       2447930.50000 -0.115329223886E-01 -0.119863853125E-01 -0.519650783095E-02
       2447931.50000 -0.113022751914E-01 -0.121658971155E-01 -0.527430025019E-02
       2447932.50000 -0.110685428780E-01 -0.123418030699E-01 -0.535056874250E-02
       2447933.50000 -0.108317238834E-01 -0.125140933127E-01 -0.542530679612E-02
       2447934.50000 -0.105918150355E-01 -0.126827383607E-01 -0.549849746778E-02
       2447935.50000 -0.103488183294E-01 -0.128476918002E-01 -0.557011525669E-02
       2447936.50000 -0.101027450781E-01 -0.130088945613E-01 -0.564012860905E-02
       2447937.50000 -0.985361733920E-02 -0.131662794360E-01 -0.570850235392E-02
       2447938.50000 -0.960146721074E-02 -0.133197747897E-01 -0.577519957171E-02
       2447939.50000 -0.934633489728E-02 -0.134693068888E-01 -0.584018266077E-02
       2447940.50000 -0.908826645509E-02 -0.136148006786E-01 -0.590341358242E-02
       2447941.50000 -0.882731200511E-02 -0.137561791292E-01 -0.596485340104E-02
       2447942.50000 -0.856352508570E-02 -0.138933614500E-01 -0.602446132214E-02
       2447943.50000 -0.829696373564E-02 -0.140262606615E-01 -0.608219352287E-02
       2447944.50000 -0.802769377004E-02 -0.141547812918E-01 -0.613800220255E-02
       2447945.50000 -0.775579436539E-02 -0.142788183279E-01 -0.619183544414E-02
       2447946.50000 -0.748136532409E-02 -0.143982588433E-01 -0.624363857295E-02
       2447947.50000 -0.720453424397E-02 -0.145129875632E-01 -0.629335753564E-02
       2447948.50000 -0.692546072116E-02 -0.146228966155E-01 -0.634094422200E-02
       2447949.50000 -0.664433458551E-02 -0.147278978440E-01 -0.638636267914E-02
       2447950.50000 -0.636136679729E-02 -0.148279341911E-01 -0.642959432196E-02
       2447951.50000 -0.607677465195E-02 -0.149229862174E-01 -0.647064023253E-02
       2447952.50000 -0.579076554868E-02 -0.150130715554E-01 -0.650951971811E-02
       2447953.50000 -0.550352393825E-02 -0.150982380323E-01 -0.654626583683E-02
       2447954.50000 -0.521520406784E-02 -0.151785533969E-01 -0.658091958834E-02
       2447955.50000 -0.492592842719E-02 -0.152540948632E-01 -0.661352441894E-02
       2447956.50000 -0.463579009310E-02 -0.153249404781E-01 -0.664412194555E-02
       2447957.50000 -0.434485696235E-02 -0.153911628276E-01 -0.667274901989E-02
       2447958.50000 -0.405317657716E-02 -0.154528246849E-01 -0.669943583760E-02
       2447959.50000 -0.376078106885E-02 -0.155099760414E-01 -0.672420476856E-02
