       2433282.50000 -0.171841628965E-01 -0.299709503034E-02 -0.130034127291E-02
       2433283.50000 -0.171240339368E-01 -0.327128410755E-02 -0.141913258254E-02
       2433284.50000 -0.170588910380E-01 -0.354436339500E-02 -0.153742484979E-02
       2433285.50000 -0.169887861560E-01 -0.381630286245E-02 -0.165521088966E-02
       2433286.50000 -0.169137583711E-01 -0.408708281816E-02 -0.177248940000E-02
       2433287.50000 -0.168338286624E-01 -0.435669058134E-02 -0.188926326145E-02
       2433288.50000 -0.167489961902E-01 -0.462511502255E-02 -0.200553664991E-02
       2433289.50000 -0.166592372047E-01 -0.489233979273E-02 -0.212131138170E-02
       2433290.50000 -0.165645070023E-01 -0.515833645953E-02 -0.223658314291E-02
       2433291.50000 -0.164647445504E-01 -0.542305868041E-02 -0.235133822309E-02
       2433292.50000 -0.163598789210E-01 -0.568643805552E-02 -0.246555112131E-02
       2433293.50000 -0.162498367198E-01 -0.594838177838E-02 -0.257918310744E-02
       2433294.50000 -0.161345500762E-01 -0.620877199708E-02 -0.269218170193E-02
       2433295.50000 -0.160139650386E-01 -0.646746699916E-02 -0.280448113982E-02
       2433296.50000 -0.158880500178E-01 -0.672430467814E-02 -0.291600407434E-02
       2433297.50000 -0.157568032484E-01 -0.697910877218E-02 -0.302666480603E-02
       2433298.50000 -0.156202575572E-01 -0.723169775478E-02 -0.313637400582E-02
       2433299.50000 -0.154784807340E-01 -0.748189514150E-02 -0.324504429574E-02
       2433300.50000 -0.153315708672E-01 -0.772953901932E-02 -0.335259551060E-02
       2433301.50000 -0.151796477199E-01 -0.797448855746E-02 -0.345895840393E-02
       2433302.50000 -0.150228425727E-01 -0.821662629313E-02 -0.356407609498E-02
       2433303.50000 -0.148612891621E-01 -0.845585649704E-02 -0.366790336881E-02
       2433304.50000 -0.146951174548E-01 -0.869210105270E-02 -0.377040457123E-02
       2433305.50000 -0.145244507066E-01 -0.892529459035E-02 -0.387155103303E-02
       2433306.50000 -0.143494052525E-01 -0.915538025276E-02 -0.397131878102E-02
       2433307.50000 -0.141700920185E-01 -0.938230685864E-02 -0.406968697131E-02
       2433308.50000 -0.139866187206E-01 -0.960602770282E-02 -0.416663719525E-02
       2433309.50000 -0.137990918705E-01 -0.982650090099E-02 -0.426215362551E-02
       2433310.50000 -0.136076178605E-01 -0.100436909965E-01 -0.435622386294E-02
       2433311.50000 -0.134123025001E-01 -0.102575713830E-01 -0.444884025349E-02
       2433312.50000 -0.132132484882E-01 -0.104681268652E-01 -0.454000131618E-02
       2433313.50000 -0.130105505745E-01 -0.106753553685E-01 -0.462971274853E-02
       2433314.50000 -0.128042887677E-01 -0.108792675453E-01 -0.471798732274E-02
       2433315.50000 -0.125945208888E-01 -0.110798831008E-01 -0.480484300921E-02
       2433316.50000 -0.123812767419E-01 -0.112772233785E-01 -0.489029903811E-02
       2433317.50000 -0.121645565073E-01 -0.114713011334E-01 -0.497437035788E-02
       2433318.50000 -0.119443350360E-01 -0.116621099046E-01 -0.505706177282E-02
       2433319.50000 -0.117205716562E-01 -0.118496160119E-01 -0.513836341133E-02
       2433320.50000 -0.114932230014E-01 -0.120337553470E-01 -0.521824874896E-02
       2433321.50000 -0.112622555302E-01 -0.122144352626E-01 -0.529667541031E-02
       2433322.50000 -0.110276552160E-01 -0.123915401744E-01 -0.537358804110E-02
       2433323.50000 -0.107894335238E-01 -0.125649388782E-01 -0.544892218084E-02
       2433324.50000 -0.105476301276E-01 -0.127344920346E-01 -0.552260828676E-02
       2433325.50000 -0.103023132660E-01 -0.129000591166E-01 -0.559457550957E-02
       2433326.50000 -0.100535783638E-01 -0.130615047015E-01 -0.566475514535E-02
       2433327.50000 -0.980154509353E-02 -0.132187040792E-01 -0.573308374395E-02
       2433328.50000 -0.954635286612E-02 -0.133715478992E-01 -0.579950572102E-02
       2433329.50000 -0.928815497586E-02 -0.135199453311E-01 -0.586397518326E-02
       2433330.50000 -0.902711207716E-02 -0.136638252556E-01 -0.592645669155E-02
       2433331.50000 -0.876338601104E-02 -0.138031353773E-01 -0.598692488565E-02
       2433332.50000 -0.849713496816E-02 -0.139378396672E-01 -0.604536317519E-02
       2433333.50000 -0.822851058250E-02 -0.140679149248E-01 -0.610176191864E-02
       2433334.50000 -0.795765700698E-02 -0.141933473509E-01 -0.615611657350E-02
       2433335.50000 -0.768471156600E-02 -0.143141298529E-01 -0.620842621957E-02
       2433336.50000 -0.740980632795E-02 -0.144302605235E-01 -0.625869270511E-02
       2433337.50000 -0.713306986775E-02 -0.145417424473E-01 -0.630692051377E-02
       2433338.50000 -0.685462850000E-02 -0.146485847732E-01 -0.635311732936E-02
       2433339.50000 -0.657460627823E-02 -0.147508047890E-01 -0.639729516617E-02
       2433340.50000 -0.629312307250E-02 -0.148484304795E-01 -0.643947179282E-02
       2433341.50000 -0.601029016777E-02 -0.149415026664E-01 -0.647967196581E-02
       2433342.50000 -0.572620328883E-02 -0.150300753530E-01 -0.651792772116E-02
       2433343.50000 -0.544093398371E-02 -0.151142125807E-01 -0.655427678600E-02
       2433344.50000 -0.515452183040E-02 -0.151939804821E-01 -0.658875835236E-02
       2433345.50000 -0.486697124912E-02 -0.152694347845E-01 -0.662140629442E-02
       2433346.50000 -0.457825644096E-02 -0.153406065850E-01 -0.665224131584E-02
       2433347.50000 -0.428833519317E-02 -0.154074912985E-01 -0.668126469425E-02
       2433348.50000 -0.399716803145E-02 -0.154700452994E-01 -0.670845614761E-02
       2433349.50000 -0.370473639579E-02 -0.155281915239E-01 -0.673377661240E-02
