# Station: CNEOS,,
# Time (s), Height (km), Abs Magnitude
-0.2972,70.56075, -12.14
-0.2805,70.39880, -13.08
-0.2639,70.23459, -13.21
-0.2472,70.06805, -12.40
-0.2305,69.89934, -12.14
-0.2138,69.72798, -12.37
-0.1971,69.55454, -14.02
-0.1804,69.37891, -14.03
-0.1637,69.20107, -13.95
-0.1470,69.02087, -13.58
-0.1304,68.83862, -13.56
-0.1137,68.65422, -13.73
-0.1000, 68.50157, -12.96
-0.0970,68.46768, -13.80
-0.0803,68.27916, -13.84
-0.0636,68.08836, -13.66
-0.0469,67.89560, -13.27
-0.0302,67.70081, -13.79
-0.0135,67.50404, -13.79
 0.0006, 67.33535, -12.70
 0.0032,67.30524, -13.98
 0.0198,67.10455, -13.76
 0.0365,66.90198, -14.25
 0.0532,66.69748, -14.39
 0.0699,66.49116, -14.42
 0.0866,66.28304, -14.62
 0.1015, 66.09512, -14.42
 0.1033,66.07288, -14.30
 0.1199,65.86109, -14.38
 0.1366,65.64739, -14.73
 0.1533,65.43201, -14.68
 0.1700,65.21482, -14.32
 0.1867,64.99603, -14.39
 0.2021, 64.79175, -14.71
 0.2033,64.77549, -14.50
 0.2200,64.55325, -14.09
 0.2367,64.32933, -14.39
 0.2534,64.10381, -14.56
 0.2701,63.87674, -14.65
 0.2868,63.64800, -14.52
 0.3030, 63.42408, -14.84
 0.3034,63.41775, -14.50
 0.3201,63.18616, -14.61
 0.3368,62.95293, -14.68
 0.3535,62.71826, -14.64
 0.3702,62.48211, -14.68
 0.3868,62.24465, -14.64
 0.4035,62.00554, -14.76
 0.4036, 62.00422, -14.86
 0.4202,61.76523, -14.94
 0.4369,61.52357, -15.19
 0.4535,61.28036, -14.97
 0.4702,61.03582, -15.00
 0.4869,60.78991, -14.95
 0.5036,60.54282, -14.85
 0.5045, 60.52976, -15.03
 0.5203,60.29449, -15.01
 0.5370,60.04499, -14.94
 0.5537,59.79401, -14.98
 0.5704,59.54213, -15.09
 0.5871,59.28867, -14.98
 0.6038,59.03457, -15.11
 0.6051, 59.01421, -15.01
 0.6205,58.77915, -15.06
 0.6371,58.52258, -14.63
 0.6539,58.26471, -14.55
 0.6706,58.00609, -14.71
 0.6873,57.74649, -14.96
 0.7040,57.48551, -14.96
 0.7059, 57.45451, -15.14
 0.7207,57.22390, -14.86
 0.7374,56.96141, -14.77
 0.7541,56.69752, -14.80
 0.7708,56.43303, -14.73
 0.7875,56.16796, -14.52
