# Station: CNEOS,,
# Time (s), Height (km), Abs Magnitude
2.087000, 35.0858, -19.1966
2.090000, 35.0383, -19.4466
2.093000, 34.9908, -19.4566
2.097000, 34.9275, -19.4566
2.100000, 34.8800, -19.6566
2.103000, 34.8325, -19.7466
2.107000, 34.7691, -19.7966
2.110000, 34.7216, -19.7566
2.114000, 34.6583, -19.7866
2.120000, 34.5633, -19.7166
2.124000, 34.5000, -19.8066
2.127000, 34.4525, -19.7766
2.130000, 34.4050, -19.7566
2.134000, 34.3417, -19.7066
2.137000, 34.2942, -19.7566
2.141000, 34.2309, -19.6866
2.144000, 34.1834, -19.5666
2.151000, 34.0726, -19.4066
2.154000, 34.0251, -19.4366
2.158000, 33.9618, -19.3666
2.161000, 33.9143, -19.2566
2.164000, 33.8668, -19.1066
2.168000, 33.8035, -19.0866
2.171000, 33.7560, -18.8966
2.174000, 33.7085, -18.9666
2.178000, 33.6452, -18.8466
2.181000, 33.5977, -18.8866
2.185000, 33.5344, -18.7366
2.188000, 33.4869, -18.7766
2.191000, 33.4394, -18.7966
2.195000, 33.3761, -18.8466
2.198000, 33.3286, -18.6966
2.210000, 33.2811, -18.7466
2.1881,33.23571, -19.27
2.2333,32.8322,-17.29
 2.2161,32.81283, -16.72
2.2216,32.73062, -18.32
2.2667,32.3521,-17.11
2.2550,32.23034, -17.14
2.3000,31.8323,-16.67
2.2884,31.73584, -17.04
2.296132,31.49488,-16.47
2.3081,31.45093, -16.41
2.3333,31.3405,-16.58
 2.3168,31.3199, -16.86
2.3218,31.24599, -16.25
2.3415,30.89046, -16.10
2.3667,30.8503,-16.46
2.3552,30.76208, -16.48
2.3749,30.44043, -16.12
2.4000,30.3334,-16.17
2.379466,30.31751,-16.12
2.3886,30.28305, -15.78
2.4083,29.93289, -16.30
2.4333,29.8323,-15.99
2.4220,29.81006, -15.93
2.4417,29.42773, -15.77
2.4554,29.34322, -15.99
2.4667,29.3307,-15.74
2.4751,28.94669, -16.13
2.5000,28.8914,-15.70
2.4888,28.88163, -15.99
2.496132,28.54373,-15.43
2.5222,28.42717, -16.18
2.5333,28.4116,-15.60
2.5085,28.40849, -15.63
2.5556,27.97827, -15.66
2.5667,27.9422,-15.51
2.5419,27.93411, -15.50
2.5890,27.53721, -16.06
2.5752,27.51791, -15.29
2.6000,27.4953,-15.70
2.579466,27.41281,-16.01
2.5730,27.36023, -15.82
2.6224,27.102, -15.60
2.6333,27.0502,-15.41
2.6086,27.02133, -15.44
2.6148,26.8326, -15.58
2.6558,26.67443, -14.84
2.6420,26.62365, -15.59
2.6667,26.6155,-15.36
2.6892,26.25364, -15.22
2.6754,26.21785, -15.41
2.7000,26.1546,-15.46
2.696132,25.99075,-14.83
2.7225,25.84045, -15.23
2.6984,25.76346, -15.56
2.7333,25.7388,-15.20
2.7088,25.71616, -15.22
2.7667,25.3408,-14.81
2.7422,25.33758, -15.28
2.7402,25.19333, -15.52
2.7894,25.03652, -15.50
2.8000,24.9422,-15.03
2.7755,24.92803, -15.25
2.779466,24.87605,-15.49
2.7820,24.73106, -15.38
2.8227,24.6469, -15.40
2.8333,24.5398,-15.09
2.8089,24.5397, -15.28
2.8238,24.31526, -15.69
2.8667,24.1738,-15.09
2.8423,24.13265, -14.99
2.8655,23.88362, -15.42
2.9000,23.8119,-14.85
2.8757,23.69228, -15.21
2.896132,23.43259,-15.46
2.9333,23.4287,-15.58
2.9073,23.40493, -15.67
2.9091,23.38148, -15.32
2.9667,23.0792,-15.04
2.9491,23.03085, -15.45
