Bolide Detection Notification: 2013-250

At 20:49:13 UT on 07 Sep 2013, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 25.7 °N, Lon 40.2 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 8.44e+09 watts/steradian, and total radiated flash
energy 3.34e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -2.86e+08),
           (-0.996,  7.56e+08),
           (-0.992, -1.02e+09),
           (-0.989,  2.51e+08),
           (-0.986, -4.78e+08),
           (-0.982, -8.75e+08),
           (-0.979,  4.53e+08),
           (-0.975,  6.97e+07),
           (-0.972, -8.79e+07),
           (-0.965,  6.19e+08),
           (-0.962,  6.55e+08),
           (-0.959, -1.35e+08),
           (-0.955,  5.79e+08),
           (-0.952,  5.19e+08),
           (-0.948, -9.82e+07),
           (-0.945, -1.74e+08),
           (-0.942,  6.40e+08),
           (-0.938, -1.38e+08),
           (-0.935,  5.00e+08),
           (-0.932, -1.58e+08),
           (-0.928,  8.83e+07),
           (-0.925,  5.59e+08),
           (-0.921,  8.55e+08),
           (-0.918,  5.39e+08),
           (-0.915, -2.13e+08),
           (-0.908,  7.24e+08),
           (-0.905, -2.56e+08),
           (-0.901,  6.08e+08),
           (-0.898,  1.20e+09),
           (-0.894, -2.04e+08),
           (-0.884,  8.54e+08),
           (-0.881,  3.71e+08),
           (-0.878,  1.09e+08),
           (-0.874,  9.31e+08),
           (-0.871, -3.68e+08),
           (-0.867, -2.75e+07),
           (-0.864, -5.64e+08),
           (-0.861,  1.17e+09),
           (-0.857,  1.38e+08),
           (-0.854,  5.82e+08),
           (-0.851,  3.58e+08),
           (-0.847,  3.87e+08),
           (-0.844, -1.97e+08),
           (-0.840, -5.57e+08),
           (-0.837,  9.88e+08),
           (-0.834, -7.13e+08),
           (-0.830,  3.72e+08),
           (-0.827,  1.15e+09),
           (-0.824, -3.96e+07),
           (-0.817,  1.07e+09),
           (-0.813,  2.85e+08),
           (-0.810,  8.06e+08),
           (-0.807,  7.90e+08),
           (-0.803,  5.64e+08),
           (-0.800,  1.20e+09),
           (-0.797,  1.12e+08),
           (-0.793,  7.12e+08),
           (-0.790,  7.99e+08),
           (-0.786,  1.17e+09),
           (-0.783,  1.55e+07),
           (-0.780, -4.99e+08),
           (-0.776,  1.08e+09),
           (-0.773,  3.99e+08),
           (-0.770,  7.64e+08),
           (-0.766, -3.09e+08),
           (-0.763,  8.26e+08),
           (-0.759,  6.05e+08),
           (-0.756,  1.02e+09),
           (-0.753,  1.19e+09),
           (-0.749,  2.38e+08),
           (-0.743,  1.47e+09),
           (-0.739, -7.27e+08),
           (-0.736,  2.01e+08),
           (-0.732,  5.55e+08),
           (-0.729,  2.58e+08),
           (-0.726,  5.10e+08),
           (-0.722, -6.52e+08),
           (-0.719, -2.40e+08),
           (-0.716, -1.17e+09),
           (-0.709,  1.01e+09),
           (-0.705,  2.37e+08),
           (-0.702,  4.94e+08),
           (-0.699,  1.88e+09),
           (-0.695, -5.39e+08),
           (-0.692, -5.20e+08),
           (-0.685, -1.45e+08),
           (-0.682,  1.77e+08),
           (-0.678, -1.17e+09),
           (-0.675, -1.98e+08),
           (-0.672, -4.84e+08),
           (-0.668, -2.55e+08),
           (-0.665, -3.65e+08),
           (-0.662,  4.29e+08),
           (-0.658,  3.66e+08),
           (-0.651, -5.00e+08),
           (-0.648,  1.80e+08),
           (-0.645,  2.49e+08),
           (-0.641, -1.14e+09),
           (-0.638, -4.59e+08),
           (-0.635, -1.24e+09),
           (-0.631,  7.81e+08),
           (-0.628,  7.03e+08),
           (-0.621, -6.70e+08),
           (-0.618, -8.64e+08),
           (-0.614, -1.61e+08),
           (-0.611, -1.86e+08),
           (-0.608, -2.79e+08),
           (-0.604, -8.67e+08),
           (-0.601, -1.93e+08),
           (-0.597,  3.08e+07),
           (-0.594,  3.19e+08),
           (-0.591,  1.81e+08),
           (-0.587,  3.47e+08),
           (-0.584, -7.30e+08),
           (-0.581,  5.70e+08),
           (-0.577,  6.17e+08),
           (-0.574,  3.72e+08),
           (-0.570,  7.88e+08),
           (-0.567,  1.08e+09),
           (-0.560, -8.36e+08),
           (-0.557,  1.04e+09),
           (-0.550, -3.89e+08),
           (-0.547, -6.39e+07),
           (-0.543,  8.11e+08),
           (-0.540, -2.23e+07),
           (-0.537, -3.18e+08),
           (-0.533, -9.48e+08),
           (-0.527,  1.15e+09),
           (-0.523,  1.71e+09),
           (-0.520,  5.70e+08),
           (-0.516, -2.33e+08),
           (-0.513,  3.95e+08),
           (-0.510, -1.83e+08),
           (-0.506,  5.48e+08),
           (-0.503, -5.84e+08),
           (-0.500,  6.95e+08),
           (-0.496,  5.97e+08),
           (-0.493,  1.70e+09),
           (-0.489,  6.42e+08),
           (-0.486, -6.49e+07),
           (-0.483,  1.96e+09),
           (-0.479,  1.39e+09),
           (-0.476,  1.34e+09),
           (-0.473,  1.35e+08),
           (-0.469,  5.46e+08),
           (-0.466, -2.34e+08),
           (-0.462,  1.06e+09),
           (-0.459, -2.05e+08),
           (-0.456, -5.92e+08),
           (-0.452,  1.12e+09),
           (-0.449, -2.37e+08),
           (-0.446,  3.64e+08),
           (-0.442,  1.76e+09),
           (-0.439,  1.95e+08),
           (-0.435, -2.44e+08),
           (-0.432,  1.01e+09),
           (-0.425, -1.73e+06),
           (-0.422, -2.21e+08),
           (-0.419, -1.27e+08),
           (-0.415,  2.87e+08),
           (-0.412,  1.72e+09),
           (-0.408,  8.65e+08),
           (-0.405, -1.11e+09),
           (-0.402,  2.53e+08),
           (-0.398, -2.53e+08),
           (-0.395, -2.35e+08),
           (-0.392,  9.74e+07),
           (-0.388,  1.17e+07),
           (-0.385,  9.65e+08),
           (-0.381,  4.93e+08),
           (-0.378, -1.41e+08),
           (-0.375,  3.38e+08),
           (-0.371,  1.88e+09),
           (-0.368,  1.98e+09),
           (-0.365,  5.89e+08),
           (-0.361,  1.31e+09),
           (-0.358,  6.91e+08),
           (-0.354,  1.72e+09),
           (-0.351,  1.07e+09),
           (-0.348,  1.25e+09),
           (-0.344,  2.44e+08),
           (-0.341,  8.47e+08),
           (-0.338,  5.35e+08),
           (-0.334,  7.45e+08),
           (-0.331,  8.76e+07),
           (-0.327,  1.57e+09),
           (-0.324,  1.36e+09),
           (-0.321,  8.73e+08),
           (-0.317,  7.01e+08),
           (-0.314,  1.08e+09),
           (-0.311,  1.08e+09),
           (-0.307,  7.43e+08),
           (-0.304,  5.85e+08),
           (-0.300,  1.97e+09),
           (-0.297, -5.33e+08),
           (-0.294,  1.82e+09),
           (-0.290,  8.02e+08),
           (-0.287,  4.23e+08),
           (-0.284,  3.95e+08),
           (-0.280,  1.50e+09),
           (-0.277,  1.53e+09),
           (-0.273,  2.24e+09),
           (-0.270,  1.17e+09),
           (-0.267,  1.32e+09),
           (-0.263,  5.86e+08),
           (-0.260,  3.81e+07),
           (-0.257,  9.72e+08),
           (-0.253,  5.03e+08),
           (-0.250,  8.61e+08),
           (-0.246,  9.54e+08),
           (-0.243,  1.42e+09),
           (-0.240,  8.33e+08),
           (-0.236,  7.06e+08),
           (-0.233,  6.51e+08),
           (-0.230,  2.77e+08),
           (-0.226, -2.36e+08),
           (-0.223,  1.14e+09),
           (-0.216,  5.79e+07),
           (-0.213,  7.60e+08),
           (-0.209,  7.18e+08),
           (-0.206, -4.19e+08),
           (-0.203,  1.81e+09),
           (-0.199, -3.47e+08),
           (-0.196, -5.53e+08),
           (-0.192,  6.83e+08),
           (-0.189,  7.17e+08),
           (-0.186,  8.11e+08),
           (-0.182, -2.04e+08),
           (-0.179,  7.35e+08),
           (-0.176, -5.69e+08),
           (-0.172,  1.48e+09),
           (-0.169, -1.16e+08),
           (-0.165,  5.35e+08),
           (-0.159, -2.31e+08),
           (-0.155,  1.32e+09),
           (-0.152,  1.44e+08),
           (-0.149,  2.97e+08),
           (-0.145,  1.07e+08),
           (-0.142,  2.85e+08),
           (-0.138,  8.63e+08),
           (-0.135,  5.43e+07),
           (-0.132,  9.95e+08),
           (-0.128,  1.64e+09),
           (-0.125,  5.95e+08),
           (-0.122,  7.11e+08),
           (-0.118,  1.80e+09),
           (-0.111,  9.01e+08),
           (-0.108,  1.92e+09),
           (-0.105,  7.02e+08),
           (-0.098,  2.99e+09),
           (-0.095,  1.54e+09),
           (-0.091,  9.97e+08),
           (-0.088,  2.56e+09),
           (-0.084,  2.77e+09),
           (-0.081,  2.14e+09),
           (-0.078,  2.90e+09),
           (-0.074,  2.56e+09),
           (-0.071,  1.58e+09),
           (-0.068,  1.57e+09),
           (-0.064,  2.64e+09),
           (-0.054,  8.33e+08),
           (-0.051,  1.75e+09),
           (-0.047,  1.98e+09),
           (-0.044,  2.48e+09),
           (-0.041,  2.55e+09),
           (-0.037,  2.16e+09),
           (-0.034,  2.16e+09),
           (-0.024,  2.87e+09),
           (-0.020,  2.77e+09),
           (-0.017,  2.40e+09),
           (-0.014,  3.14e+09),
           (-0.010,  3.48e+09),
           (-0.007,  3.60e+09),
           (-0.003,  4.44e+09),
           (-0.000,  4.33e+09),
           ( 0.010,  5.37e+09),
           ( 0.013,  6.25e+09),
           ( 0.017,  6.52e+09),
           ( 0.020,  4.92e+09),
           ( 0.024,  5.01e+09),
