,packed_desig,year,obs
38001053,5502,C2005,o8094703
38001054,5502,C2005,o8094703
38001055,5502,C2005,o8094703
38001056,5502,C2005,o8094703
38001057,5502,C2005,o9961703
38001058,5502,C2005,o9961703
38001059,5502,C2005,o9961703
38001060,5502,C2005,o9961703
38001061,5502,C2005,p2502703
38001062,5502,C2005,p2502703
38001063,5502,C2005,p2502703
38001064,5502,C2005,p2502703
38001070,5502,C2005,p6865703
38001071,5502,C2005,p6865703
38001072,5502,C2005,p6865703
38001076,5502,C2006,p9365703
38001077,5502,C2006,p9365703
38001078,5502,C2006,p9365703
38001079,5502,C2006,p9365703
38001092,5502,C2006,q4091703
38001093,5502,C2006,q4091703
38001094,5502,C2006,q4091703
38001095,5502,C2006,q4091703
38001108,5502,C2006,q5342G96
38001109,5502,C2006,q5342G96
38001110,5502,C2006,q5342G96
38001113,5502,C2006,q5342G96
38001124,5502,C2006,q5342G96
38001125,5502,C2006,q5342G96
38001126,5502,C2006,q5342G96
38001127,5502,C2006,q5342G96
38001195,5502,C2006,r3087703
38001196,5502,C2006,r3087703
38001197,5502,C2006,r3087703
38001198,5502,C2006,r3087703
38001199,5502,C2006,r3087703
38001200,5502,C2006,r3087703
38001201,5502,C2006,r3087703
38001202,5502,C2006,r3087703
38001263,5502,C2007,x1977703
38001264,5502,C2007,x1977703
38001265,5502,C2007,x1977703
38001266,5502,C2007,x1977703
38001284,5502,C2008,z6900703
38001285,5502,C2008,z6900703
38001286,5502,C2008,z6900703
38001287,5502,C2008,z6900703
38001288,5502,C2008,z8289703
38001289,5502,C2008,z8289703
38001290,5502,C2008,z8289703
38001291,5502,C2008,z8289703
38001300,5502,C2008,z9584703
38001301,5502,C2008,z9584703
38001302,5502,C2008,z9584703
38001303,5502,C2008,z9584703
38001308,5502,C2008,~00VS703
38001309,5502,C2008,~00VS703
38001310,5502,C2008,~00VS703
38001311,5502,C2008,~00VS703
38001312,5502,C2008,~00wg703
38001313,5502,C2008,~00wg703
38001314,5502,C2008,~00wg703
38001315,5502,C2008,~00wg703
38001319,5502,C2008,~00wg703
38001320,5502,C2008,~00wg703
38001321,5502,C2008,~00wg703
38001322,5502,C2008,~00wg703
38001323,5502,C2008,~01Qr703
38001324,5502,C2008,~01Qr703
38001325,5502,C2008,~01Qr703
38001326,5502,C2008,~01Qr703
38001348,5502,C2009,~04NR703
38001349,5502,C2009,~04NR703
38001350,5502,C2009,~04NR703
38001351,5502,C2009,~04NR703
38001381,5502,C2010,~0D82703
38001382,5502,C2010,~0D82703
38001383,5502,C2010,~0D82703
38001384,5502,C2010,~0D82703
38001385,5502,C2010,~0E5Q703
38001386,5502,C2010,~0E5Q703
38001387,5502,C2010,~0E5Q703
38001388,5502,C2010,~0E5Q703
38001394,5502,C2010,~0E5Q703
38001395,5502,C2010,~0E5Q703
38001396,5502,C2010,~0E5Q703
38001397,5502,C2010,~0E5Q703
38001398,5502,C2010,~0E5Q703
38001399,5502,C2010,~0E5Q703
38001400,5502,C2010,~0E5Q703
38001401,5502,C2010,~0E5Q703
38001402,5502,C2010,~0E5Q703
38001403,5502,C2010,~0E5Q703
38001404,5502,C2010,~0E5Q703
38001405,5502,C2010,~0E5Q703
38001474,5502,C2010,~0HLq703
38001476,5502,C2010,~0HLq703
38001478,5502,C2010,~0HLq703
38001479,5502,C2010,~0HtIG96
38001480,5502,C2010,~0HtIG96
38001481,5502,C2010,~0HtIG96
38001482,5502,C2010,~0HtIG96
38001483,5502,C2010,~0I87703
38001484,5502,C2010,~0I87703
38001485,5502,C2010,~0I87703
38001486,5502,C2010,~0I87703
38001524,5502,C2012,~0imJ703
38001525,5502,C2012,~0imJ703
38001526,5502,C2012,~0imJ703
38001527,5502,C2012,~0imJ703
38001533,5502,C2012,~0j8K703
38001534,5502,C2012,~0j8K703
38001535,5502,C2012,~0j8K703
38001536,5502,C2012,~0j8K703
38001544,5502,C2012,~0jKzG96
38001545,5502,C2012,~0jKzG96
38001546,5502,C2012,~0jKzG96
38001547,5502,C2012,~0jKzG96
38001557,5502,C2012,~0jkm703
38001558,5502,C2012,~0jkm703
38001559,5502,C2012,~0jkm703
38001560,5502,C2012,~0jkm703
38001564,5502,C2012,~0kNi703
38001565,5502,C2012,~0kNi703
38001566,5502,C2012,~0kNi703
38001567,5502,C2012,~0kNi703
38001568,5502,C2012,~0kpH703
38001569,5502,C2012,~0kpH703
38001570,5502,C2012,~0kpH703
38001571,5502,C2012,~0kpH703
38007519,5503,C2005,m4221703
38007521,5503,C2005,m4221703
38007523,5503,C2005,m4221703
38007524,5503,C2005,m4221703
38007541,5503,C2005,m9441G96
38007542,5503,C2005,m9441G96
38007543,5503,C2005,m9441G96
38007544,5503,C2005,m9441G96
38007550,5503,C2005,n1967703
38007551,5503,C2005,n1967703
38007552,5503,C2005,n1967703
38007553,5503,C2005,n1967703
38007561,5503,C2005,n2768703
38007562,5503,C2005,n2768703
38007564,5503,C2005,n2768703
38007566,5503,C2005,n2768703
38007571,5503,C2005,n5040703
38007572,5503,C2005,n5040703
38007573,5503,C2005,n5040703
38007574,5503,C2005,n5040703
38007575,5503,C2005,n5040G96
38007576,5503,C2005,n5040G96
38007577,5503,C2005,n5040G96
38007578,5503,C2005,n5040G96
38007583,5503,C2006,q2105703
38007584,5503,C2006,q2105703
38007585,5503,C2006,q2105703
38007586,5503,C2006,q2105703
38007610,5503,C2006,r1005703
38007612,5503,C2006,r1005703
38007614,5503,C2006,r1005703
38007616,5503,C2006,r1005703
38007636,5503,C2006,r3087703
38007637,5503,C2006,r3087703
38007638,5503,C2006,r3087703
38007640,5503,C2006,r3087703
38007670,5503,C2006,r4083703
38007672,5503,C2006,r4083703
38007674,5503,C2006,r4083703
38007675,5503,C2006,r4083703
38007710,5503,C2007,v0788703
38007711,5503,C2007,v0788703
38007712,5503,C2007,v0788703
38007713,5503,C2007,v0788703
38007719,5503,C2007,v1426703
38007720,5503,C2007,v1426703
38007721,5503,C2007,v1426703
