,packed_desig,year,obs
70001702,13319,C2005,o6426703
70001703,13319,C2005,o6426703
70001704,13319,C2005,o6426703
70001766,13319,C2005,p4330G96
70001767,13319,C2005,p4330G96
70001768,13319,C2005,p4330G96
70001769,13319,C2005,p4330G96
70001789,13319,C2005,p6950703
70001790,13319,C2005,p6950703
70001791,13319,C2005,p6950703
70001792,13319,C2005,p6950703
70001805,13319,C2006,s7454703
70001806,13319,C2006,s7454703
70001807,13319,C2006,s7454703
70001808,13319,C2006,s7454703
70001809,13319,C2006,t1089703
70001810,13319,C2006,t1089703
70001811,13319,C2006,t1089703
70001812,13319,C2006,t1089703
70001813,13319,C2006,t3264703
70001814,13319,C2006,t3264703
70001815,13319,C2006,t3264703
70001816,13319,C2006,t3264703
70001835,13319,C2007,u3506703
70001836,13319,C2007,u3506703
70001837,13319,C2007,u3506703
70001838,13319,C2007,u3506703
70001839,13319,C2007,u3506G96
70001840,13319,C2007,u3506G96
70001841,13319,C2007,u3506G96
70001842,13319,C2007,u3506G96
70001860,13319,C2007,u5698703
70001861,13319,C2007,u5698703
70001862,13319,C2007,u5698703
70001863,13319,C2007,u5698703
70001876,13319,C2007,u7245703
70001877,13319,C2007,u7245703
70001878,13319,C2007,u7245703
70001879,13319,C2007,u7245703
70001889,13319,C2007,u8381G96
70001890,13319,C2007,u8381G96
70001891,13319,C2007,u8381G96
70001892,13319,C2007,u8381G96
70001897,13319,C2007,u9371703
70001898,13319,C2007,u9371703
70001899,13319,C2007,u9371703
70001900,13319,C2007,u9371703
70001906,13319,C2007,u9371G96
70001907,13319,C2007,u9371G96
70001908,13319,C2007,u9371G96
70001909,13319,C2007,u9371G96
70001912,13319,C2007,v0821703
70001913,13319,C2007,v0821703
70001914,13319,C2007,v0821703
70001915,13319,C2007,v0821703
70001935,13319,C2008,z6954703
70001936,13319,C2008,z6954703
70001937,13319,C2008,z6954703
70001938,13319,C2008,z6954703
70001944,13319,C2008,z8344703
70001945,13319,C2008,z8344703
70001946,13319,C2008,z8344703
70001947,13319,C2008,z8344703
70001967,13319,C2008,z9628703
70001968,13319,C2008,z9628703
70001969,13319,C2008,z9628703
70001970,13319,C2008,z9628703
70001980,13319,C2008,~00DMG96
70001981,13319,C2008,~00DMG96
70001982,13319,C2008,~00DMG96
70001983,13319,C2008,~00DMG96
70001989,13319,C2008,~00Wn703
70001990,13319,C2008,~00Wn703
70001991,13319,C2008,~00Wn703
70001992,13319,C2008,~00Wn703
70001998,13319,C2008,~01H1703
70001999,13319,C2008,~01H1703
70002000,13319,C2008,~01H1703
70002001,13319,C2008,~01H1703
70002008,13319,C2008,~01Rs703
70002009,13319,C2008,~01Rs703
70002010,13319,C2008,~01Rs703
70002011,13319,C2008,~01Rs703
70002022,13319,C2008,~02Sr703
70002023,13319,C2008,~02Sr703
70002024,13319,C2008,~02Sr703
70002025,13319,C2008,~02Sr703
70002031,13319,C2008,~02n4G96
70002032,13319,C2008,~02n4G96
70002033,13319,C2008,~02n4G96
70002034,13319,C2008,~02n4G96
70002035,13319,C2009,~03Vb703
70002036,13319,C2009,~03Vb703
70002037,13319,C2009,~03Vb703
70002038,13319,C2009,~03Vb703
70002039,13319,C2009,~0AKS703
70002040,13319,C2009,~0AKS703
70002041,13319,C2009,~0AKS703
70002042,13319,C2009,~0AKS703
70002043,13319,C2009,~0Ah4703
70002044,13319,C2009,~0Ah4703
70002045,13319,C2009,~0Ah4703
70002046,13319,C2009,~0Ah4703
70002047,13319,C2009,~0BMk703
70002048,13319,C2009,~0BMk703
70002049,13319,C2009,~0BMk703
70002050,13319,C2009,~0BMk703
70002056,13319,C2009,~0Bri703
70002057,13319,C2009,~0Bri703
70002058,13319,C2009,~0Bri703
70002059,13319,C2009,~0Bri703
70002060,13319,C2009,~0Bri703
70002061,13319,C2009,~0Bri703
70002062,13319,C2009,~0Bri703
70002063,13319,C2009,~0Bri703
70002088,13319,C2010,~0E8b703
70002089,13319,C2010,~0E8b703
70002090,13319,C2010,~0E8b703
70002091,13319,C2010,~0E8b703
70002092,13319,C2010,~0E8bG96
70002093,13319,C2010,~0E8bG96
70002094,13319,C2010,~0E8bG96
70002095,13319,C2010,~0E8bG96
70002096,13319,C2010,~0Epn703
70002097,13319,C2010,~0Epn703
70002098,13319,C2010,~0Epn703
70002099,13319,C2010,~0Epn703
70002104,13319,C2010,~0FAY703
70002105,13319,C2010,~0FAY703
70002106,13319,C2010,~0FAY703
70002107,13319,C2010,~0FAY703
70002108,13319,C2010,~0FAY703
70002128,13319,C2010,~0Gzz703
70002129,13319,C2010,~0Gzz703
70002130,13319,C2010,~0Gzz703
70002131,13319,C2010,~0Gzz703
70002132,13319,C2010,~0Gzz703
70002175,13319,C2010,~0HMu703
70002176,13319,C2010,~0HMu703
70002177,13319,C2010,~0HMu703
70002178,13319,C2010,~0HMu703
70002197,13319,C2011,~0YCr703
70002198,13319,C2011,~0YCr703
70002200,13319,C2011,~0YCr703
70002202,13319,C2011,~0YCr703
70002216,13319,C2011,~0ZCe703
70002217,13319,C2011,~0ZCe703
70002218,13319,C2011,~0ZCe703
70002219,13319,C2011,~0ZCe703
70002255,13319,C2012,~0mun703
70002256,13319,C2012,~0mun703
70002257,13319,C2012,~0mun703
70002258,13319,C2012,~0mun703
70006549,13320,C2005,o2296703
70006550,13320,C2005,o2296703
70006551,13320,C2005,o2296703
70006552,13320,C2005,o2296703
70006553,13320,C2005,o2893703
70006554,13320,C2005,o2893703
70006555,13320,C2005,o2893703
70006556,13320,C2005,o2893703
70006564,13320,C2005,o4767703
70006565,13320,C2005,o4767703
70006566,13320,C2005,o4767703
70006567,13320,C2005,o4767703
70006586,13320,C2005,p2600703
70006587,13320,C2005,p2600703
70006588,13320,C2005,p2600703
70006589,13320,C2005,p2600703
70006590,13320,C2005,p4331703
70006591,13320,C2005,p4331703
70006592,13320,C2005,p4331703
70006593,13320,C2005,p4331703
70006601,13320,C2006,q0847703
70006602,13320,C2006,q0847703
70006603,13320,C2006,q0847703
70006612,13320,C2006,s4564703
70006613,13320,C2006,s4564703
70006614,13320,C2006,s4564703
70006615,13320,C2006,s4564703
