,packed_desig,year,obs
53001099,8769,C2005,m9466G96
53001100,8769,C2005,m9466G96
53001101,8769,C2005,m9466G96
53001102,8769,C2005,m9466G96
53001103,8769,C2005,o2288703
53001104,8769,C2005,o2288703
53001105,8769,C2005,o2288703
53001106,8769,C2005,o2288703
53001116,8769,C2005,o4686G96
53001117,8769,C2005,o4686G96
53001118,8769,C2005,o4686G96
53001119,8769,C2005,o4686G96
53001123,8769,C2005,o6374703
53001124,8769,C2005,o6374703
53001125,8769,C2005,o6374703
53001126,8769,C2005,o6374703
53001173,8769,C2006,q0003703
53001174,8769,C2006,q0003703
53001175,8769,C2006,q0003703
53001176,8769,C2006,q0003703
53001197,8769,C2006,q2136703
53001198,8769,C2006,q2136703
53001199,8769,C2006,q2136703
53001200,8769,C2006,q2136703
53001243,8769,C2006,q5375G96
53001244,8769,C2006,q5375G96
53001245,8769,C2006,q5375G96
53001246,8769,C2006,q5375G96
53001247,8769,C2006,q8390G96
53001248,8769,C2006,q8390G96
53001249,8769,C2006,q8390G96
53001250,8769,C2006,q8390G96
53001256,8769,C2006,q9337703
53001257,8769,C2006,q9337703
53001258,8769,C2006,q9337703
53001259,8769,C2006,q9337703
53001269,8769,C2006,r1710703
53001270,8769,C2006,r1710703
53001271,8769,C2006,r1710703
53001272,8769,C2006,r1710703
53001273,8769,C2007,t5696G96
53001274,8769,C2007,t5696703
53001275,8769,C2007,t5696G96
53001276,8769,C2007,t5696703
53001277,8769,C2007,t5696G96
53001278,8769,C2007,t5696703
53001279,8769,C2007,t5696G96
53001280,8769,C2007,t5696703
53001281,8769,C2007,t8318703
53001282,8769,C2007,t8318703
53001283,8769,C2007,t8318703
53001284,8769,C2007,t8318703
53001293,8769,C2007,u1757G96
53001294,8769,C2007,u1757G96
53001295,8769,C2007,u1757G96
53001296,8769,C2007,u1757G96
53001298,8769,C2007,u3444G96
53001300,8769,C2007,u3444G96
53001301,8769,C2007,u3444G96
53001303,8769,C2007,u3444G96
53001331,8769,C2007,u9320703
53001332,8769,C2007,u9320703
53001333,8769,C2007,u9320703
53001334,8769,C2007,u9320703
53001339,8769,C2007,u9320G96
53001340,8769,C2007,u9320G96
53001341,8769,C2007,u9320G96
53001342,8769,C2007,u9320G96
53001352,8769,C2007,v0242703
53001353,8769,C2007,v0242703
53001354,8769,C2007,v0242703
53001355,8769,C2007,v0242703
53001387,8769,C2008,z6063703
53001388,8769,C2008,z6063703
53001389,8769,C2008,z6063703
53001390,8769,C2008,z6063703
53001391,8769,C2008,z6063G96
53001392,8769,C2008,z6063G96
53001393,8769,C2008,z6063G96
53001394,8769,C2008,z6063G96
53001395,8769,C2008,z6924G96
53001396,8769,C2008,z6924G96
53001397,8769,C2008,z6924G96
53001398,8769,C2008,z6924G96
53001411,8769,C2008,z8312703
53001412,8769,C2008,z8312703
53001413,8769,C2008,z8312703
53001414,8769,C2008,z8312703
53001415,8769,C2008,z8312G96
53001416,8769,C2008,z8312G96
53001417,8769,C2008,z8312G96
53001418,8769,C2008,z8312G96
53001419,8769,C2008,z9603703
53001420,8769,C2008,z9603703
53001421,8769,C2008,z9603703
53001422,8769,C2008,z9603703
53001428,8769,C2008,~01RHG96
53001429,8769,C2008,~01RHG96
53001430,8769,C2008,~01RHG96
53001431,8769,C2008,~01RHG96
53001434,8769,C2008,~01kNG96
53001435,8769,C2008,~01kNG96
53001436,8769,C2008,~01kNG96
53001437,8769,C2008,~01kNG96
53001445,8769,C2008,~02SU703
53001446,8769,C2008,~02SU703
53001447,8769,C2008,~02SU703
53001448,8769,C2008,~02SU703
53001555,8769,C2010,~0PRgG96
53001556,8769,C2010,~0PRgG96
53001557,8769,C2010,~0PRgG96
53001558,8769,C2010,~0PRgG96
53001559,8769,C2010,~0Pxn703
53001560,8769,C2010,~0Pxn703
53001561,8769,C2010,~0Pxn703
53001562,8769,C2010,~0Pxn703
53001563,8769,C2011,~0Qw6703
53001564,8769,C2011,~0Qw6703
53001565,8769,C2011,~0Qw6703
53001566,8769,C2011,~0Qw6703
53001581,8769,C2011,~0TDh703
