,packed_desig,year,obs
8000795,864,C2005,m7244703
8000797,864,C2005,m7244703
8000798,864,C2005,m7244703
8000800,864,C2005,m7244703
8000805,864,C2005,m8184G96
8000806,864,C2005,m8184G96
8000808,864,C2005,m8184G96
8000809,864,C2005,m8184G96
8000822,864,C2005,m9403703
8000823,864,C2005,m9403703
8000824,864,C2005,m9403703
8000825,864,C2005,m9403703
8000826,864,C2005,n0321703
8000827,864,C2005,n0321703
8000828,864,C2005,n0321703
8000830,864,C2005,n0321703
8000833,864,C2005,n0930G96
8000834,864,C2005,n0930G96
8000835,864,C2005,n0930G96
8000836,864,C2005,n0930G96
8000854,864,C2005,n4156G96
8000855,864,C2005,n4156G96
8000856,864,C2005,n4156G96
8000857,864,C2005,n4156G96
8000878,864,C2005,n6017703
8000879,864,C2005,n6017703
8000880,864,C2005,n6017703
8000881,864,C2005,n6017703
8000924,864,C2006,s7278703
8000925,864,C2006,s7278703
8000926,864,C2006,s7278703
8000927,864,C2006,s7278703
8000928,864,C2006,s7278703
8000929,864,C2006,s7278703
8000930,864,C2006,s7278703
8000931,864,C2006,s7278703
8000946,864,C2007,w0910703
8000947,864,C2007,w0910703
8000949,864,C2007,w0910703
8000950,864,C2007,w0910703
8000956,864,C2007,w5273703
8000957,864,C2007,w5273703
8000958,864,C2007,w5273703
8000959,864,C2007,w5273703
8000960,864,C2007,w7190703
8000961,864,C2007,w7190703
8000962,864,C2007,w7190703
8000963,864,C2007,w7190703
8000964,864,C2007,w7190703
8000965,864,C2007,w7190703
8000966,864,C2007,w7190703
8000967,864,C2007,w7190703
8000973,864,C2007,w8454703
8000974,864,C2007,w8454703
8000975,864,C2007,w8454703
8000976,864,C2007,w8454703
8000977,864,C2007,x2714703
8000978,864,C2007,x2714703
8000979,864,C2007,x2714703
8000980,864,C2007,x2714703
8000981,864,C2008,x3514703
8000982,864,C2008,x3514703
8000983,864,C2008,x3514703
8000984,864,C2008,x3515703
8000985,864,C2008,x3515G96
8000986,864,C2008,x3515G96
8000987,864,C2008,x3515G96
8000988,864,C2008,x3515G96
8001012,864,C2008,x5591703
8001013,864,C2008,x5591703
8001014,864,C2008,x5591703
8001015,864,C2008,x5591703
8001016,864,C2008,x6440G96
8001017,864,C2008,x6440G96
8001018,864,C2008,x6440G96
8001019,864,C2008,x6440G96
8001029,864,C2008,x6440G96
8001030,864,C2008,x6440G96
8001031,864,C2008,x6440G96
8001032,864,C2008,x6440G96
8001038,864,C2008,x7806703
8001039,864,C2008,x7806703
8001040,864,C2008,x7806703
8001041,864,C2008,x7806703
8001067,864,C2008,y6964703
8001068,864,C2008,y6964703
8001069,864,C2008,y6964703
8001070,864,C2008,y6964703
8001071,864,C2008,y6964703
8001072,864,C2008,y6964703
8001073,864,C2008,y6964703
8001074,864,C2008,y6964703
8001075,864,C2008,y7664703
8001076,864,C2008,y7664703
8001077,864,C2008,y7664703
8001078,864,C2008,y7664703
8001079,864,C2008,y7815703
8001080,864,C2008,y7815703
8001081,864,C2008,y7815703
8001082,864,C2008,y7815703
8001088,864,C2008,y9122703
8001089,864,C2008,y9122703
8001090,864,C2008,y9122703
8001091,864,C2008,y9122703
8001095,864,C2008,y9122703
8001096,864,C2008,y9122703
8001097,864,C2008,y9122703
8001098,864,C2008,y9122703
8001099,864,C2009,~036mG96
8001100,864,C2009,~036mG96
8001101,864,C2009,~036mG96
8001102,864,C2009,~036mG96
8001103,864,C2009,~03OO703
8001104,864,C2009,~03OO703
8001105,864,C2009,~03OO703
8001106,864,C2009,~03OO703
8001116,864,C2009,~03OOG96
8001117,864,C2009,~03OOG96
8001118,864,C2009,~03OOG96
8001119,864,C2009,~03OOG96
8001137,864,C2009,~06Os703
8001138,864,C2009,~06Os703
8001140,864,C2009,~06Os703
8001141,864,C2009,~06Os703
8001171,864,C2009,~06tA703
8001173,864,C2009,~06tA703
8001174,864,C2009,~06tA703
8001176,864,C2009,~06tA703
8001198,864,C2009,~079W703
8001199,864,C2009,~079W703
8001200,864,C2009,~079W703
8001201,864,C2009,~079W703
8001221,864,C2009,~08Vz703
8001222,864,C2009,~08Vz703
8001223,864,C2009,~08Vz703
8001224,864,C2009,~08Vz703
8001331,864,C2011,~0alp703
8001332,864,C2011,~0alp703
8001333,864,C2011,~0alp703
8001334,864,C2011,~0alp703
8001335,864,C2011,~0b7YG96
8001336,864,C2011,~0b7YG96
8001337,864,C2011,~0b7YG96
8001338,864,C2011,~0b7YG96
8001344,864,C2011,~0bfQG96
8001345,864,C2011,~0bfQG96
8001346,864,C2011,~0bfQG96
8001347,864,C2011,~0bfQG96
8001350,864,C2012,~0cl1703
8001351,864,C2012,~0cl1703
8001352,864,C2012,~0cl1703
8001353,864,C2012,~0cl1703
8001387,864,C2012,~0fry703
8001388,864,C2012,~0fry703
8001389,864,C2012,~0fry703
8001390,864,C2012,~0fry703
8001391,864,C2012,~0fryG96
8001392,864,C2012,~0fryG96
8001393,864,C2012,~0fryG96
8001394,864,C2012,~0fryG96
8001409,864,C2012,~0gOK703
8001410,864,C2012,~0gOK703
8001411,864,C2012,~0gOK703
8001412,864,C2012,~0gOK703
8001418,864,C2012,~0ggv703
8001419,864,C2012,~0ggv703
8001420,864,C2012,~0ggv703
8001421,864,C2012,~0ggv703
8001425,864,C2012,~0gxeG96
8001426,864,C2012,~0gxeG96
8001427,864,C2012,~0gxeG96
8001428,864,C2012,~0gxeG96
8001434,864,C2012,~0hXZ703
8001435,864,C2012,~0hXZ703
8001436,864,C2012,~0hXZ703
8001437,864,C2012,~0hXZ703
8005562,865,C2005,n6017703
8005563,865,C2005,n6017703
8005564,865,C2005,n6017703
8005565,865,C2005,n6017703
8005576,865,C2005,n8530703
8005577,865,C2005,n8530703
8005578,865,C2005,n8530703
8005579,865,C2005,n8530703
8005625,865,C2005,o2817703
8005626,865,C2005,o2817703
8005627,865,C2005,o2817703
8005641,865,C2005,o4524703
8005642,865,C2005,o4524703
8005643,865,C2005,o4524703
8005644,865,C2005,o4524703
8005660,865,C2005,o9913G96
8005662,865,C2005,o9913G96
8005664,865,C2005,o9913G96
8005667,865,C2005,o9913703
8005668,865,C2005,o9913703
8005669,865,C2005,o9913703
8005670,865,C2005,o9913703
8005675,865,C2005,p1289703
8005676,865,C2005,p1290703
8005677,865,C2005,p1290703
8005678,865,C2005,p1290703
8005681,865,C2005,p2434703
8005683,865,C2005,p2434703
8005684,865,C2005,p2434703
8005685,865,C2005,p2434703
8005688,865,C2005,p6806703
8005689,865,C2005,p6806703
8005690,865,C2005,p6806703
8005691,865,C2005,p6806703
8005761,865,C2007,v0204703
8005762,865,C2007,v0204703
8005763,865,C2007,v0204703
8005764,865,C2007,v0204703
8005765,865,C2007,v0204703
8005766,865,C2007,v0204703
8005767,865,C2007,v0204703
8005768,865,C2007,v0204703
8005819,865,C2009,~079W703
8005820,865,C2009,~079W703
8005821,865,C2009,~079W703
8005822,865,C2009,~079W703
8005839,865,C2009,~08yb703
8005840,865,C2009,~08yb703
8005841,865,C2009,~08yb703
8005842,865,C2009,~08yb703
8005844,865,C2009,~08eY703
8005845,865,C2009,~08eY703
8005846,865,C2009,~08eY703
8005847,865,C2009,~08eY703
8005849,865,C2009,~0985703
8005850,865,C2009,~0985703
8005851,865,C2009,~0985703
8005852,865,C2009,~0985703
8005859,865,C2009,~09OV703
8005860,865,C2009,~09OV703
8005861,865,C2009,~09OV703
8005862,865,C2009,~09OV703
8005868,865,C2009,~09fg703
8005869,865,C2009,~09fg703
8005871,865,C2009,~09fg703
8005872,865,C2009,~09fg703
8005873,865,C2009,~09st703
8005874,865,C2009,~09st703
8005875,865,C2009,~09st703
8005876,865,C2009,~09st703
8005882,865,C2009,~0AIhG96
8005883,865,C2009,~0AIhG96
8005884,865,C2009,~0AIhG96
8005886,865,C2009,~0AIhG96
8005891,865,C2009,~0AIh703
8005892,865,C2009,~0AIh703
8005893,865,C2009,~0AIh703
8005894,865,C2009,~0AIh703
8005905,865,C2009,~0BK9G96
8005906,865,C2009,~0BK9G96
8005907,865,C2009,~0BK9G96
8005908,865,C2009,~0BK9G96
8005915,865,C2009,~0CM1703
8005916,865,C2009,~0CM1703
8005917,865,C2009,~0CM1703
8005918,865,C2009,~0CM1703
8005927,865,C2010,~0PQJ703
8005928,865,C2010,~0PQJ703
8005929,865,C2010,~0PQJ703
8005930,865,C2010,~0PQJ703
8005967,865,C2010,~0Psv703
8005968,865,C2010,~0Psv703
8005969,865,C2010,~0Psv703
8005970,865,C2010,~0Psv703
8005976,865,C2011,~0SHB703
8005977,865,C2011,~0SHB703
8005978,865,C2011,~0SHB703
8005979,865,C2011,~0SHB703
8005980,865,C2011,~0SYu703
8005981,865,C2011,~0SYu703
8005982,865,C2011,~0SYu703
8005983,865,C2011,~0SYu703
8005984,865,C2011,~0T09703
8005985,865,C2011,~0T09703
8005986,865,C2011,~0T09703
8005987,865,C2011,~0T09703
8005996,865,C2011,~0TCH703
8005997,865,C2011,~0TCH703
8005998,865,C2011,~0TCH703
8005999,865,C2011,~0TCH703
8006000,865,C2011,~0U7F703
8006001,865,C2011,~0U7F703
8006002,865,C2011,~0U7F703
8006003,865,C2011,~0U7F703
8006020,865,C2011,~0VGeG96
8006021,865,C2011,~0VGeG96
8006022,865,C2011,~0VGeG96
8006023,865,C2011,~0VGeG96
8006024,865,C2011,~0VGeG96
8006035,865,C2011,~0Vq9703
8006036,865,C2011,~0Vq9703
8006037,865,C2011,~0Vq9703
8006038,865,C2011,~0Vq9703
8006044,865,C2011,~0W65G96
8006045,865,C2011,~0W65G96
8006046,865,C2011,~0W65G96
8006047,865,C2011,~0W65G96
8006053,865,C2011,~0WSv703
8006054,865,C2011,~0WSv703
8006055,865,C2011,~0WSv703
8006056,865,C2011,~0WSvG96
8006057,865,C2011,~0WSv703
8006058,865,C2011,~0WSvG96
8006059,865,C2011,~0WSvG96
8006060,865,C2011,~0WSvG96
8009890,866,C2005,m3612703
8009891,866,C2005,m3612703
8009892,866,C2005,m3612703
8009893,866,C2005,m3612703
8009921,866,C2005,m5805703
8009922,866,C2005,m5805703
8009923,866,C2005,m5805703
8009924,866,C2005,m5805703
8009930,866,C2005,m6490G96
8009931,866,C2005,m6490G96
8009932,866,C2005,m6490G96
8009933,866,C2005,m6490G96
8009940,866,C2005,n0321703
8009941,866,C2005,n0321703
8009942,866,C2005,n0321703
8009943,866,C2005,n0321703
8009949,866,C2005,n2733703
8009950,866,C2005,n2733703
8009951,866,C2005,n2733703
8009952,866,C2005,n2733703
8009953,866,C2005,n3409703
8009954,866,C2005,n3409703
8009955,866,C2005,n3409703
8009956,866,C2005,n3409703
8009966,866,C2005,n5009703
8009967,866,C2005,n5009703
8009968,866,C2005,n5009703
8009969,866,C2005,n5009703
8009970,866,C2005,p2434703
8009971,866,C2005,p2434703
8009972,866,C2005,p2434703
8009973,866,C2005,p2434703
8009974,866,C2005,p4136703
8009975,866,C2005,p4136703
8009976,866,C2005,p4136703
8009977,866,C2005,p4136703
8009984,866,C2005,p6806703
8009985,866,C2005,p6806703
8009986,866,C2005,p6806703
8009987,866,C2005,p6806703
8010007,866,C2006,q4007703
8010008,866,C2006,q4007703
8010009,866,C2006,q4007703
