a,e,i,peri,node,M
2.042559,0.539705,5.56617,218.174557,97.16093,349.852924
2.12741,0.58282,0.667031,311.426451,267.36247,11.514306
2.023521,0.681863,54.432015,95.514587,87.483084,16.405377
1.23051,0.206588,6.900727,218.528602,71.624623,334.549195
3.927776,0.950995,18.264907,311.424446,66.017886,355.364437
1.949018,0.901321,19.778193,315.132469,63.656482,345.901569
2.44476,0.952184,17.057746,144.437049,238.117763,350.989612
0.96852,0.298601,2.335415,245.225589,225.387598,81.067365
2.291598,0.762666,9.424363,267.255957,176.812461,12.808748
1.104968,0.85209,2.995919,215.4298,157.023242,34.527939
1.191549,0.315917,2.917828,106.220823,315.303929,41.71908
2.186497,0.794735,0.74823,76.913952,278.499697,13.32575
2.452203,0.775044,6.186343,269.567318,78.709189,11.236723
2.101902,0.666341,2.685035,253.885921,253.139618,345.908417
2.088151,0.615219,6.592122,59.316478,59.026263,347.120493
1.708279,0.474202,18.310817,45.345328,36.280682,344.745496
1.579711,0.805908,7.234065,123.350644,32.358746,338.382048
2.756511,0.682361,14.542135,134.414959,202.750379,6.879918
0.899818,0.51901,3.722229,48.963769,200.984659,72.992655
1.579376,0.446604,7.03671,123.814759,143.801982,21.295322
3.69973,0.787334,3.799865,119.35579,132.854518,5.318455
0.983114,0.356197,1.534229,295.631935,122.764814,284.974179
1.379865,0.389387,39.832059,112.886671,104.992466,31.028732
0.869179,0.355584,22.102971,44.654906,89.877,100.508053
1.891446,0.765695,2.036382,287.127128,58.978696,342.251482
2.087394,0.564364,7.162502,317.190689,215.714518,10.552372
2.118757,0.546068,16.187041,332.044136,204.787205,7.076402
1.549284,0.354346,33.00486,182.710028,16.227816,358.789305
0.732949,0.875802,141.042882,18.801173,10.688098,68.814659
1.58677,0.704925,0.99502,73.899021,342.020315,23.637725
1.765871,0.673088,6.066396,88.060478,330.001253,19.978247
1.790193,0.501161,1.861318,44.536286,145.63054,346.288385
2.098202,0.531955,10.100481,174.219407,296.553384,1.499967
2.200123,0.620296,3.401706,52.615447,111.216516,349.16139
1.127692,0.205779,20.820704,298.490918,108.180843,42.316356
1.486976,0.36424,18.176762,148.775092,277.203451,13.918385
0.845096,0.197437,37.020636,205.569432,57.909213,143.186985
1.822598,0.523638,13.716072,52.995425,351.8165,344.369951
7.18868,0.885728,5.503652,127.21329,161.332671,1.712151
-1.927343,1.450157,23.367235,221.064462,124.694705,
1.7812,0.606045,3.211673,259.505695,123.922672,339.65196
1.217809,0.191371,18.222195,35.950177,302.043931,335.550539
19.457986,0.948075,10.401678,188.659494,118.918138,359.926202
0.634543,0.60716,10.609328,356.068358,117.442423,192.671576
2.044536,0.633241,1.928581,108.778794,105.684056,15.385611
