(-1.2631848865570396, 22566900141.336426),
(-1.1984447770690672, 22858960785.643063),
(-1.14757754818566, 23088437006.16992),
(-1.1313890439012346, 27672746048.054688),
(-1.0967033654773888, 32340500988.3125),
(-1.073585374715545, 27933514480.47119),
(-1.0643333107334023, 32486531310.46582),
(-1.0550882005761242, 28016960378.844727),
(-1.038899696291699, 32601269420.729004),
(-1.020399045239846, 37196009199.91016),
(-1.0019018711004253, 37279455098.28369),
(-0.9741456791539976, 50938505588.26758),
(-0.95795369795714, 60034108510.96045),
(-0.937144377050292, 60127985146.63037),
(-0.9255766893882894, 69202726594.72949),
(-0.897827451266726, 73839189323.09717),
(-0.8700712593202984, 87498239813.08105),
(-0.8377046814887443, 83132976254.42627),
(-0.8215161772043189, 87717285296.31104),
(-0.8076328658624569, 101313751362.51463),
(-0.7914478384904637, 101386766523.59132),
(-0.7706350406711832, 105991937040.06934),
(-0.75445001329919, 106064952201.146),
(-0.7150878876540055, 178422976828.1172),
(-0.7428788487247554, 119650987530.05322),
(-0.7012010993997111, 196530736775.1289),
(-0.6965559443902626, 223619361534.5703),
(-0.6826552484862392, 259772297004.814),
(-0.6756979467093631, 286871352501.55176),
(-0.6618076815426364, 309490406329.3716),
(-0.6479104625510455, 341132047918.8076),
(-0.6316976198795945, 377295414126.34766),
(-0.6247437950151506, 399883175742.27686),
(-0.613155245878555, 436025680475.2241),
(-0.5854060077569916, 440662143203.5923),
(-0.6039031818964122, 440578697305.2188),
(-0.5622845400827159, 440766450576.5591),
(-0.5530324761005732, 445319467406.5537),
(-0.5345318250487203, 449914207185.73486),
(-0.5206589444441547, 449976791609.51465),
(-0.5091016875194492, 445517651415.1904),
(-0.4929166601474559, 445590666576.2671),
(-0.4859906505824698, 432088077145.7329),
(-0.4721177699779042, 432150661569.5127),
(-0.4582518431982032, 423190658231.6768),
(-0.4420772465635065, 409729791750.3296),
(-0.4305130358139364, 414293239317.6211),
(-0.4212540180069293, 427868843909.23193),
(-0.41430714696735, 441434017763.5454),
(-0.4004134048881911, 468564365472.1733),
(-0.3911613409060488, 473117382302.168),
(-0.3796006070689108, 473169535988.65137),
(-0.3657277264643452, 473232120412.4312),
(-0.3541739464520717, 464261686337.2988),
(-0.3426132126149337, 464313840023.7822),
(-0.3241334230376742, 441840816518.1157),
(-0.303344963605419, 414866929868.938),
(-0.2917877066807133, 410407789674.6133),
(-0.2756061562211525, 405969510954.8818),
(-0.2594211288491592, 406042526115.9585),
(-0.2478603950120215, 406094679802.4414),
(-0.2362927073500191, 415169421250.541),
(-0.2224093960081568, 428765887316.7451),
(-0.208529561578727, 437851059502.1406),
(-0.1992809745090165, 437892782451.3272),
(-0.173829975505152, 460563989965.63086),
(-0.1530206545983035, 460657866601.3008),
(-0.1437651137037288, 469722177312.103),
(-0.129874848537002, 492341231139.92334),
(-0.1067220886508362, 533047183440.16113),
(-0.1182967301377031, 514949854230.4463),
(-0.097487409230855, 515043730866.1167),
(-0.0882527298108735, 497040278292.0713),
(-0.0674468858164574, 492622861046.9331),
(-0.0466619032966346, 461137680516.94727),
(-0.0235439125347909, 456730694009.106),
(-0.0142918485526482, 461283710839.1006),
(-0.0050224000083445, 488393197073.1348),
(0.0065591953033865, 515513114044.4663),
(0.0157973516358003, 502020955351.229),
(0.0204216451706555, 502041816825.8223),
(0.025052892530375, 511085266062.0317),
(0.0343014796000855, 511126989011.2183),
(0.043553543582228, 515680005841.2129),
(0.0528334228638283, 556323373717.6714),
(0.0505073684466717, 538267767457.1426),
(0.0621133021454285, 596966741594.1299),
(0.0690775577471691, 633088384852.4834),
(0.0714105659891899, 660166578874.6274),
(0.0760591979110709, 691766497514.8765),
(0.0853460310175355, 741432453152.9512),
(0.0876894699968533, 782044528817.519),
(0.0946641563358903, 831700053718.2969),
(0.0970215029649368, 890357304906.0972),
(0.1016805656241144, 935491105188.77),
(0.1063431051957239, 985136199352.2512),
(0.1109917371176048, 1016736117992.5004),
(0.1133177915347611, 1034791724253.0286),
(0.1156438459519177, 1052847330513.5573),
(0.1179803311063707, 1084436818416.5098),
(0.1226220092033871, 1107014149295.143),
(0.1249584943578403, 1138603637198.0957),
(0.1342383736394405, 1179247005074.5537),
(0.143518252921041, 1219890372951.012),
(0.1504755546979173, 1246989428447.7498),
(0.1551241866197978, 1278589347087.999),
(0.1644005889889659, 1314721421083.6492),
(0.1667231664936901, 1328265733463.3696),
(0.1736700375332698, 1341830907317.6836),
(0.1806273393101458, 1368929962814.4214),
(0.1899037416793139, 1405062036810.072),
(0.1991731902236173, 1432171523044.1064),
(0.2061165843507646, 1441225403017.6123),
(0.2107408778856196, 1441246264492.2058),
(0.2130391170033185, 1423211519706.2705),
(0.2176495028884448, 1405187205657.632),
(0.2268841823084262, 1387183753083.587),
(0.2222633656860031, 1391674185489.8015),
(0.2338206226107089, 1387215045295.4768),
(0.2384518699704287, 1396258494531.686),
(0.2407744474751529, 1409802806911.4065),
(0.2431005018923095, 1427858413171.935),
(0.2477387030768933, 1445924450169.7605),
(0.2546960048537696, 1473023505666.498),
(0.2570290130957904, 1500101699688.6423),
(0.2593585444253792, 1522668599829.979),
(0.2616845988425358, 1540724206090.5076),
(0.2640176070845568, 1567802400112.652),
(0.2663540922390099, 1599391888015.6047),
(0.2710409701976448, 1680616039344.7412),
