,packed_number,year,obs
67000011,12455,2005,703
67000012,12455,2005,703
67000013,12455,2005,703
67000014,12455,2005,703
67000022,12455,2005,703
67000023,12455,2005,703
67000024,12455,2005,703
67000025,12455,2005,703
67000043,12455,2005,703
67000044,12455,2005,703
67000045,12455,2005,703
67000046,12455,2005,703
67000047,12455,2005,703
67000048,12455,2005,703
67000049,12455,2005,703
67000050,12455,2005,703
67000073,12455,2006,703
67000075,12455,2006,703
67000076,12455,2006,703
67000077,12455,2006,703
67000091,12455,2006,703
67000092,12455,2006,703
67000093,12455,2006,703
67000094,12455,2006,703
67000154,12455,2006,703
67000155,12455,2006,703
67000156,12455,2006,703
67000157,12455,2006,703
67000158,12455,2006,G96
67000159,12455,2006,G96
67000160,12455,2006,G96
67000161,12455,2006,G96
67000169,12455,2007,G96
67000170,12455,2007,G96
67000171,12455,2007,G96
67000172,12455,2007,G96
67000233,12455,2009,G96
67000234,12455,2009,G96
67000235,12455,2009,G96
67000236,12455,2009,G96
67000279,12455,2010,G96
67000280,12455,2010,G96
67000281,12455,2010,G96
67000282,12455,2010,G96
67000283,12455,2010,703
67000284,12455,2010,703
67000285,12455,2010,703
67000286,12455,2010,703
67000295,12455,2010,703
67000296,12455,2010,703
67000297,12455,2010,703
67000298,12455,2010,703
67000308,12455,2010,703
67000309,12455,2010,703
67000310,12455,2010,703
67000311,12455,2010,703
67000314,12455,2010,G96
67000315,12455,2010,G96
67000316,12455,2010,G96
67000317,12455,2010,G96
67000321,12455,2010,703
67000322,12455,2010,703
67000323,12455,2010,703
67000324,12455,2010,703
67000325,12455,2010,703
67000326,12455,2010,703
67000327,12455,2010,703
67000328,12455,2010,703
67000329,12455,2010,703
67000330,12455,2010,703
67000331,12455,2010,703
67000332,12455,2010,703
67000342,12455,2010,G96
67000343,12455,2010,G96
67000344,12455,2010,G96
67000345,12455,2010,G96
67000346,12455,2010,703
67000347,12455,2010,703
67000348,12455,2010,703
67000349,12455,2010,703
67000366,12455,2011,G96
67000367,12455,2011,G96
67000368,12455,2011,G96
67000369,12455,2011,G96
67000370,12455,2011,G96
67000371,12455,2011,G96
67000372,12455,2011,G96
67000373,12455,2011,G96
67000374,12455,2011,G96
67000375,12455,2011,G96
67000376,12455,2011,G96
67000377,12455,2011,G96
67000388,12455,2012,703
67000389,12455,2012,703
67000390,12455,2012,703
67000391,12455,2012,703
67000409,12455,2012,G96
67000410,12455,2012,G96
67000411,12455,2012,G96
67000412,12455,2012,G96
67000422,12455,2012,703
67000423,12455,2012,703
67000424,12455,2012,703
67000425,12455,2012,703
67000428,12455,2012,G96
67000429,12455,2012,G96
67000430,12455,2012,G96
67000431,12455,2012,G96
67000432,12455,2012,703
67000433,12455,2012,703
67000434,12455,2012,703
67000435,12455,2012,703
67000441,12455,2012,G96
67000442,12455,2012,G96
67000443,12455,2012,G96
67000444,12455,2012,G96
67000453,12455,2012,703
67000454,12455,2012,703
67000455,12455,2012,703
67000456,12455,2012,703
67000457,12455,2012,G96
67000458,12455,2012,G96
67000459,12455,2012,G96
67000460,12455,2012,G96
67002512,12456,2005,703
67002513,12456,2005,703
67002514,12456,2005,703
67002515,12456,2005,703
67002520,12456,2005,703
67002521,12456,2005,703
67002522,12456,2005,703
67002523,12456,2005,703
67002528,12456,2005,G96
67002529,12456,2005,G96
67002530,12456,2005,G96
67002531,12456,2005,G96
67002541,12456,2005,703
67002542,12456,2005,703
67002543,12456,2005,703
67002544,12456,2005,703
67002563,12456,2005,703
67002564,12456,2005,703
67002565,12456,2005,703
67002566,12456,2005,703
67002570,12456,2007,G96
67002571,12456,2007,G96
67002572,12456,2007,G96
67002573,12456,2007,G96
67002581,12456,2007,G96
67002582,12456,2007,G96
67002583,12456,2007,G96
67002584,12456,2007,G96
67002601,12456,2007,703
67002602,12456,2007,703
67002603,12456,2007,703
67002622,12456,2007,G96
67002623,12456,2007,G96
67002624,12456,2007,G96
67002625,12456,2007,G96
67002647,12456,2007,G96
67002648,12456,2007,G96
67002649,12456,2007,G96
67002650,12456,2007,G96
67002659,12456,2007,703
67002660,12456,2007,703
67002661,12456,2007,703
67002662,12456,2007,703
67002676,12456,2008,G96
67002677,12456,2008,G96
67002678,12456,2008,G96
67002679,12456,2008,G96
67002683,12456,2008,703
67002684,12456,2008,703
67002685,12456,2008,703
67002686,12456,2008,703
67002687,12456,2008,G96
67002688,12456,2008,G96
67002689,12456,2008,G96
67002690,12456,2008,G96
67002712,12456,2009,703
67002713,12456,2009,703
67002714,12456,2009,703
67002715,12456,2009,703
67002738,12456,2009,G96
67002739,12456,2009,G96
67002740,12456,2009,G96
67002741,12456,2009,G96
67002756,12456,2009,703
67002757,12456,2009,703
67002758,12456,2009,703
67002759,12456,2009,703
67002765,12456,2009,G96
67002766,12456,2009,G96
67002767,12456,2009,G96
67002768,12456,2009,G96
67002769,12456,2009,703
67002770,12456,2009,703
67002771,12456,2009,703
67002772,12456,2009,703
67002773,12456,2009,703
67002774,12456,2009,703
67002775,12456,2009,703
67002776,12456,2009,703
67002801,12456,2011,703
67002802,12456,2011,703
67002803,12456,2011,703
67002804,12456,2011,G96
67002805,12456,2011,G96
67002806,12456,2011,G96
67002807,12456,2011,G96
67002831,12456,2011,703
67002832,12456,2011,703
67002833,12456,2011,703
67002834,12456,2011,703
67002838,12456,2011,G96
67002839,12456,2011,G96
67002840,12456,2011,G96
67002841,12456,2011,G96
67002847,12456,2011,703
67002848,12456,2011,703
67002849,12456,2011,703
67002850,12456,2011,703
67002863,12456,2011,703
67002864,12456,2011,703
67002865,12456,2011,703
67002871,12456,2012,G96
67002872,12456,2012,G96
67002873,12456,2012,G96
67002874,12456,2012,G96
67002877,12456,2012,G96
67002878,12456,2012,G96
67002879,12456,2012,G96
67002880,12456,2012,G96
67002881,12456,2012,G96
67002882,12456,2012,G96
67002883,12456,2012,G96
67002884,12456,2012,G96
67002885,12456,2012,G96
67002886,12456,2012,G96
67002887,12456,2012,G96
67002888,12456,2012,G96
67002889,12456,2012,703
67002890,12456,2012,703
67002891,12456,2012,703
67002892,12456,2012,703
67002893,12456,2012,703
67002894,12456,2012,703
67002895,12456,2012,703
67002896,12456,2012,703
67005047,12457,2006,703
67005048,12457,2006,703
67005049,12457,2006,703
67005050,12457,2006,703
67005073,12457,2006,703
67005074,12457,2006,703
67005075,12457,2006,703
67005076,12457,2006,703
67005127,12457,2006,703
67005128,12457,2006,703
67005129,12457,2006,703
67005130,12457,2006,703
67005147,12457,2006,G96
67005148,12457,2006,G96
67005149,12457,2006,G96
67005150,12457,2006,G96
67005163,12457,2007,G96
67005164,12457,2007,G96
67005165,12457,2007,G96
67005166,12457,2007,G96
67005182,12457,2007,703
67005183,12457,2007,703
67005184,12457,2007,703
67005185,12457,2007,703
67005190,12457,2007,G96
67005191,12457,2007,G96
67005192,12457,2007,G96
67005193,12457,2007,G96
67005216,12457,2007,703
67005217,12457,2007,703
67005218,12457,2007,703
67005219,12457,2007,703
67005220,12457,2007,703
67005221,12457,2007,703
67005222,12457,2007,703
67005223,12457,2007,703
67005224,12457,2007,G96
67005225,12457,2007,G96
67005226,12457,2007,G96
67005227,12457,2007,G96
