,packed_number,year,obs
272000114,F4259,2005,703
272000115,F4259,2005,703
272000116,F4259,2005,703
272000117,F4259,2005,703
272000127,F4259,2006,703
272000128,F4259,2006,703
272000129,F4259,2006,703
272000130,F4259,2006,703
272000131,F4259,2006,703
272000132,F4259,2006,703
272000133,F4259,2006,703
272000134,F4259,2006,703
272000135,F4259,2006,G96
272000136,F4259,2006,G96
272000137,F4259,2006,G96
272000138,F4259,2006,G96
272000145,F4259,2006,703
272000146,F4259,2006,703
272000147,F4259,2006,703
272000148,F4259,2006,703
272000153,F4259,2007,G96
272000154,F4259,2007,G96
272000155,F4259,2007,G96
272000156,F4259,2007,G96
272000160,F4259,2007,G96
272000161,F4259,2007,G96
272000162,F4259,2007,G96
272000163,F4259,2007,G96
272000170,F4259,2008,G96
272000171,F4259,2008,G96
272000172,F4259,2008,G96
272000173,F4259,2008,G96
272000174,F4259,2008,G96
272000175,F4259,2008,G96
272000176,F4259,2008,G96
272000177,F4259,2008,G96
272000191,F4259,2010,G96
272000192,F4259,2010,G96
272000193,F4259,2010,G96
272000194,F4259,2010,G96
272000205,F4259,2012,G96
272000206,F4259,2012,G96
272000207,F4259,2012,G96
272000208,F4259,2012,G96
272000209,F4259,2012,G96
272000210,F4259,2012,G96
272000211,F4259,2012,G96
272000212,F4259,2012,G96
272000213,F4259,2012,G96
272000214,F4259,2012,G96
272000215,F4259,2012,G96
272000216,F4259,2012,G96
272000710,F4260,2005,703
272000711,F4260,2005,703
272000712,F4260,2005,703
272000713,F4260,2005,703
272000714,F4260,2005,703
272000715,F4260,2005,703
272000716,F4260,2005,703
272000724,F4260,2005,703
272000725,F4260,2005,703
272000726,F4260,2005,703
272000727,F4260,2005,703
272000728,F4260,2005,703
272000729,F4260,2005,703
272000730,F4260,2005,703
272000731,F4260,2005,703
272000740,F4260,2005,703
272000741,F4260,2005,703
272000742,F4260,2005,703
272000743,F4260,2005,703
272000754,F4260,2007,703
272000755,F4260,2007,703
272000756,F4260,2007,703
272000757,F4260,2007,703
272000772,F4260,2007,703
272000773,F4260,2007,703
272000774,F4260,2007,703
272000775,F4260,2007,703
272000780,F4260,2007,703
272000781,F4260,2007,703
272000782,F4260,2007,703
272000783,F4260,2007,703
272000784,F4260,2007,703
272000785,F4260,2007,703
272000786,F4260,2007,703
272000787,F4260,2007,703
272000788,F4260,2007,703
272000789,F4260,2007,703
272000790,F4260,2007,703
272000791,F4260,2007,703
272000792,F4260,2008,703
272000793,F4260,2008,703
272000794,F4260,2008,703
272000795,F4260,2008,703
272000800,F4260,2008,703
272000801,F4260,2008,703
272000802,F4260,2008,703
272000803,F4260,2008,703
272000804,F4260,2008,703
272000805,F4260,2008,703
272000806,F4260,2008,703
272000807,F4260,2008,703
272000811,F4260,2010,703
272000812,F4260,2010,703
272000813,F4260,2010,703
272000814,F4260,2010,703
272000815,F4260,2010,703
272000816,F4260,2010,703
272000817,F4260,2010,703
272000818,F4260,2010,703
272000826,F4260,2010,703
272000827,F4260,2010,703
272000828,F4260,2010,703
272000829,F4260,2010,703
272000835,F4260,2010,703
272000836,F4260,2010,703
272000837,F4260,2010,703
272000838,F4260,2010,703
272000839,F4260,2010,703
272000840,F4260,2010,703
272000841,F4260,2010,703
272000842,F4260,2010,703
272000843,F4260,2010,703
272000844,F4260,2010,703
272000845,F4260,2010,703
272000846,F4260,2010,703
272000847,F4260,2010,703
272000848,F4260,2010,703
272000849,F4260,2010,703
272000850,F4260,2010,703
272000851,F4260,2010,703
272000852,F4260,2010,703
272000853,F4260,2010,703
272000854,F4260,2010,703
272000855,F4260,2010,703
272000856,F4260,2010,703
272000859,F4260,2012,703
272000860,F4260,2012,703
272000861,F4260,2012,703
272000862,F4260,2012,703
272000863,F4260,2012,703
272001697,F4261,2006,G96
272001698,F4261,2006,G96
272001699,F4261,2006,G96
272001700,F4261,2006,G96
272001704,F4261,2006,703
272001705,F4261,2006,703
272001706,F4261,2006,703
272001707,F4261,2006,703
272001708,F4261,2006,G96
272001709,F4261,2006,G96
272001710,F4261,2006,G96
272001711,F4261,2006,G96
272001718,F4261,2006,G96
272001719,F4261,2006,G96
272001720,F4261,2006,G96
272001721,F4261,2006,G96
272001742,F4261,2006,G96
272001743,F4261,2006,G96
272001744,F4261,2006,G96
272001748,F4261,2006,703
272001749,F4261,2006,703
272001750,F4261,2006,703
272001751,F4261,2006,703
272001761,F4261,2006,G96
272001762,F4261,2006,G96
272001763,F4261,2006,G96
272001764,F4261,2006,G96
272001765,F4261,2008,G96
272001766,F4261,2008,G96
272001767,F4261,2008,G96
272001768,F4261,2008,G96
272001769,F4261,2009,G96
272001770,F4261,2009,G96
272001771,F4261,2009,G96
272001772,F4261,2009,G96
272001773,F4261,2009,G96
272001774,F4261,2009,G96
272001775,F4261,2009,G96
272001776,F4261,2009,G96
272001777,F4261,2009,G96
272001778,F4261,2009,G96
272001779,F4261,2009,G96
272001780,F4261,2009,G96
272001786,F4261,2010,G96
272001787,F4261,2010,G96
272001788,F4261,2010,G96
272001789,F4261,2010,G96
272001790,F4261,2011,G96
272001791,F4261,2011,G96
272001792,F4261,2011,G96
272001793,F4261,2011,G96
272002320,F4262,2006,G96
272002321,F4262,2006,G96
272002322,F4262,2006,G96
272002323,F4262,2006,G96
272002333,F4262,2007,G96
272002334,F4262,2007,G96
272002335,F4262,2007,G96
272002336,F4262,2007,G96
272002337,F4262,2007,G96
272002338,F4262,2007,G96
272002339,F4262,2007,G96
272002340,F4262,2007,G96
272002341,F4262,2008,G96
272002342,F4262,2008,G96
272002343,F4262,2008,G96
272002344,F4262,2008,G96
272002410,F4262,2010,703
272002411,F4262,2010,703
272002412,F4262,2010,703
272002413,F4262,2010,703
272002443,F4262,2010,703
272002444,F4262,2010,703
272002445,F4262,2010,703
272002446,F4262,2010,703
272002453,F4262,2010,G96
272002455,F4262,2010,G96
272002456,F4262,2010,G96
272002458,F4262,2010,G96
272002465,F4262,2011,703
272002466,F4262,2011,703
272002467,F4262,2011,703
272002468,F4262,2011,703
272002476,F4262,2011,G96
272002477,F4262,2011,G96
272002478,F4262,2011,G96
272002479,F4262,2011,G96
272002895,F4263,2006,G96
272002896,F4263,2006,G96
272002897,F4263,2006,G96
272002898,F4263,2006,G96
272002902,F4263,2007,G96
272002903,F4263,2007,G96
272002904,F4263,2007,G96
272002905,F4263,2007,G96
272002950,F4263,2010,G96
272002951,F4263,2010,G96
272002952,F4263,2010,G96
272002953,F4263,2010,G96
272002961,F4263,2010,703
272002962,F4263,2010,703
272002963,F4263,2010,703
272002964,F4263,2010,703
272002989,F4263,2011,G96
272002990,F4263,2011,G96
272002991,F4263,2011,G96
272002992,F4263,2011,G96
272003015,F4263,2011,G96
272003016,F4263,2011,G96
272003017,F4263,2011,G96
272003021,F4263,2011,G96
272003022,F4263,2011,G96
272003023,F4263,2011,G96
272003024,F4263,2011,G96
272003048,F4263,2011,G96
272003049,F4263,2011,G96
272003050,F4263,2011,G96
272003051,F4263,2011,G96
272003052,F4263,2012,G96
272003053,F4263,2012,G96
272003054,F4263,2012,G96
272003055,F4263,2012,G96
272003402,F4264,2007,G96
272003403,F4264,2007,G96
272003404,F4264,2007,G96
272003405,F4264,2007,G96
272003406,F4264,2007,G96
272003407,F4264,2007,G96
272003408,F4264,2007,G96
272003409,F4264,2007,G96
272003410,F4264,2007,G96
272003411,F4264,2007,G96
272003412,F4264,2007,G96
272003413,F4264,2007,G96
272003414,F4264,2007,G96
272003415,F4264,2007,G96
272003416,F4264,2007,G96
272003417,F4264,2007,G96
272003418,F4264,2007,G96
272003419,F4264,2007,G96
272003420,F4264,2007,G96
272003421,F4264,2007,G96
272003462,F4264,2010,703
272003463,F4264,2010,703
272003464,F4264,2010,703
272003465,F4264,2010,703
272003516,F4264,2011,G96
272003517,F4264,2011,G96
272003518,F4264,2011,G96
272003519,F4264,2011,G96
272003520,F4264,2011,G96
272003521,F4264,2011,G96
272003522,F4264,2011,G96
272003523,F4264,2011,G96
272003524,F4264,2012,G96
272003525,F4264,2012,G96
272003526,F4264,2012,G96
272003527,F4264,2012,G96
272003974,F4265,2006,703
272003975,F4265,2006,703
272003978,F4265,2006,703
272003979,F4265,2006,703
272003984,F4265,2006,703
272003986,F4265,2006,703
272003987,F4265,2006,703
272003988,F4265,2006,703
272003995,F4265,2006,G96
272003996,F4265,2006,G96
272003997,F4265,2006,G96
272003998,F4265,2006,G96
272003999,F4265,2006,G96
272004000,F4265,2006,G96
272004001,F4265,2006,G96
272004002,F4265,2006,G96
272004003,F4265,2008,G96
272004004,F4265,2008,G96
272004005,F4265,2008,G96
272004006,F4265,2008,G96
272004016,F4265,2009,G96
272004017,F4265,2009,G96
272004018,F4265,2009,G96
272004019,F4265,2009,G96
272004020,F4265,2009,G96
272004021,F4265,2009,G96
272004022,F4265,2009,G96
272004023,F4265,2009,G96
272004039,F4265,2012,G96
272004040,F4265,2012,G96
272004041,F4265,2012,G96
272004042,F4265,2012,G96
272004318,F4266,2007,703
272004320,F4266,2007,703
272004321,F4266,2007,703
272004322,F4266,2007,703
272004325,F4266,2007,G96
272004326,F4266,2007,G96
272004327,F4266,2007,G96
272004328,F4266,2007,G96
272004329,F4266,2007,703
272004330,F4266,2007,703
272004331,F4266,2007,703
272004332,F4266,2007,703
272004333,F4266,2007,G96
272004334,F4266,2007,G96
272004335,F4266,2007,G96
272004336,F4266,2007,G96
272004337,F4266,2007,G96
272004338,F4266,2007,G96
272004339,F4266,2007,G96
272004340,F4266,2007,G96
272004347,F4266,2008,G96
272004348,F4266,2008,G96
272004349,F4266,2008,G96
272004350,F4266,2008,G96
272004374,F4266,2009,703
272004375,F4266,2009,703
272004376,F4266,2009,703
272004381,F4266,2009,703
272004382,F4266,2009,703
272004383,F4266,2009,703
272004384,F4266,2009,703
272004399,F4266,2009,703
272004400,F4266,2009,703
272004401,F4266,2009,703
272004447,F4266,2011,G96
272004448,F4266,2011,G96
272004450,F4266,2011,G96
272004451,F4266,2011,G96
272004454,F4266,2011,G96
272004455,F4266,2011,G96
272004456,F4266,2011,G96
272004457,F4266,2011,G96
272004458,F4266,2011,G96
272004459,F4266,2011,G96
272004460,F4266,2011,G96
272004461,F4266,2011,G96
272005150,F4267,2006,703
272005151,F4267,2006,703
272005152,F4267,2006,703
272005153,F4267,2006,703
272005190,F4267,2006,703
272005191,F4267,2006,703
272005192,F4267,2006,703
272005194,F4267,2006,703
272005204,F4267,2006,703
272005205,F4267,2006,703
272005206,F4267,2006,703
272005207,F4267,2006,703
272005221,F4267,2008,703
272005222,F4267,2008,703
272005223,F4267,2008,703
272005224,F4267,2008,703
272005225,F4267,2008,703
272005226,F4267,2008,703
272005227,F4267,2008,703
272005228,F4267,2008,703
272005229,F4267,2008,G96
272005230,F4267,2008,G96
272005231,F4267,2008,G96
272005232,F4267,2008,G96
272005275,F4267,2010,703
272005276,F4267,2010,703
272005277,F4267,2010,703
272005278,F4267,2010,703
272005279,F4267,2010,703
272005280,F4267,2010,703
272005281,F4267,2010,703
272005282,F4267,2010,703
272005283,F4267,2010,703
272005289,F4267,2010,703
272005290,F4267,2010,703
272005291,F4267,2010,703
272005292,F4267,2010,703
272005293,F4267,2010,703
272005294,F4267,2010,703
272005295,F4267,2010,703
272005296,F4267,2010,703
272005297,F4267,2010,G96
272005298,F4267,2010,G96
272005299,F4267,2010,G96
272005300,F4267,2010,G96
272005301,F4267,2010,703
272005302,F4267,2010,703
272005303,F4267,2010,703
272005310,F4267,2010,703
272005311,F4267,2010,703
272005312,F4267,2010,703
272005313,F4267,2011,703
272005314,F4267,2011,703
272005315,F4267,2011,703
272005316,F4267,2011,703
272005325,F4267,2011,703
272005326,F4267,2011,703
272005327,F4267,2011,703
272005328,F4267,2011,703
272005331,F4267,2012,703
272005332,F4267,2012,703
272005333,F4267,2012,703
272005334,F4267,2012,703
272005339,F4267,2012,703
272005340,F4267,2012,703
272005341,F4267,2012,703
272005342,F4267,2012,703
272006785,F4268,2005,703
272006786,F4268,2005,703
272006787,F4268,2005,703
272006788,F4268,2005,703
272007097,F4269,2007,703
272007098,F4269,2007,703
272007099,F4269,2007,703
272007100,F4269,2007,703
272007127,F4269,2010,G96
272007128,F4269,2010,G96
272007129,F4269,2010,G96
272007130,F4269,2010,G96
272007131,F4269,2010,G96
272007132,F4269,2010,G96
272007133,F4269,2010,G96
272007134,F4269,2010,G96
272007139,F4269,2012,703
272007140,F4269,2012,703
272007141,F4269,2012,703
272007142,F4269,2012,703
272007143,F4269,2012,703
272007144,F4269,2012,703
272007145,F4269,2012,703
272007162,F4269,2012,703
272007163,F4269,2012,703
272007164,F4269,2012,703
272007192,F4269,2012,703
272007193,F4269,2012,703
272007194,F4269,2012,703
272007419,F4270,2005,G96
272007420,F4270,2005,G96
272007421,F4270,2005,G96
272007422,F4270,2005,G96
272007423,F4270,2005,G96
272007424,F4270,2005,G96
272007425,F4270,2005,G96
272007426,F4270,2005,G96
272007430,F4270,2007,G96
272007431,F4270,2007,G96
272007432,F4270,2007,G96
272007433,F4270,2007,G96
272007434,F4270,2007,G96
272007435,F4270,2007,G96
272007436,F4270,2007,G96
272007437,F4270,2007,G96
272007438,F4270,2010,703
272007439,F4270,2010,703
272007440,F4270,2010,703
272007441,F4270,2010,703
272007464,F4270,2012,703
272007465,F4270,2012,703
272007466,F4270,2012,703
272007467,F4270,2012,703
272007472,F4270,2012,703
272007473,F4270,2012,703
272007474,F4270,2012,703
272007475,F4270,2012,703
272007476,F4270,2012,G96
272007477,F4270,2012,G96
272007478,F4270,2012,G96
272007479,F4270,2012,G96
272007485,F4270,2012,703
272007486,F4270,2012,703
272007487,F4270,2012,703
272007488,F4270,2012,703
272007489,F4270,2012,703
272007490,F4270,2012,703
272007491,F4270,2012,703
272007492,F4270,2012,703
272007493,F4270,2012,703
272007494,F4270,2012,703
272007495,F4270,2012,703
272007496,F4270,2012,703
272007861,F4271,2005,G96
272007862,F4271,2005,G96
272007863,F4271,2005,G96
272007864,F4271,2005,G96
272007874,F4271,2007,703
272007875,F4271,2007,703
272007876,F4271,2007,703
272007877,F4271,2007,703
272007886,F4271,2007,G96
272007887,F4271,2007,G96
272007888,F4271,2007,G96
272007889,F4271,2007,G96
272007890,F4271,2007,G96
272007891,F4271,2007,G96
272007892,F4271,2007,G96
272007893,F4271,2007,G96
272007894,F4271,2007,G96
272007895,F4271,2007,G96
272007896,F4271,2007,G96
272007897,F4271,2007,G96
272007898,F4271,2009,G96
272007899,F4271,2009,G96
272007900,F4271,2009,G96
272007901,F4271,2009,G96
272007905,F4271,2010,703
272007906,F4271,2010,703
272007907,F4271,2010,703
272007908,F4271,2010,G96
272007909,F4271,2010,G96
272007910,F4271,2010,G96
272007911,F4271,2010,G96
272007912,F4271,2010,G96
272007921,F4271,2010,G96
272007922,F4271,2010,G96
272007923,F4271,2010,G96
272007924,F4271,2010,G96
272007955,F4271,2012,G96
272007956,F4271,2012,G96
272007957,F4271,2012,G96
272007958,F4271,2012,G96
272007959,F4271,2012,G96
272007960,F4271,2012,G96
272007961,F4271,2012,G96
272007962,F4271,2012,G96
272007966,F4271,2012,G96
272007967,F4271,2012,G96
272007968,F4271,2012,G96
272007969,F4271,2012,G96
272007970,F4271,2012,703
272007971,F4271,2012,703
272007972,F4271,2012,703
272007973,F4271,2012,703
272007974,F4271,2012,703
272007979,F4271,2012,G96
272007980,F4271,2012,G96
272007982,F4271,2012,G96
272007983,F4271,2012,G96
272007984,F4271,2012,G96
272007985,F4271,2012,G96
272007986,F4271,2012,G96
272007987,F4271,2012,G96
272007988,F4271,2012,G96
272007994,F4271,2012,703
272007995,F4271,2012,703
272007996,F4271,2012,703
272007997,F4271,2012,703
272008472,F4272,2007,703
272008473,F4272,2007,703
272008474,F4272,2007,703
272008475,F4272,2007,703
272008490,F4272,2010,G96
272008491,F4272,2010,G96
272008492,F4272,2010,G96
272008493,F4272,2012,G96
272008494,F4272,2012,G96
272008495,F4272,2012,G96
272008496,F4272,2012,G96
272008497,F4272,2012,703
272008498,F4272,2012,703
