,packed_number,year,obs
182000511,67944,2005,703
182000512,67944,2005,703
182000513,67944,2005,703
182000514,67944,2005,703
182000518,67944,2005,703
182000519,67944,2005,703
182000520,67944,2005,703
182000521,67944,2005,703
182000526,67944,2005,703
182000527,67944,2005,703
182000528,67944,2005,703
182000529,67944,2005,703
182000533,67944,2005,703
182000534,67944,2005,703
182000535,67944,2005,703
182000536,67944,2005,703
182000542,67944,2006,703
182000543,67944,2006,703
182000544,67944,2006,703
182000545,67944,2006,703
182000546,67944,2006,703
182000547,67944,2006,703
182000548,67944,2006,703
182000549,67944,2006,703
182000563,67944,2006,703
182000564,67944,2006,703
182000565,67944,2006,703
182000566,67944,2006,703
182000567,67944,2006,703
182000568,67944,2006,703
182000569,67944,2006,703
182000570,67944,2006,703
182000571,67944,2006,703
182000572,67944,2006,703
182000573,67944,2006,703
182000574,67944,2006,703
182000585,67944,2007,703
182000586,67944,2007,703
182000587,67944,2007,703
182000588,67944,2007,703
182000651,67944,2007,703
182000653,67944,2007,703
182000655,67944,2007,703
182000656,67944,2007,703
182000669,67944,2007,703
182000670,67944,2007,703
182000671,67944,2007,703
182000672,67944,2007,703
182000673,67944,2007,703
182000674,67944,2007,703
182000675,67944,2007,703
182000676,67944,2007,703
182000677,67944,2007,703
182000678,67944,2007,703
182000679,67944,2007,703
182000680,67944,2007,703
182000681,67944,2007,703
182000682,67944,2007,703
182000683,67944,2007,703
182000684,67944,2007,703
182000697,67944,2008,703
182000698,67944,2008,703
182000699,67944,2008,703
182000700,67944,2008,703
182000701,67944,2008,G96
182000702,67944,2008,G96
182000703,67944,2008,G96
182000707,67944,2008,703
182000708,67944,2008,703
182000709,67944,2008,703
182000710,67944,2008,703
182000739,67944,2009,G96
182000740,67944,2009,G96
182000741,67944,2009,G96
182000742,67944,2009,G96
182000756,67944,2009,703
182000757,67944,2009,703
182000758,67944,2009,703
182000759,67944,2009,703
182000760,67944,2009,G96
182000761,67944,2009,G96
182000762,67944,2009,G96
182000763,67944,2009,G96
182002216,67945,2005,703
182002217,67945,2005,703
182002219,67945,2005,703
182002220,67945,2005,703
182002222,67945,2005,703
182002223,67945,2005,703
182002224,67945,2005,703
182002225,67945,2005,703
182002233,67945,2005,703
182002234,67945,2005,703
182002235,67945,2005,703
182002236,67945,2005,703
182002252,67945,2005,703
182002253,67945,2005,703
182002254,67945,2005,703
182002255,67945,2005,703
182002256,67945,2005,G96
182002257,67945,2005,G96
182002258,67945,2005,G96
182002259,67945,2005,G96
182002260,67945,2005,G96
182002261,67945,2005,G96
182002262,67945,2005,G96
182002263,67945,2005,G96
182002331,67945,2009,703
182002332,67945,2009,703
182002333,67945,2009,703
182002334,67945,2009,703
182002335,67945,2009,G96
182002336,67945,2009,G96
182002337,67945,2009,G96
182002338,67945,2009,G96
182002377,67945,2010,703
182002378,67945,2010,703
182002379,67945,2010,703
182002380,67945,2010,703
182002389,67945,2010,703
182002390,67945,2010,703
182002391,67945,2010,703
182002392,67945,2010,703
182002412,67945,2010,703
182002413,67945,2010,703
182002414,67945,2010,703
182002415,67945,2010,703
182002428,67945,2010,703
182002429,67945,2010,703
182002430,67945,2010,703
182002431,67945,2010,703
182002435,67945,2010,G96
182002436,67945,2010,G96
182002437,67945,2010,G96
182002438,67945,2010,G96
182002449,67945,2010,703
182002450,67945,2010,703
182002451,67945,2010,703
182002452,67945,2010,703
182002453,67945,2010,703
182002454,67945,2010,703
182002455,67945,2010,703
182002456,67945,2010,703
182002457,67945,2010,703
182002458,67945,2010,703
182002459,67945,2010,703
182002460,67945,2010,703
182002464,67945,2011,703
182002465,67945,2011,703
182002466,67945,2011,703
182002467,67945,2011,703
182002488,67945,2012,703
182002489,67945,2012,703
182002490,67945,2012,703
182002491,67945,2012,703
182002519,67945,2012,703
182002520,67945,2012,703
182002521,67945,2012,703
182002522,67945,2012,703
182002526,67945,2012,G96
182002527,67945,2012,G96
182002528,67945,2012,G96
182002529,67945,2012,G96
182002530,67945,2012,703
182002531,67945,2012,703
182002532,67945,2012,703
182002533,67945,2012,703
182002534,67945,2012,703
182002535,67945,2012,703
182002536,67945,2012,703
182002537,67945,2012,703
182002538,67945,2012,G96
182002539,67945,2012,G96
182002540,67945,2012,G96
182002541,67945,2012,G96
182002542,67945,2012,G96
182002543,67945,2012,G96
182002544,67945,2012,G96
182002545,67945,2012,G96
182003661,67946,2005,703
182003662,67946,2005,703
182003663,67946,2005,703
182003664,67946,2005,703
182003672,67946,2005,G96
182003673,67946,2005,G96
182003674,67946,2005,G96
182003675,67946,2005,G96
182003676,67946,2006,G96
182003677,67946,2006,G96
182003678,67946,2006,G96
182003679,67946,2006,G96
182003680,67946,2006,G96
182003681,67946,2006,G96
182003682,67946,2006,G96
182003683,67946,2006,G96
182003705,67946,2007,703
182003706,67946,2007,703
182003707,67946,2007,703
182003708,67946,2007,703
182003714,67946,2007,G96
182003715,67946,2007,G96
182003716,67946,2007,G96
182003717,67946,2007,G96
182003731,67946,2007,G96
182003733,67946,2007,G96
182003734,67946,2007,G96
182003735,67946,2007,G96
182003771,67946,2007,G96
182003772,67946,2007,G96
182003773,67946,2007,G96
182003774,67946,2007,G96
182003789,67946,2007,703
182003790,67946,2007,703
182003791,67946,2007,703
182003800,67946,2007,G96
182003801,67946,2007,G96
182003802,67946,2007,G96
182003803,67946,2007,G96
182003804,67946,2007,703
182003805,67946,2007,703
182003806,67946,2007,703
182003807,67946,2007,703
182003816,67946,2007,703
182003817,67946,2007,703
182003818,67946,2007,703
182003819,67946,2007,703
182003829,67946,2007,G96
182003830,67946,2007,G96
182003831,67946,2007,G96
182003832,67946,2007,G96
182003833,67946,2008,G96
182003834,67946,2008,G96
182003835,67946,2008,G96
182003836,67946,2008,G96
182003837,67946,2008,G96
182003838,67946,2008,G96
182003839,67946,2008,G96
182003840,67946,2008,G96
182003846,67946,2008,G96
182003847,67946,2008,G96
182003848,67946,2008,G96
182003849,67946,2008,G96
182003850,67946,2008,G96
182003851,67946,2008,G96
182003852,67946,2008,G96
182003853,67946,2008,G96
182003854,67946,2008,G96
182003855,67946,2008,G96
182003856,67946,2008,G96
182003857,67946,2008,G96
182003861,67946,2009,G96
182003862,67946,2009,G96
182003863,67946,2009,G96
182003864,67946,2009,G96
182003865,67946,2011,G96
182003866,67946,2011,G96
182003867,67946,2011,G96
182003868,67946,2011,G96
182004668,67947,2005,703
182004669,67947,2005,703
182004670,67947,2005,703
182004701,67947,2007,703
182004702,67947,2007,703
182004703,67947,2007,703
182004704,67947,2007,703
182004713,67947,2007,G96
182004714,67947,2007,G96
182004715,67947,2007,G96
182004716,67947,2007,G96
182004717,67947,2007,G96
182004718,67947,2007,G96
182004719,67947,2007,G96
182004720,67947,2007,G96
182004761,67947,2010,703
182004762,67947,2010,703
182004763,67947,2010,703
182004764,67947,2010,703
182004785,67947,2012,703
182004786,67947,2012,703
182004787,67947,2012,703
182004788,67947,2012,703
182004794,67947,2012,G96
182004795,67947,2012,G96
182004796,67947,2012,G96
182004797,67947,2012,G96
182004806,67947,2012,703
182004807,67947,2012,703
182004808,67947,2012,703
182004809,67947,2012,703
182004814,67947,2012,703
182004815,67947,2012,703
182004816,67947,2012,703
182004817,67947,2012,703
182005779,67948,2006,G96
182005780,67948,2006,G96
182005781,67948,2006,G96
182005782,67948,2006,G96
182005842,67948,2007,G96
182005843,67948,2007,G96
182005844,67948,2007,G96
182005845,67948,2007,G96
182005859,67948,2007,G96
182005860,67948,2007,G96
182005861,67948,2007,G96
182005862,67948,2007,G96
182005888,67948,2007,703
182005889,67948,2007,703
182005890,67948,2007,703
182005891,67948,2007,703
182005896,67948,2007,G96
182005897,67948,2007,G96
182005898,67948,2007,G96
182005899,67948,2007,G96
182005902,67948,2007,G96
182005903,67948,2007,G96
182005904,67948,2007,G96
182005905,67948,2007,G96
182005906,67948,2008,G96
182005907,67948,2008,G96
182005908,67948,2008,G96
182005909,67948,2008,G96
182005933,67948,2010,703
182005934,67948,2010,703
182005935,67948,2010,703
182005936,67948,2010,703
182005959,67948,2011,G96
182005960,67948,2011,G96
182005961,67948,2011,G96
182005962,67948,2011,G96
182005972,67948,2011,703
182005973,67948,2011,703
182005974,67948,2011,703
182005975,67948,2011,703
182005991,67948,2011,703
182005992,67948,2011,703
182005993,67948,2011,703
182005994,67948,2011,703
