,packed_number,year,obs
397000003,o2785,2008,G96
397000004,o2785,2008,G96
397000005,o2785,2008,G96
397000006,o2785,2008,G96
397000007,o2785,2008,G96
397000008,o2785,2008,G96
397000009,o2785,2008,G96
397000010,o2785,2008,G96
397000021,o2785,2010,G96
397000022,o2785,2010,G96
397000023,o2785,2010,G96
397000024,o2785,2010,G96
397000025,o2785,2010,G96
397000026,o2785,2010,G96
397000027,o2785,2010,G96
397000028,o2785,2010,G96
397000029,o2785,2011,G96
397000030,o2785,2011,G96
397000031,o2785,2011,G96
397000032,o2785,2011,G96
397000400,o2786,2007,G96
397000401,o2786,2007,G96
397000402,o2786,2007,G96
397000403,o2786,2007,G96
397000404,o2786,2007,G96
397000405,o2786,2007,G96
397000406,o2786,2007,G96
397000407,o2786,2007,G96
397000408,o2786,2011,G96
397000409,o2786,2011,G96
397000410,o2786,2011,G96
397000411,o2786,2011,G96
397000726,o2787,2008,G96
397000727,o2787,2008,G96
397000728,o2787,2008,G96
397000729,o2787,2008,G96
397000730,o2787,2010,G96
397000731,o2787,2010,G96
397000732,o2787,2010,G96
397000733,o2787,2010,G96
397000903,o2788,2006,703
397000904,o2788,2006,703
397000905,o2788,2006,703
397000906,o2788,2006,703
397000907,o2788,2009,G96
397000908,o2788,2009,G96
397000909,o2788,2009,G96
397000910,o2788,2009,G96
397000911,o2788,2009,G96
397000912,o2788,2009,G96
397000913,o2788,2009,G96
397000914,o2788,2009,G96
397001155,o2789,2007,G96
397001156,o2789,2007,G96
397001157,o2789,2007,G96
397001158,o2789,2007,G96
397001159,o2789,2008,G96
397001160,o2789,2008,G96
397001161,o2789,2008,G96
397001162,o2789,2008,G96
397001163,o2789,2008,G96
397001164,o2789,2008,G96
397001165,o2789,2008,G96
397001166,o2789,2008,G96
397001170,o2789,2010,G96
397001171,o2789,2010,G96
397001172,o2789,2010,G96
397001173,o2789,2010,G96
397001208,o2789,2012,G96
397001209,o2789,2012,G96
397001210,o2789,2012,G96
397001211,o2789,2012,G96
397001212,o2789,2012,G96
397001213,o2789,2012,G96
397001214,o2789,2012,G96
397001215,o2789,2012,G96
397001313,o2790,2006,G96
397001314,o2790,2006,G96
397001315,o2790,2006,G96
397001316,o2790,2006,G96
397001326,o2790,2008,G96
397001327,o2790,2008,G96
397001328,o2790,2008,G96
397001329,o2790,2008,G96
397001333,o2790,2010,G96
397001334,o2790,2010,G96
397001335,o2790,2010,G96
397001616,o2791,2009,G96
397001617,o2791,2009,G96
397001618,o2791,2009,G96
397001619,o2791,2009,G96
397001651,o2791,2011,G96
397001652,o2791,2011,G96
397001653,o2791,2011,G96
397001654,o2791,2011,G96
397001849,o2792,2008,G96
397001850,o2792,2008,G96
397001851,o2792,2008,G96
397001852,o2792,2008,G96
397001853,o2792,2008,G96
397001854,o2792,2008,G96
397001855,o2792,2008,G96
397001856,o2792,2008,G96
397001893,o2792,2011,G96
397001894,o2792,2011,G96
397001895,o2792,2011,G96
397001896,o2792,2011,G96
397001897,o2792,2011,G96
397001898,o2792,2011,G96
397001899,o2792,2011,G96
397002243,o2794,2009,G96
397002244,o2794,2009,G96
397002245,o2794,2009,G96
397002246,o2794,2009,G96
397002250,o2794,2009,G96
397002251,o2794,2009,G96
397002252,o2794,2009,G96
397002253,o2794,2009,G96
397002254,o2794,2011,703
397002255,o2794,2011,703
397002256,o2794,2011,703
397002257,o2794,2011,703
397002258,o2794,2011,G96
397002259,o2794,2011,G96
397002260,o2794,2011,G96
397002261,o2794,2011,G96
397002455,o2795,2007,G96
397002456,o2795,2007,G96
397002457,o2795,2007,G96
397002458,o2795,2007,G96
397002459,o2795,2007,G96
397002460,o2795,2007,G96
397002461,o2795,2007,G96
397002462,o2795,2007,G96
397002463,o2795,2011,G96
397002464,o2795,2011,G96
397002465,o2795,2011,G96
397002466,o2795,2011,G96
397002553,o2796,2007,G96
397002554,o2796,2007,G96
397002555,o2796,2007,G96
397002556,o2796,2007,G96
397002557,o2796,2007,G96
397002558,o2796,2007,G96
397002559,o2796,2007,G96
397002560,o2796,2007,G96
397002561,o2796,2007,G96
397002562,o2796,2007,G96
397002563,o2796,2007,G96
397002564,o2796,2007,G96
397002565,o2796,2007,G96
