,packed_number,year,obs
135004426,40453,2009,703
135004427,40453,2009,703
135004428,40453,2009,703
135004461,40453,2009,703
135004462,40453,2009,703
135004463,40453,2009,703
135004464,40453,2009,703
135004477,40453,2010,G96
135004478,40453,2010,G96
135004479,40453,2010,G96
135004480,40453,2010,G96
135004487,40453,2010,G96
135004488,40453,2010,G96
135004490,40453,2010,G96
135004491,40453,2010,G96
135004505,40453,2010,703
135004506,40453,2010,703
135004507,40453,2010,703
135004508,40453,2010,703
135004514,40453,2010,703
135004515,40453,2010,703
135004516,40453,2010,703
135004517,40453,2010,703
135004528,40453,2010,703
135004529,40453,2010,703
135004530,40453,2010,703
135004531,40453,2010,703
135004532,40453,2010,703
135004533,40453,2010,703
135004534,40453,2010,703
135004535,40453,2010,703
135004536,40453,2010,G96
135004537,40453,2010,G96
135004538,40453,2010,G96
135004544,40453,2010,703
135004545,40453,2010,703
135004546,40453,2010,703
135004547,40453,2010,703
135004548,40453,2010,703
135004549,40453,2010,703
135004550,40453,2010,703
135004551,40453,2010,703
135004566,40453,2010,703
135004567,40453,2010,703
135004568,40453,2010,703
135004569,40453,2010,703
135004570,40453,2011,703
135004571,40453,2011,703
135004572,40453,2011,703
135004573,40453,2011,703
135004578,40453,2011,G96
135004579,40453,2011,G96
135004580,40453,2011,G96
135004581,40453,2011,G96
135004587,40453,2012,703
135004588,40453,2012,703
135004589,40453,2012,703
135004590,40453,2012,703
135004599,40453,2012,703
135004600,40453,2012,703
135004601,40453,2012,703
135004602,40453,2012,703
135004603,40453,2012,703
135004604,40453,2012,703
135004605,40453,2012,703
135004606,40453,2012,703
135004612,40453,2012,703
135004613,40453,2012,703
135004614,40453,2012,703
135004615,40453,2012,703
135004621,40453,2012,703
135004622,40453,2012,703
135004623,40453,2012,703
135004624,40453,2012,703
135004627,40453,2012,703
135004628,40453,2012,703
135004629,40453,2012,703
135004630,40453,2012,703
135006280,40454,2006,703
135006281,40454,2006,703
135006282,40454,2006,703
135006283,40454,2006,703
135006288,40454,2007,G96
135006289,40454,2007,G96
135006290,40454,2007,G96
135006291,40454,2007,G96
135006292,40454,2007,G96
135006293,40454,2007,G96
135006294,40454,2007,G96
135006295,40454,2007,G96
135006303,40454,2007,703
135006304,40454,2007,703
135006305,40454,2007,703
135006306,40454,2007,703
135006311,40454,2007,G96
135006312,40454,2007,G96
135006313,40454,2007,G96
135006314,40454,2007,G96
135006315,40454,2007,G96
135006316,40454,2007,G96
135006317,40454,2007,G96
135006318,40454,2007,G96
135006327,40454,2007,703
135006328,40454,2007,703
135006329,40454,2007,703
135006330,40454,2007,703
135006331,40454,2007,703
135006332,40454,2007,703
135006333,40454,2007,703
135006334,40454,2007,703
135006339,40454,2007,703
135006340,40454,2007,703
135006341,40454,2007,703
135006342,40454,2007,703
135006343,40454,2008,703
135006344,40454,2008,703
135006345,40454,2008,703
135006346,40454,2008,703
135006367,40454,2008,703
135006368,40454,2008,703
135006369,40454,2008,703
135006370,40454,2008,703
135006371,40454,2008,703
135006372,40454,2008,703
135006373,40454,2008,703
135006374,40454,2008,703
135006383,40454,2008,703
135006384,40454,2008,703
135006385,40454,2008,703
135006386,40454,2008,703
135006387,40454,2008,703
135006388,40454,2008,703
135006389,40454,2008,703
135006390,40454,2008,703
135006396,40454,2008,G96
135006397,40454,2008,G96
135006398,40454,2008,G96
135006399,40454,2008,G96
135006409,40454,2008,G96
135006410,40454,2008,G96
135006411,40454,2008,G96
135006413,40454,2008,G96
135006436,40454,2011,703
135006437,40454,2011,703
135006438,40454,2011,703
135006439,40454,2011,703
135006444,40454,2011,703
135006445,40454,2011,703
135006446,40454,2011,703
135006447,40454,2011,703
135006452,40454,2011,703
135006453,40454,2011,703
135006454,40454,2011,703
135006455,40454,2011,703
135008075,40455,2005,703
135008076,40455,2005,703
135008077,40455,2005,703
135008078,40455,2005,703
135008082,40455,2005,703
135008083,40455,2005,703
135008084,40455,2005,703
135008085,40455,2005,703
135008091,40455,2005,703
135008092,40455,2005,703
135008093,40455,2005,703
135008094,40455,2005,703
135008095,40455,2005,703
135008096,40455,2005,703
135008102,40455,2005,703
135008103,40455,2005,703
135008104,40455,2005,703
135008105,40455,2005,703
135008106,40455,2005,703
135008107,40455,2005,703
135008108,40455,2005,703
135008109,40455,2005,703
135008116,40455,2006,703
135008117,40455,2006,703
135008118,40455,2006,703
135008119,40455,2006,703
135008123,40455,2007,703
135008124,40455,2007,703
135008125,40455,2007,703
135008126,40455,2007,703
135008127,40455,2007,703
135008128,40455,2007,703
135008129,40455,2007,703
135008130,40455,2007,703
135008131,40455,2007,703
135008132,40455,2007,703
135008133,40455,2007,703
135008134,40455,2007,703
135008139,40455,2007,703
135008140,40455,2007,703
135008141,40455,2007,703
135008142,40455,2007,703
135008143,40455,2007,703
135008144,40455,2007,703
135008145,40455,2007,703
135008146,40455,2007,703
135008147,40455,2008,703
135008148,40455,2008,703
135008149,40455,2008,703
135008150,40455,2008,703
135008186,40455,2010,703
135008187,40455,2010,703
135008188,40455,2010,703
135008189,40455,2010,703
135008197,40455,2010,703
135008198,40455,2010,703
135008199,40455,2010,703
135008200,40455,2010,703
135008201,40455,2010,703
135008202,40455,2010,703
135008203,40455,2010,703
135008204,40455,2010,703
135009610,40456,2006,G96
135009611,40456,2006,G96
135009612,40456,2006,G96
135009613,40456,2006,G96
135009618,40456,2006,G96
135009620,40456,2006,G96
135009621,40456,2006,G96
135009623,40456,2006,G96
135009642,40456,2007,G96
135009643,40456,2007,G96
135009644,40456,2007,G96
135009645,40456,2007,G96
135009646,40456,2007,703
135009647,40456,2007,703
135009648,40456,2007,703
135009649,40456,2007,703
135009666,40456,2007,703
