,packed_number,year,obs
47001119,7313,2005,G96
47001120,7313,2005,G96
47001121,7313,2005,G96
47001122,7313,2005,G96
47001166,7313,2005,G96
47001167,7313,2005,G96
47001168,7313,2005,G96
47001169,7313,2005,G96
47001170,7313,2005,G96
47001171,7313,2005,G96
47001172,7313,2006,G96
47001173,7313,2006,G96
47001174,7313,2006,G96
47001175,7313,2006,G96
47001176,7313,2006,G96
47001177,7313,2006,G96
47001178,7313,2006,G96
47001179,7313,2006,G96
47001186,7313,2006,703
47001187,7313,2006,703
47001188,7313,2006,703
47001189,7313,2006,703
47001208,7313,2006,G96
47001209,7313,2006,G96
47001210,7313,2006,G96
47001211,7313,2006,G96
47001226,7313,2006,703
47001227,7313,2006,703
47001228,7313,2006,703
47001229,7313,2006,703
47001236,7313,2006,703
47001237,7313,2006,703
47001238,7313,2006,703
47001239,7313,2006,703
47001240,7313,2007,G96
47001241,7313,2007,G96
47001242,7313,2007,G96
47001243,7313,2007,G96
47001244,7313,2007,G96
47001245,7313,2007,G96
47001246,7313,2007,G96
47001247,7313,2007,G96
47001248,7313,2007,G96
47001249,7313,2007,G96
47001250,7313,2007,G96
47001251,7313,2007,G96
47001281,7313,2008,G96
47001282,7313,2008,G96
47001283,7313,2008,G96
47001292,7313,2008,703
47001293,7313,2008,703
47001294,7313,2008,703
47001295,7313,2008,703
47001323,7313,2008,G96
47001324,7313,2008,G96
47001325,7313,2008,G96
47001326,7313,2008,G96
47001342,7313,2008,G96
47001343,7313,2008,G96
47001344,7313,2008,G96
47001345,7313,2008,G96
47001346,7313,2008,G96
47001347,7313,2008,G96
47001348,7313,2008,G96
47001349,7313,2008,G96
47001350,7313,2008,703
47001351,7313,2008,703
47001352,7313,2008,703
47001353,7313,2008,703
47001366,7313,2010,703
47001367,7313,2010,703
47001368,7313,2010,703
47001369,7313,2010,703
47001370,7313,2010,703
47001371,7313,2010,703
47001372,7313,2010,703
47001379,7313,2010,G96
47001380,7313,2010,G96
47001381,7313,2010,G96
47001382,7313,2010,G96
47001394,7313,2010,703
47001395,7313,2010,703
47001396,7313,2010,703
47001397,7313,2010,703
47001398,7313,2010,703
47001399,7313,2010,703
47001400,7313,2010,703
47001401,7313,2010,703
47001405,7313,2010,G96
47001406,7313,2010,G96
47001408,7313,2010,G96
47001409,7313,2010,G96
47001420,7313,2010,703
47001421,7313,2010,703
47001422,7313,2010,703
47001423,7313,2010,703
47001424,7313,2010,703
47001425,7313,2010,703
47001426,7313,2010,703
47001427,7313,2010,703
47001428,7313,2010,703
47001429,7313,2010,703
47001430,7313,2010,703
47001431,7313,2010,703
47001432,7313,2010,703
47001433,7313,2010,703
47001439,7313,2010,G96
47001440,7313,2010,G96
47001441,7313,2010,G96
47001442,7313,2010,G96
47001443,7313,2010,G96
47001444,7313,2010,G96
47001445,7313,2010,G96
47001446,7313,2010,G96
47001447,7313,2011,G96
47001448,7313,2011,G96
47001449,7313,2011,G96
47001450,7313,2011,G96
47001451,7313,2011,703
47001452,7313,2011,703
47001453,7313,2011,703
47001454,7313,2011,703
47001455,7313,2011,G96
47001456,7313,2011,G96
47001457,7313,2011,G96
47001458,7313,2011,G96
47001459,7313,2011,G96
47001460,7313,2011,G96
47001461,7313,2011,G96
47001462,7313,2011,G96
47001466,7313,2012,703
47001467,7313,2012,703
47001469,7313,2012,703
47001470,7313,2012,703
47001491,7313,2012,703
47001492,7313,2012,703
