,packed_desig,year,obs
19000447,K15G80R,2009,G96
19000448,K15G80R,2009,G96
19000449,K15G80R,2009,G96
19000450,K15G80R,2009,G96
19000489,K15G80S,2011,G96
19000490,K15G80S,2011,G96
19000491,K15G80S,2011,G96
19000492,K15G80S,2011,G96
19000736,K15G81B,2011,G96
19000737,K15G81B,2011,G96
19000738,K15G81B,2011,G96
19000739,K15G81B,2011,G96
19001200,K15G81R,2010,G96
19001201,K15G81R,2010,G96
19001202,K15G81R,2010,G96
19001203,K15G81R,2010,G96
19001697,K15G82O,2007,G96
19001698,K15G82O,2007,G96
19001699,K15G82O,2007,G96
19001700,K15G82O,2007,G96
19001818,K15G82T,2012,G96
19001819,K15G82T,2012,G96
19001820,K15G82T,2012,G96
19001821,K15G82T,2012,G96
19001822,K15G82T,2012,G96
19001935,K15G82X,2012,G96
19001936,K15G82X,2012,G96
19001937,K15G82X,2012,G96
19001938,K15G82X,2012,G96
19002158,K15G83G,2005,G96
19002159,K15G83G,2005,G96
19002160,K15G83G,2005,G96
19002161,K15G83G,2005,G96
19002192,K15G83H,2012,G96
19002193,K15G83H,2012,G96
19002194,K15G83H,2012,G96
19002195,K15G83H,2012,G96
19002490,K15G83P,2008,G96
19002491,K15G83P,2008,G96
19002492,K15G83P,2008,G96
19002493,K15G83P,2008,G96
19002919,K15G84B,2005,G96
19002920,K15G84B,2005,G96
19002921,K15G84B,2005,G96
19002922,K15G84B,2005,G96
19002923,K15G84B,2012,G96
19002924,K15G84B,2012,G96
19002925,K15G84B,2012,G96
19002926,K15G84B,2012,G96
19002990,K15G84F,2010,G96
19002991,K15G84F,2010,G96
19002992,K15G84F,2010,G96
19002993,K15G84F,2010,G96
19003059,K15G84H,2007,G96
19003060,K15G84H,2007,G96
19003061,K15G84H,2007,G96
19003062,K15G84H,2007,G96
19005177,K15H01T,2011,G96
19005178,K15H01T,2011,G96
19005179,K15H01T,2011,G96
19005180,K15H01T,2011,G96
19005366,K15H01U,2008,G96
19005367,K15H01U,2008,G96
19005368,K15H01U,2008,G96
19005369,K15H01U,2008,G96
19005370,K15H01U,2008,G96
19005371,K15H01U,2008,G96
19005372,K15H01U,2008,G96
19005427,K15H01V,2010,G96
19005428,K15H01V,2010,G96
19005429,K15H01V,2010,G96
19005430,K15H01V,2010,G96
19005665,K15H02H,2005,G96
19005666,K15H02H,2005,G96
19005667,K15H02H,2005,G96
19005668,K15H02H,2005,G96
19005704,K15H02J,2009,G96
19005705,K15H02J,2009,G96
19005706,K15H02J,2009,G96
19005707,K15H02J,2009,G96
19005975,K15H02S,2009,G96
19005976,K15H02S,2009,G96
19005977,K15H02S,2009,G96
19005978,K15H02S,2009,G96
19006118,K15H03D,2008,G96
19006119,K15H03D,2008,G96
19006120,K15H03D,2008,G96
19006121,K15H03D,2008,G96
19006351,K15H03Z,2008,G96
19006352,K15H03Z,2008,G96
19006353,K15H03Z,2008,G96
19006354,K15H03Z,2008,G96
19006355,K15H03Z,2010,G96
19006356,K15H03Z,2010,G96
19006357,K15H03Z,2010,G96
19006358,K15H03Z,2010,G96
19006439,K15H04B,2009,G96
19006440,K15H04B,2009,G96
19006441,K15H04B,2009,G96
19006442,K15H04B,2009,G96
19006443,K15H04B,2011,G96
19006444,K15H04B,2011,G96
19006445,K15H04B,2011,G96
19006491,K15H04G,2012,G96
19006492,K15H04G,2012,G96
19006493,K15H04G,2012,G96
19006494,K15H04G,2012,G96
19006885,K15H04W,2005,G96
19006886,K15H04W,2005,G96
19006887,K15H04W,2005,G96
19006888,K15H04W,2005,G96
19006889,K15H04W,2005,G96
19006890,K15H04W,2005,G96
19006891,K15H04W,2005,G96
19006892,K15H04W,2005,G96
19006893,K15H04W,2009,G96
19006894,K15H04W,2009,G96
19006895,K15H04W,2009,G96
19006896,K15H04W,2009,G96
19007146,K15H04Z,2011,G96
19007147,K15H04Z,2011,G96
19007148,K15H04Z,2011,G96
19007149,K15H04Z,2011,G96
19007150,K15H04Z,2011,G96
19007151,K15H04Z,2011,G96
19007256,K15H05W,2005,G96
19007257,K15H05W,2005,G96
19007258,K15H05W,2005,G96
19007259,K15H05W,2005,G96
19007260,K15H05W,2010,G96
19007261,K15H05W,2010,G96
19007262,K15H05W,2010,G96
19007263,K15H05W,2010,G96
19007409,K15H06D,2006,G96
19007410,K15H06D,2006,G96
19007411,K15H06D,2006,G96
19007412,K15H06D,2006,G96
19007413,K15H06D,2006,G96
19007414,K15H06D,2006,G96
19007415,K15H06D,2006,G96
19007416,K15H06D,2006,G96
19007575,K15H06E,2008,G96
19007576,K15H06E,2008,G96
19007577,K15H06E,2008,G96
19007578,K15H06E,2008,G96
19007581,K15H06E,2011,G96
19007582,K15H06E,2011,G96
19007583,K15H06E,2011,G96
19007584,K15H06E,2011,G96
19007916,K15H06G,2011,G96
19007917,K15H06G,2011,G96
19007918,K15H06G,2011,G96
19007919,K15H06G,2011,G96
19008060,K15H06J,2008,G96
19008061,K15H06J,2008,G96
19008062,K15H06J,2008,G96
19008063,K15H06J,2008,G96
19008141,K15H06K,2009,G96
19008142,K15H06K,2009,G96
19008143,K15H06K,2009,G96
19008144,K15H06K,2009,G96
19008186,K15H06M,2010,G96
19008187,K15H06M,2010,G96
19008188,K15H06M,2010,G96
19008189,K15H06M,2010,G96
19008359,K15H06X,2012,703
19008360,K15H06X,2012,703
19008361,K15H06X,2012,703
19008362,K15H06X,2012,703
19008552,K15H06Y,2010,G96
19008553,K15H06Y,2010,G96
19008554,K15H06Y,2010,G96
19008828,K15H07G,2007,G96
19008829,K15H07G,2007,G96
19008830,K15H07G,2007,G96
19008831,K15H07G,2007,G96
19008832,K15H07G,2009,G96
19008833,K15H07G,2009,G96
19008834,K15H07G,2009,G96
19008835,K15H07G,2009,G96
19009168,K15H07Y,2008,G96
19009169,K15H07Y,2008,G96
19009170,K15H07Y,2008,G96
19009171,K15H07Y,2008,G96
19009262,K15H07Z,2012,G96
19009263,K15H07Z,2012,G96
19009264,K15H07Z,2012,G96
19009265,K15H07Z,2012,G96
19009431,K15H08F,2008,703
19009432,K15H08F,2008,703
19009433,K15H08F,2008,703
19009434,K15H08F,2008,703
19009435,K15H08F,2008,703
19009436,K15H08F,2008,703
19009437,K15H08F,2008,703
19009438,K15H08F,2008,703
19009439,K15H08F,2011,G96
19009440,K15H08F,2011,G96
19009441,K15H08F,2011,G96
19009442,K15H08F,2011,G96
19009443,K15H08F,2011,G96
19009444,K15H08F,2011,G96
19009445,K15H08F,2011,G96
19009446,K15H08F,2012,703
19009447,K15H08F,2012,703
19009448,K15H08F,2012,703
19009449,K15H08F,2012,703
19009450,K15H08F,2012,703
19009451,K15H08F,2012,703
19009452,K15H08F,2012,703
19009453,K15H08F,2012,703
19009695,K15H08M,2007,703
19009696,K15H08M,2007,703
19009697,K15H08M,2007,703
19009698,K15H08M,2007,703
19009699,K15H08M,2007,G96
19009700,K15H08M,2007,G96
19009701,K15H08M,2007,G96
19009702,K15H08M,2007,G96
19009703,K15H08M,2008,G96
19009704,K15H08M,2008,G96
19009705,K15H08M,2008,G96
19009706,K15H08M,2008,G96
19009707,K15H08M,2008,G96
19009708,K15H08M,2008,G96
