Bolide Detection Notification: 2002-332

At 15:41:53 UT on 28 Nov 2002, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was not determined.

Based upon the visible-light intensity-time signature, peak 1.5E10 watts/steradian,
and  total radiated flash energy 4.6E10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots  below. On the intensity-time plot, one count on vertical axis corresponds to
2.35E8  watts/steradian. On the integrated intensity plot, one count represents
2.96E9 joules  radiated energy.

Peak Intensity = 1.50e+10 watts/steradian
Total Energy   = 4.67e+10 joules

Intensity=[
( 0.051, 4.71e+09),
( 0.054, 4.62e+09),
( 0.057, 3.75e+09),
( 0.061, 3.66e+09),
( 0.064, 3.74e+09),
( 0.068, 3.45e+09),
( 0.071, 3.12e+09),
( 0.074, 2.85e+09),
( 0.078, 3.28e+09),
( 0.081, 3.37e+09),
( 0.084, 3.21e+09),
( 0.088, 2.52e+09),
( 0.091, 3.39e+09),
( 0.094, 3.18e+09),
( 0.098, 2.86e+09),
( 0.101, 2.95e+09),
( 0.105, 3.54e+09),
( 0.108, 2.83e+09),
( 0.111, 2.28e+09),
( 0.115, 2.24e+09),
( 0.118, 2.10e+09),
( 0.122, 2.47e+09),
( 0.125, 2.28e+09),
( 0.128, 2.61e+09),
( 0.132, 2.56e+09),
( 0.135, 2.47e+09),
( 0.138, 1.99e+09),
( 0.142, 2.68e+09),
( 0.145, 2.89e+09),
( 0.148, 3.35e+09),
( 0.152, 3.14e+09),
( 0.155, 2.91e+09),
( 0.159, 2.94e+09),
( 0.162, 2.61e+09),
( 0.165, 2.03e+09),
( 0.169, 2.22e+09),
( 0.172, 2.77e+09),
( 0.176, 2.19e+09),
( 0.179, 2.63e+09),
( 0.182, 1.79e+09),
( 0.186, 1.97e+09),
( 0.189, 1.94e+09),
( 0.192, 1.77e+09),
( 0.196, 1.68e+09),
( 0.199, 1.66e+09),
( 0.202, 1.78e+09),
( 0.206, 2.00e+09),
( 0.209, 2.21e+09),
( 0.213, 2.85e+09),
( 0.216, 2.66e+09),
( 0.219, 2.50e+09),
( 0.223, 3.13e+09),
