,number,provisional_desig,year,obs
1001734,31,,2008,G96
1001735,31,,2008,G96
1001736,31,,2008,G96
1001737,31,,2008,G96
1001823,31,,2010,G96
1001824,31,,2010,G96
1001825,31,,2010,G96
1001826,31,,2010,G96
1001880,31,,2010,G96
1001881,31,,2010,G96
1001882,31,,2010,G96
1001883,31,,2010,G96
1001893,31,,2010,703
1001894,31,,2010,703
1001895,31,,2010,703
1001896,31,,2010,703
1001897,31,,2010,703
1001898,31,,2010,703
1001899,31,,2010,703
1001900,31,,2010,703
1001903,31,,2010,703
1001904,31,,2010,703
1001905,31,,2010,703
1001906,31,,2010,703
1001986,31,,2011,703
1001987,31,,2011,703
1001988,31,,2011,703
1001989,31,,2011,703
1002013,31,,2011,703
1002014,31,,2011,703
1002015,31,,2011,703
1002016,31,,2011,703
1002033,31,,2011,G96
1002034,31,,2011,G96
1002035,31,,2011,G96
1002036,31,,2011,G96
1002073,31,,2011,703
1002074,31,,2011,703
1002075,31,,2011,703
1002076,31,,2011,703
1002099,31,,2011,G96
1002100,31,,2011,G96
1002101,31,,2011,G96
1002102,31,,2011,G96
1002152,31,,2011,G96
1002153,31,,2011,G96
1002154,31,,2011,G96
1002155,31,,2011,G96
1003830,32,,2005,703
1003831,32,,2005,703
1003832,32,,2005,703
1003833,32,,2005,703
1003835,32,,2005,703
1003888,32,,2005,703
1003889,32,,2005,703
1003890,32,,2005,703
1003891,32,,2005,703
1004098,32,,2005,703
1004099,32,,2005,703
1004100,32,,2005,703
1004101,32,,2005,703
1004105,32,,2006,703
1004106,32,,2006,703
1004107,32,,2006,703
1004108,32,,2006,703
1004109,32,,2006,703
1004110,32,,2006,703
1004111,32,,2006,703
1004225,32,,2006,703
1004226,32,,2006,703
1004227,32,,2006,703
1004229,32,,2006,703
1004235,32,,2006,G96
1004236,32,,2006,G96
1004237,32,,2006,G96
1004238,32,,2006,G96
1008088,33,,2008,703
1008089,33,,2008,703
1008090,33,,2008,703
1008091,33,,2008,703
1008098,33,,2008,703
1008099,33,,2008,703
1008100,33,,2008,703
1008101,33,,2008,703
1008102,33,,2008,703
1008103,33,,2008,703
1008104,33,,2008,703
1008105,33,,2008,703
1008116,33,,2009,703
1008117,33,,2009,703
1008118,33,,2009,703
1008119,33,,2009,703
1008210,33,,2009,703
1008211,33,,2009,703
1008212,33,,2009,703
1008213,33,,2009,703
1008309,33,,2009,703
1008310,33,,2009,703
1008311,33,,2009,703
1008917,36,,2011,G96
1008918,36,,2011,G96
1008919,36,,2011,G96
1008921,36,,2011,G96
1009002,36,,2011,703
1009003,36,,2011,703
1009004,36,,2011,703
1009005,36,,2011,703
1010164,37,,2005,703
1010165,37,,2005,703
1010166,37,,2005,703
1010167,37,,2005,703
1010168,37,,2005,703
1010169,37,,2005,703
1010170,37,,2005,703
1010171,37,,2005,703
1010173,37,,2005,703
1010174,37,,2005,703
1010175,37,,2005,703
1010176,37,,2005,703
1010237,37,,2011,703
1010238,37,,2011,703
1010239,37,,2011,703
1010240,37,,2011,703
1010394,37,,2012,G96
1010395,37,,2012,G96
1010396,37,,2012,G96
1010397,37,,2012,G96
1016702,41,,2006,G96
1016703,41,,2006,G96
1016704,41,,2006,G96
1016705,41,,2006,G96
1016706,41,,2006,G96
1016707,41,,2006,G96
1016708,41,,2006,G96
1016846,41,,2006,703
1016847,41,,2006,703
1016848,41,,2006,703
1016849,41,,2006,703
1016871,41,,2006,703
1016872,41,,2006,703
1016873,41,,2006,703
1016874,41,,2006,703
1024164,43,,2009,703
1024165,43,,2009,703
1024166,43,,2009,703
1024167,43,,2009,703
1024268,43,,2009,703
1024269,43,,2009,703
1024270,43,,2009,703
1024271,43,,2009,703
1024668,43,,2011,703
1024669,43,,2011,703
1024670,43,,2011,703
1024671,43,,2011,703
1026475,44,,2008,703
1026476,44,,2008,703
1026477,44,,2008,703
1026478,44,,2008,703
1026688,44,,2009,703
1026689,44,,2009,703
1026690,44,,2009,703
1026691,44,,2009,703
