Bolide Detection Notification: 2015-200

At 07:06:26 UT on 19 Jul 2015, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 20.6 °N, Lon 87.6 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 7.28e+09 watts/steradian, and total radiated flash
energy 2.38e+10 joules (6000K blackbody model).

Intensity-time signature of the event and integrated intensity are depicted on the
plots below.

Columns: time, intensity (w/sr)
Intensity=[(-0.348, -6.10e+08),
           (-0.344,  5.25e+08),
           (-0.341,  1.44e+09),
           (-0.338, -1.04e+09),
           (-0.334, -2.28e+08),
           (-0.331,  1.15e+09),
           (-0.327,  6.30e+07),
           (-0.324,  1.38e+09),
           (-0.321, -8.31e+07),
           (-0.317, -1.11e+09),
           (-0.314,  2.89e+07),
           (-0.311,  6.05e+08),
           (-0.307, -1.41e+09),
           (-0.304,  2.18e+08),
           (-0.300,  5.49e+08),
           (-0.297, -7.14e+08),
           (-0.294,  1.86e+08),
           (-0.290, -8.33e+08),
           (-0.287, -6.30e+08),
           (-0.284,  5.07e+08),
           (-0.280, -7.10e+08),
           (-0.277, -1.06e+09),
           (-0.273, -3.29e+08),
           (-0.270, -9.44e+07),
           (-0.267, -3.72e+08),
           (-0.263, -1.06e+09),
           (-0.260, -1.70e+08),
           (-0.257,  1.40e+08),
           (-0.253,  1.84e+08),
           (-0.250,  7.41e+08),
           (-0.246, -9.94e+08),
           (-0.243, -1.34e+09),
           (-0.240,  1.96e+08),
           (-0.236,  4.43e+08),
           (-0.233,  2.23e+08),
           (-0.230, -6.72e+08),
           (-0.226,  6.70e+08),
           (-0.223, -1.19e+09),
           (-0.219,  3.60e+08),
           (-0.216,  3.65e+08),
           (-0.213,  1.32e+07),
           (-0.209,  1.27e+09),
           (-0.206, -1.48e+07),
           (-0.203,  1.43e+09),
           (-0.199,  1.85e+08),
           (-0.196,  4.09e+07),
           (-0.192, -1.43e+08),
           (-0.189, -1.17e+09),
           (-0.186,  2.51e+08),
           (-0.182,  7.98e+07),
           (-0.179, -6.78e+07),
           (-0.176, -6.41e+08),
           (-0.172, -1.89e+08),
           (-0.169, -5.99e+08),
           (-0.165, -1.57e+09),
           (-0.162,  5.46e+08),
           (-0.159,  3.42e+08),
           (-0.155, -9.67e+08),
           (-0.152, -9.81e+08),
           (-0.149,  9.74e+08),
           (-0.145, -8.45e+08),
           (-0.142,  5.90e+07),
           (-0.138,  1.12e+09),
           (-0.132, -5.13e+08),
           (-0.128,  3.98e+08),
           (-0.125, -4.66e+08),
           (-0.122,  8.90e+08),
           (-0.118,  8.81e+08),
           (-0.115,  2.26e+08),
           (-0.111,  7.80e+08),
           (-0.108, -9.34e+08),
           (-0.105,  7.56e+08),
           (-0.101,  1.50e+07),
           (-0.098,  3.27e+07),
           (-0.095,  4.54e+08),
           (-0.091, -6.68e+08),
           (-0.088,  1.78e+06),
           (-0.084, -7.39e+08),
           (-0.081,  4.77e+08),
           (-0.078, -2.52e+08),
           (-0.074,  9.44e+08),
           (-0.071, -2.35e+08),
           (-0.068, -5.71e+08),
           (-0.064,  4.73e+08),
           (-0.057, -4.81e+08),
           (-0.054,  5.05e+08),
           (-0.051, -5.54e+08),
           (-0.047,  1.42e+09),
           (-0.044,  1.29e+09),
           (-0.041,  2.80e+08),
           (-0.037,  2.12e+09),
           (-0.034,  1.24e+09),
           (-0.030,  1.91e+09),
           (-0.027,  2.38e+09),
           (-0.024,  2.29e+09),
           (-0.020,  2.55e+09),
           (-0.017,  2.39e+09),
           (-0.014,  1.66e+09),
           (-0.010,  2.58e+09),
           (-0.007,  1.89e+09),
           (-0.003,  2.94e+09),
           (-0.000,  2.86e+09),
           ( 0.003,  3.09e+09),
           ( 0.007,  4.20e+09),
           ( 0.010,  3.05e+09),
           ( 0.013,  2.68e+09),
           ( 0.017,  3.31e+09),
           ( 0.020,  2.39e+09),
           ( 0.024,  5.16e+09),
           ( 0.027,  4.99e+09),
           ( 0.030,  3.96e+09),
           ( 0.034,  5.80e+09),
           ( 0.037,  6.50e+09),
           ( 0.040,  5.34e+09),
           ( 0.044,  5.73e+09),
           ( 0.047,  4.88e+09),
           ( 0.051,  6.36e+09),
           ( 0.054,  6.52e+09),
           ( 0.057,  6.92e+09),
           ( 0.061,  7.00e+09),
           ( 0.064,  5.29e+09),
           ( 0.067,  5.65e+09),
           ( 0.071,  7.28e+09),
           ( 0.074,  5.57e+09),
           ( 0.078,  5.01e+09),
           ( 0.081,  6.56e+09),
           ( 0.084,  4.82e+09),
           ( 0.088,  5.21e+09),
           ( 0.091,  5.21e+09),
           ( 0.094,  4.79e+09),
           ( 0.098,  4.67e+09),
           ( 0.101,  6.80e+09),
           ( 0.105,  5.29e+09),
           ( 0.108,  5.13e+09),
           ( 0.111,  5.34e+09),
           ( 0.115,  4.43e+09),
           ( 0.118,  3.95e+09),
           ( 0.121,  4.25e+09),
           ( 0.125,  3.59e+09),
           ( 0.128,  4.75e+09),
           ( 0.132,  4.34e+09),
           ( 0.135,  3.33e+09),
           ( 0.138,  2.52e+09),
           ( 0.142,  3.50e+09),
           ( 0.145,  3.09e+09),
           ( 0.148,  2.35e+09),
           ( 0.152,  2.83e+09),
           ( 0.155,  2.92e+09),
           ( 0.159,  2.12e+09),
           ( 0.162,  1.71e+09),
           ( 0.165,  2.45e+09),
           ( 0.169,  3.87e+09),
           ( 0.175,  2.97e+09),
           ( 0.179,  3.41e+09),
           ( 0.182,  3.07e+09),
           ( 0.186,  3.07e+09),
           ( 0.189,  2.25e+09),
           ( 0.192,  3.84e+09),
           ( 0.196,  3.48e+09),
           ( 0.199,  3.57e+09),
           ( 0.202,  3.41e+09),
           ( 0.206,  4.30e+09),
           ( 0.209,  2.75e+09),
           ( 0.213,  3.31e+09),
           ( 0.216,  3.63e+09),
           ( 0.219,  4.22e+09),
           ( 0.223,  4.47e+09),
           ( 0.226,  4.38e+09),
           ( 0.229,  4.23e+09),
           ( 0.233,  2.47e+09),
           ( 0.236,  3.68e+09),
           ( 0.240,  3.64e+09),
           ( 0.243,  2.55e+09),
           ( 0.246,  1.88e+09),
           ( 0.250,  4.36e+09),
           ( 0.253,  2.89e+09),
           ( 0.256,  2.09e+09),
           ( 0.260,  3.72e+09),
           ( 0.263,  3.98e+09),
           ( 0.267,  1.60e+09),
           ( 0.270,  3.68e+09),
           ( 0.273,  1.65e+09),
           ( 0.277,  7.44e+08),
           ( 0.280,  3.27e+09),
           ( 0.283,  1.77e+09),
           ( 0.287,  1.64e+09),
           ( 0.290,  2.39e+09),
           ( 0.294,  6.99e+08),
           ( 0.297,  8.85e+08),
           ( 0.300,  1.62e+09),
           ( 0.304,  1.49e+09),
           ( 0.307,  9.16e+08),
           ( 0.310,  5.25e+08),
           ( 0.314,  2.03e+08),
           ( 0.317,  1.64e+09),
           ( 0.321,  6.58e+08),
           ( 0.324,  1.67e+09),
           ( 0.327,  1.51e+09),
           ( 0.331,  1.89e+09),
           ( 0.334,  7.32e+08),
           ( 0.337,  4.23e+08),
           ( 0.341,  1.12e+09),
           ( 0.344,  3.80e+08),
           ( 0.348,  1.16e+09),
           ( 0.351,  6.08e+08),
           ( 0.354,  1.68e+09),
           ( 0.358, -7.75e+07),
           ( 0.361,  2.87e+08),
           ( 0.364,  1.89e+08),
           ( 0.368,  6.25e+08),
           ( 0.371, -7.03e+07),
           ( 0.375, -1.26e+09),
           ( 0.378,  3.61e+08),
           ( 0.381,  1.39e+09),
           ( 0.385,  1.55e+09),
           ( 0.388,  1.30e+09),
           ( 0.391,  1.23e+09),
           ( 0.395,  1.34e+09),
           ( 0.398,  2.94e+09),
           ( 0.402,  1.23e+09),
           ( 0.405,  3.03e+09),
           ( 0.408,  2.49e+09),
           ( 0.412,  1.86e+09),
           ( 0.415,  1.93e+09),
           ( 0.418,  1.63e+09),
           ( 0.422,  1.69e+09),
           ( 0.425,  1.80e+09),
           ( 0.429,  4.65e+08),
           ( 0.432,  2.13e+09),
           ( 0.435,  1.87e+09),
           ( 0.439,  3.20e+09),
           ( 0.442,  2.39e+09),
           ( 0.445,  2.69e+09),
           ( 0.449,  1.74e+09),
           ( 0.452,  2.53e+09),
           ( 0.456,  1.62e+09),
           ( 0.459,  2.37e+09),
           ( 0.462,  2.31e+09),
           ( 0.466,  1.91e+09),
           ( 0.469,  1.28e+09),
           ( 0.472,  2.92e+09),
           ( 0.476,  2.11e+09),
           ( 0.479,  2.86e+09),
           ( 0.483,  2.35e+09),
           ( 0.486,  3.26e+09),
           ( 0.489,  3.13e+09),
           ( 0.493,  2.62e+09),
           ( 0.496,  2.75e+09),
           ( 0.499,  2.28e+09),
           ( 0.503,  1.90e+09),
           ( 0.506,  2.08e+09),
           ( 0.510,  3.52e+09),
           ( 0.513,  2.71e+09),
           ( 0.516,  2.10e+09),
           ( 0.520,  1.28e+09),
           ( 0.523,  2.73e+09),
           ( 0.526,  2.36e+09),
           ( 0.530,  2.76e+09),
           ( 0.533,  1.21e+09),
           ( 0.537,  1.48e+09),
           ( 0.540,  2.06e+09),
           ( 0.543,  2.18e+09),
           ( 0.547,  1.59e+09),
           ( 0.550,  1.23e+09),
           ( 0.553,  1.39e+09),
           ( 0.557,  2.36e+09),
           ( 0.560,  1.90e+09),
           ( 0.564,  2.00e+09),
           ( 0.567,  6.80e+08),
           ( 0.570,  1.59e+09),
           ( 0.574,  9.99e+08),
           ( 0.577,  1.54e+09),
           ( 0.580,  9.07e+08),
           ( 0.584, -9.82e+08),
           ( 0.587,  1.62e+09),
           ( 0.591,  9.08e+08),
           ( 0.594,  1.05e+09),
           ( 0.597,  8.62e+06),
           ( 0.601,  1.60e+09),
           ( 0.604,  1.54e+09),
           ( 0.607,  7.78e+08),
           ( 0.611,  7.35e+08),
           ( 0.614,  5.93e+08),
           ( 0.618, -9.38e+08),
           ( 0.621,  2.07e+09),
           ( 0.624,  1.62e+09),
           ( 0.628, -5.87e+07),
           ( 0.631,  8.57e+08),
           ( 0.634, -5.23e+08),
           ( 0.638,  4.20e+07),
           ( 0.641,  9.01e+08),
           ( 0.645,  1.77e+08),
           ( 0.648,  7.39e+08),
           ( 0.651,  5.94e+08),
           ( 0.655,  1.87e+07),
           ( 0.661, -4.40e+08),
           ( 0.665, -1.26e+08),
           ( 0.668, -8.23e+08),
           ( 0.672,  4.20e+07),
           ( 0.675,  7.37e+08),
           ( 0.678, -4.29e+08),
           ( 0.682, -6.72e+08),
           ( 0.685,  8.71e+07),
           ( 0.688,  2.68e+08),
           ( 0.692,  8.59e+08),
           ( 0.695,  2.11e+08),
           ( 0.699,  1.38e+08),
           ( 0.702,  2.70e+08),
           ( 0.705, -3.65e+08),
           ( 0.709,  6.70e+08),
           ( 0.712,  1.14e+08),
           ( 0.715,  5.63e+08),
           ( 0.719,  5.60e+08),
           ( 0.722, -3.37e+08),
           ( 0.726,  1.14e+09),
           ( 0.729, -1.10e+08),
           ( 0.732,  5.19e+08),
           ( 0.736,  1.26e+09),
           ( 0.739,  6.42e+08),
           ( 0.742, -6.04e+07),
           ( 0.746,  6.48e+08),
           ( 0.749,  1.50e+08),
           ( 0.753,  4.07e+08),
           ( 0.756,  2.15e+08),
           ( 0.759, -1.40e+08),
           ( 0.763, -1.10e+09),
           ( 0.766, -1.76e+09),
           ( 0.769, -9.72e+08),
           ( 0.773,  2.49e+08),
           ( 0.776,  1.10e+09),
           ( 0.780,  1.21e+09),
           ( 0.783, -9.08e+08),
           ( 0.786,  7.55e+08),
           ( 0.790, -2.76e+08),
           ( 0.796,  2.99e+08),
           ( 0.800,  7.17e+08),
           ( 0.807, -6.61e+08),
           ( 0.810,  2.14e+08),
           ( 0.813, -1.47e+08),
           ( 0.817,  5.65e+07),
           ( 0.820,  1.70e+09),
           ( 0.823,  6.75e+08),
           ( 0.827, -1.03e+09),
           ( 0.830, -1.22e+08),
           ( 0.834,  1.75e+09),
           ( 0.837, -4.34e+07),
           ( 0.840, -4.82e+08),
           ( 0.844, -5.03e+08),
           ( 0.847,  1.45e+09),
           ( 0.850, -1.86e+08),
           ( 0.854, -6.91e+08),
           ( 0.857, -4.22e+08),
           ( 0.861,  1.03e+09),
           ( 0.864,  2.55e+08),
           ( 0.867,  9.08e+08),
           ( 0.871,  4.40e+08),
           ( 0.874,  1.30e+09),
           ( 0.877, -1.96e+08),
           ( 0.881, -6.86e+07),
           ( 0.884,  7.46e+08),
           ( 0.888,  9.02e+08),
           ( 0.891,  2.16e+08),
           ( 0.894,  6.55e+08),
           ( 0.898,  5.08e+08),
           ( 0.901,  1.16e+08),
           ( 0.904,  7.09e+08),
           ( 0.908,  7.73e+08),
           ( 0.911, -2.61e+08),
           ( 0.915,  6.40e+08),
           ( 0.918,  3.86e+08),
           ( 0.921,  1.21e+09),
           ( 0.925,  4.28e+08),
           ( 0.928,  1.93e+08),
           ( 0.931,  8.39e+08),
           ( 0.935,  5.03e+08),
           ( 0.938,  7.22e+08),
           ( 0.942, -6.55e+08),
           ( 0.945,  1.08e+09),
           ( 0.948, -3.86e+08),
           ( 0.952, -1.04e+08),
           ( 0.955, -9.92e+08),
           ( 0.958,  7.79e+08),
           ( 0.962,  3.59e+08),
           ( 0.969, -1.13e+08),
           ( 0.972,  2.71e+08),
           ( 0.975, -2.05e+07),
           ( 0.979,  1.61e+09),
           ( 0.982, -8.47e+08),
           ( 0.985,  4.70e+08),
           ( 0.989,  2.11e+09),
           ( 0.992,  1.04e+09),
           ( 0.996,  5.29e+08),
           ( 0.999,  9.67e+08),
           ( 1.002, -6.58e+08),
           ( 1.006, -6.19e+08),
           ( 1.009,  6.95e+08),
           ( 1.012,  2.53e+08),
           ( 1.016,  1.32e+09),
           ( 1.019, -1.27e+08),
           ( 1.023,  4.90e+08),
           ( 1.026,  8.89e+08),
           ( 1.029,  7.60e+08),
           ( 1.033, -4.19e+08),
           ( 1.036,  1.47e+08),
           ( 1.039,  1.79e+08),
           ( 1.043,  1.43e+08),
           ( 1.046, -2.08e+08),
           ( 1.050,  5.47e+08),
           ( 1.053,  6.06e+08),
           ( 1.056,  9.55e+08),
           ( 1.060,  8.99e+08),
           ( 1.063,  3.96e+08),
           ( 1.066,  1.20e+09),
           ( 1.070,  3.32e+08),
           ( 1.073, -1.20e+08),
           ( 1.077,  9.47e+08),
           ( 1.080,  5.89e+08),
           ( 1.083, -2.47e+08),
           ( 1.087, -2.28e+08),
           ( 1.090,  1.13e+09),
           ( 1.093, -7.71e+08),
           ( 1.097, -4.60e+08),
           ( 1.100, -1.25e+09),
           ( 1.104, -2.68e+08),
           ( 1.107,  5.17e+08),
           ( 1.110,  7.48e+08),
           ( 1.117, -1.07e+09),
           ( 1.120,  3.85e+08),
           ( 1.124, -1.31e+09),
           ( 1.127, -1.70e+08),
           ( 1.131, -6.85e+08),
           ( 1.134, -1.88e+08),
           ( 1.137,  5.43e+08),
           ( 1.141, -5.07e+08),
           ( 1.144, -7.79e+08),
           ( 1.147, -1.52e+08),
           ( 1.147, -1.52e+08)]
