date / location  /  time,lat(N),lon(E),altitude(km),Vx(km/s),Vy(km/s),Vz(km/s),speed,Energy(kt),station,range(km),Az,1/f,Max Amp(Pa),Error,P2P Amp(Pa),Error,Prior Noise-RMS Amplitude(Pa),Error,Post Noise-RMS Amplitude(Pa),Error,Period 1(s),Period 2(s),Period @Max Amp(s),Error,Frequency 1(Hz),Frequency 2(Hz),Frequency @Max PSD(Hz),Error,PSD @Max,Freq 1 @ Noise,PSD,Freq 2 @ Noise,,Size,Frequency 1(Hz),Frequency 2(Hz),Frequency @Max PSD(Hz),Error,PSD @Max,Freq 1 @ Noise,PSD,Freq 2 @ Noise,PSD,Noise PSD @Max(Pa^2/Hz),STD,Noise PSD @0.25(Pa^2/Hz),STD,Noise PSD @0.50(Pa^2/Hz),STD,Noise PSD @0.75(Pa^2/Hz),STD,Noise PSD @1.00(Pa^2/Hz),STD,Noise PSD @Max(Pa^2/Hz),STD,Noise PSD @0.25(Pa^2/Hz),STD,Noise PSD @0.50(Pa^2/Hz),STD,Noise PSD @0.75(Pa^2/Hz),STD,Noise PSD @1.00(Pa^2/Hz),STD,Bolide Signal IE(Pa^2),Error,Prior Background Noise IE(Pa^2),Post Background Noise IE(Pa^2),Mean Background Noise IE(Pa^2),Error,StDev between Prior/Post Noise IE,Total Signal Energy of Bolide(Pa^2),Error,Bolide P2P Amplitude SNR,Error,Bolide Integrated Energy SNR,Error,Low Frequency,High Frequency,Azimuth(o),Trace Velocity (km/s),Waveform HH,Waveform MM,Waveform SS,Signal HH,Signal MM,Signal SS,Duration(s),Phases,celerity (km/s),Lat(Sta),Lon(Sta),JPL bolide time (hh),JPL bolide time (mm),JPL bolide time (ss),Dist (deg),EvAz,Phase,Time,TRes,Azim,AzRes,Slow,SRes,Def,SNR,UKMO Wind velocity (m/s),Doppler - corrected Period,,,,,,,,,,,,,,,,,,,,,,
08-Oct-09,-4.2,120.6,19.1,14,-16,-6,22.09072203,33,I44RU,7254,221.5,7.550018875,0.40837,0.049023,0.62218,0.098045,0.013197,0.0078012,0.015938,0.0093154,6.6923,6.4719,6.5821,0.11024,0.13244,0.13245,0.13245,1.09E-05,3.8401,0.17151,0.0041521,0.17761,0.01459,120,0.2853,0.29903,0.29785,0.013724,0.1743,0.3125,0.0019729,0.3418,0.0026195,0.0018455,0.0018109,0.0021705,0.00090693,0.00074516,0.00098492,9.99E-05,2.59E-05,3.70E-05,2.08E-05,0.0074037,0.008435,0.0081664,0.0070683,0.00037655,0.00034508,9.99E-05,6.98E-05,1.67E-05,1.09E-05,5.1412,0.52528,0.19789,0.30005,0.24897,0.034001,0.072238,4.8922,0.52638,47.144,28.841,20.65,0.85417,0.1,1.5,222.26,0.345,9,35,0,9,50,22,914.29,1,0.292476413,53.1058,157.7139,2,57,0,64.89,23.4,I ,9:47:48,1284,224.7,3.7,320.7,-29.3,T ,4.8,7.848,,,,,,,,,,,,,,,,,,,,,,,
08-Oct-09,-4.2,120.6,19.1,14,-16,-6,22.09072203,33,I55US,8619.6,311.7,6.159531876,0.075547,0.026185,0.1207,0.05237,0.011435,0.0065815,0.015272,0.0088144,5.9755,6.3017,6.1386,0.16311,0.16157,0.16358,0.16235,0.0020145,0.089261,0.16602,0.0099578,0.18921,0.0043429,120,0.13906,0.16861,0.15137,0.029549,0.045676,0.16602,0.015357,0.21484,0.0043321,0.011681,0.0060191,0.00078659,0.00073828,9.76E-05,0.00011862,1.23E-05,2.02E-06,8.03E-06,9.80E-06,0.024277,0.033363,0.00068844,0.0005607,0.00015165,7.73E-05,3.33E-05,4.22E-05,6.06E-06,5.13E-06,0.22574,0.14151,0.0702,0.12549,0.097843,0.054201,0.039093,0.1279,0.15153,10.555,7.6075,2.3072,0.11249,0.1,1,315.36,0.367,10,45,0,10,58,30,475.1,1,0.298359294,-77.731,167.5881,2,57,0,77.38,170.9,I ,10:56:49,1053,310.5,-1.7,343.8,-6.2,-,,-3.859,,,,,,,,,,,,,,,,,,,,,,,
08-Oct-09,-4.2,120.6,19.1,14,-16,-6,22.09072203,33,I53US,10503,269.6,12.60302977,0.26234,0.033872,0.43149,0.067745,0.016346,0.0096024,0.023705,0.013855,13.482,10.085,11.783,1.6985,0.079304,0.079405,0.079346,0.00010137,3.2866,0.098877,0.0079575,0.11719,0.038579,120,0.077564,0.078822,0.078125,0.0012572,2.4725,0.1709,0.01705,0.19531,0.010306,0.018138,0.020344,0.0050923,0.0027667,0.00042598,6.32E-05,3.98E-05,3.32E-05,2.24E-05,5.63E-07,0.040004,0.050001,0.0041947,0.0040771,0.00044869,0.00035958,0.00013649,6.12E-05,4.17E-05,4.09E-05,1.6886,0.39524,0.1563,0.32601,0.24115,0.071576,0.12,1.4475,0.40167,26.397,16.051,7.0023,0.59712,0.05,1,270.26,0.349,12,35,0,12,50,45,551.43,1,0.294821053,64.875,-147.861,2,57,0,94.23,25.3,I ,12:51:49,2056,271.2,2,322.4,-27.6,-,9,14.247,,,,,,,,,,,,,,,,,,,,,,,
08-Oct-09,-4.2,120.6,19.1,14,-16,-6,22.09072203,33,I18DK,11816.1,349.7,11.53801777,0.27611,0.049804,0.47789,0.099608,0.024045,0.014792,0.044529,0.026719,11.719,11.29,11.504,0.21413,0.085367,0.087627,0.08667,0.0022604,4.173,0.1001,0.18745,0.11108,0.15847,120,0.077039,0.10004,0.092773,0.022999,5.6357,0.11719,0.21039,0.1416,0.0088195,0.20758,0.14375,0.0025396,0.00069091,0.0008911,5.80E-04,1.21E-03,7.72E-04,1.59E-04,1.52E-04,0.28623,0.39571,0.013301,0.012588,0.0007619,0.00075036,0.00055223,5.62E-04,4.57E-04,3.91E-04,3.3807,0.87095,0.52259,1.566,1.0443,1.1451,0.73778,2.3365,1.4387,19.875,12.91,3.2374,0.57889,0.08,1,337.73,0.334,14,0,0,14,19,35,671.02,1,0.288514223,77.476,-69.288,2,57,0,106.59,2.4,I ,14:18:39,2941,336.7,-12.5,344,-6,-,,-5.5,,,,,,,,,,,,,,,,,,,,,,,
08-Oct-09,-4.2,120.6,19.1,14,-16,-6,22.09072203,33,I56US,12693.2,292.5,12.8,0.44393,0.015461,0.75985,0.030921,0.013492,0.0080236,0.010651,0.0062904,14.527,13.134,13.831,0.69655,0.077734,0.078144,0.078125,0.00040946,8.1099,0.16724,0.012427,0.1709,0.0041569,120,0.07276,0.073433,0.073242,0.00067259,11.819,0.26855,0.00089977,0.32227,0.001541,0.02948,0.031574,0.0015468,0.0008918,7.64E-05,5.92E-05,0.00012639,8.28E-05,0.00018871,0.00016226,0.057515,0.084285,0.0020058,0.0018978,0.00014526,0.00011095,3.41E-05,3.74E-05,5.62E-05,5.80E-05,7.0942,0.26493,0.22932,0.19356,0.21144,0.030638,0.025287,6.8827,0.26669,56.32,33.572,33.552,3.7437,0.05,1.5,319.25,0.408,14,45,0,15,4,50,644.9,1,0.290661782,48.264,-117.1257,2,57,0,113.9,38.4,I ,15:00:32,2894,305.7,13.7,392.2,42.2,-,7.9,21.671,,,,,,,,,,,,,,,,,,,,,,,
25-Dec-10,38,158,26,18,-2,-4,18.54723699,33,I30JP,1603.3,74,6.884207628,0.35859,0.10918,0.58834,0.21836,0.083036,0.050497,0.11376,0.07043,7.9508,5.2595,6.6051,1.3457,0.14383,0.14745,0.14526,0.0036166,15.182,0.15015,0.30074,0.15991,1.8469,120,0.22694,0.23962,0.23438,0.012676,1.0337,0.24414,0.40803,0.2832,0.029627,4.315,4.8534,0.082422,0.026493,0.027813,0.0093968,0.0052694,0.0070769,0.0037314,0.0031386,0.19756,0.14594,0.18016,0.12912,0.014782,0.0085145,0.0026555,0.0019567,0.0028131,0.0035195,5.2693,7.5228,6.0157,7.3579,6.6868,22.595,0.94909,-1.4175,23.814,7.0853,5.0479,0.78802,0.34518,0.2,2,71.609,0.332,0,30,0,0,59,24,559.8,1,-0.01987332,35.3078,140.3138,23,24,0,14.03,255.7,I ,1:00:10,-317,70.9,5.5,338.1,-38.9,T ,1.1,-34.28,,,,,,,,,,,,,,,,,,,,,,,
25-Dec-10,38,158,26,18,-2,-4,18.54723699,33,I44RU,1679.8,179.1,3.138731952,0.43387,0.071588,0.61367,0.14318,0.031788,0.01914,0.039113,0.023345,2.2998,3.2217,2.7607,0.46097,0.31828,0.31937,0.3186,0.0010877,1.0599,0.32593,0.077974,0.33325,0.083709,150,0.35119,0.35297,0.35156,0.0017783,1.6152,0.36621,0.047288,0.54199,0.004654,0.046868,0.039745,0.51707,0.43093,0.0075279,0.0034806,0.00050252,0.00034111,0.00016209,0.00021791,0.032122,0.027895,0.39489,0.3739,0.010636,0.017498,0.0010419,0.0012616,0.0003347,0.00032253,3.8488,0.60428,0.68196,0.91565,0.79881,0.087726,0.16525,3.05,0.61062,19.305,12.466,4.8181,0.31358,0.3,3,178.42,0.331,0,30,0,0,58,16,543.67,1,-0.020804023,53.1058,157.7139,23,24,0,13.1,1.9,I ,0:56:20,-197,179.7,-2.7,334.6,-42.3,T ,18.4,-21.476,,,,,,,,,,,,,,,,,,,,,,,
25-Dec-10,38,158,26,18,-2,-4,18.54723699,33,I45RU,2275.7,98.6,3.263707572,0.48141,0.082396,0.74206,0.16479,0.019329,0.011322,0.033791,0.02004,3.0788,3.6559,3.3673,0.28856,0.30623,0.30682,0.3064,0.0005917,2.5251,0.31494,0.025724,0.33325,0.0094863,150,0.30743,0.30784,0.30762,0.00041252,3.9397,0.36133,0.015975,0.38574,0.012184,0.029251,0.016931,0.035097,0.027622,0.001241,0.0016817,0.0011376,0.00087893,0.00015087,3.81E-05,0.039476,0.052692,0.067669,0.072889,0.0031783,0.0034323,0.00073301,0.00091736,0.00030221,0.00037236,4.2058,1.4431,0.25399,0.79003,0.52201,0.19476,0.37903,3.6838,1.4562,38.391,24.049,8.0569,0.34171,0.25,3,93.239,0.32,1,0,0,1,33,35,610.41,1,-0.02894372,44.1999,131.9773,23,24,0,19,290.9,I ,1:32:55,-227,91.3,-2.7,345.5,-57.3,T ,28.8,-37.562,,,,,,,,,,,,,,,,,,,,,,,
25-Dec-10,38,158,26,18,-2,-4,18.54723699,33,I39PW,4127.2,31.3,11.7028871,1.4655,0.38405,2.3154,0.7681,0.23597,0.1444,0.2439,0.14744,11.507,13.475,12.491,0.98369,0.081362,0.085899,0.085449,0.0045373,33.409,0.093994,3.8439,0.098877,1.8469,60,NaN,NaN,0.039063,NaN,229.23,0.13672,0.31849,0.19531,0.69085,3.6366,0.55638,0.16849,0.012303,0.010737,0.0008647,0.0016171,0.0019769,0.0000701,0.0000142,240.69,130.14,0.20364,0.20232,0.012139,0.010078,0.0012721,0.0010775,0.00056613,0.00052605,76.865,11.666,41.662,39.96,40.811,20.745,1.2036,36.054,23.801,9.8122,6.83,1.8834,0.32191,0.06,1,35.7,0.385,3,20,0,3,39,50,649.39,1,-0.05808867,7.53547,134.54701,23,24,0,38.08,217.9,I ,0.14849537,213.2,35.6,7.2,286,-80.9,T ,8.6,-16.971,,,,,,,,,,,,,,,,,,,,,,,
25-Dec-10,38,158,26,18,-2,-4,18.54723699,33,I34MN,4257,85.3,2.340550029,0.015869,0.0074837,0.023446,0.014967,0.002064,0.0012159,0.004345,0.0025765,2.0109,1.7973,1.9041,0.10679,0.42703,0.42772,0.42725,0.00069233,0.0023144,0.43213,0.00063116,0.43579,0.00057735,120,0.59118,0.60357,0.60059,0.012393,0.0010065,0.61523,3.12E-05,0.6543,8.33E-05,9.00E-05,0.00010012,0.0096025,0.0027745,0.00010115,6.31E-05,4.02E-05,3.79E-05,6.94E-05,9.39E-05,4.36E-05,2.26E-05,0.0054849,0.0053376,0.000132,0.00020696,6.14E-05,7.75E-05,3.47E-05,5.60E-05,0.011291,0.014535,0.0041654,0.016461,0.010313,0.010019,0.0086946,0.00097734,0.017653,11.36,9.8678,1.0948,0.3304,0.4,3,15.48,2.695,3,0,0,3,28,44,768.98,1,-0.059359139,47.8015,106.40992,23,24,0,36.7,299.4,I ,3:30:00,492.3,79.5,-3.6,328.4,-38.6,_ ,7,-43.457,,,,,,,,,,,,,,,,,,,,,,,
