Bolide Detection Notification: 2007-285

At 09:14:03 UT on 12 Oct 2007, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 88.5N, Lon 116.6E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 7.1E9 watts/steradian, and total radiated flash
energy  3.3E10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.199,  1.45e+09),
           (-0.196,  3.07e+09),
           (-0.192,  2.63e+09),
           (-0.189,  1.22e+09),
           (-0.186,  4.62e+08),
           (-0.182,  4.68e+08),
           (-0.179, -9.43e+07),
           (-0.175, -1.17e+09),
           (-0.172, -1.24e+09),
           (-0.169, -8.80e+08),
           (-0.165,  1.58e+09),
           (-0.162,  1.96e+09),
           (-0.159, -4.82e+08),
           (-0.155, -3.96e+08),
           (-0.152, -2.53e+08),
           (-0.148, -1.67e+09),
           (-0.145, -7.54e+08),
           (-0.142,  6.02e+08),
           (-0.138,  3.59e+08),
           (-0.135,  2.03e+09),
           (-0.132,  4.10e+09),
           (-0.128,  2.86e+09),
           (-0.125, -1.00e+09),
           (-0.121, -1.15e+09),
           (-0.118, -8.83e+08),
           (-0.115,  7.54e+08),
           (-0.111,  2.46e+08),
           (-0.108,  1.38e+09),
           (-0.105,  2.04e+09),
           (-0.101, -7.65e+08),
           (-0.098, -5.33e+08),
           (-0.094,  1.69e+08),
           (-0.091, -1.26e+09),
           (-0.088, -1.42e+08),
           (-0.084,  1.78e+09),
           (-0.081,  1.62e+09),
           (-0.078,  3.95e+08),
           (-0.074, -2.29e+09),
           (-0.071, -1.81e+09),
           (-0.067, -1.34e+09),
           (-0.064, -1.11e+09),
           (-0.061, -1.73e+09),
           (-0.057, -5.63e+08),
           (-0.054,  1.68e+09),
           (-0.051,  1.19e+09),
           (-0.047, -1.40e+09),
           (-0.044, -2.14e+09),
           (-0.040, -8.50e+08),
           (-0.037,  6.62e+08),
           (-0.034, -6.00e+07),
           (-0.030, -9.54e+08),
           (-0.027,  1.53e+09),
           (-0.024,  2.58e+09),
           (-0.020,  3.12e+09),
           (-0.017,  4.79e+09),
           (-0.013,  5.82e+09),
           (-0.010,  5.58e+09),
           (-0.007,  7.59e+09),
           (-0.003,  8.79e+09),
           (-0.000,  1.21e+10),
           ( 0.003,  1.36e+10),
           ( 0.007,  1.31e+10),
           ( 0.010,  1.31e+10),
           ( 0.014,  1.40e+10),
           ( 0.017,  1.44e+10),
           ( 0.020,  1.66e+10),
           ( 0.024,  1.84e+10),
           ( 0.027,  2.00e+10),
           ( 0.030,  2.10e+10),
           ( 0.034,  2.23e+10),
           ( 0.037,  2.31e+10),
           ( 0.041,  2.36e+10),
           ( 0.044,  2.28e+10),
           ( 0.047,  2.15e+10),
           ( 0.051,  2.28e+10),
           ( 0.054,  2.38e+10),
           ( 0.057,  2.35e+10),
           ( 0.061,  2.23e+10),
           ( 0.064,  2.10e+10),
           ( 0.068,  2.20e+10),
           ( 0.071,  2.16e+10),
           ( 0.074,  2.22e+10),
           ( 0.078,  2.18e+10),
           ( 0.081,  2.32e+10),
           ( 0.084,  2.36e+10),
           ( 0.088,  2.32e+10),
           ( 0.091,  2.40e+10),
           ( 0.095,  2.42e+10),
           ( 0.098,  2.52e+10),
           ( 0.101,  2.38e+10),
           ( 0.105,  2.43e+10),
           ( 0.108,  2.46e+10),
           ( 0.111,  2.57e+10),
           ( 0.115,  2.62e+10),
           ( 0.118,  2.58e+10),
           ( 0.122,  2.68e+10),
           ( 0.125,  2.65e+10),
           ( 0.128,  2.63e+10),
           ( 0.132,  2.59e+10),
           ( 0.135,  2.37e+10),
           ( 0.138,  2.23e+10),
           ( 0.142,  2.25e+10),
           ( 0.145,  2.19e+10),
           ( 0.149,  2.21e+10),
           ( 0.152,  2.31e+10),
           ( 0.155,  2.88e+10),
