Bolide Detection Notification: 2019-295

At 22:21:15 UT on 22 Oct 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 12.0N, Lon 76.0W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 6.19e+09 watts/steradian, and total radiated flash
energy 3.41e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.198,  1.44e+07),
           (-1.195, -1.13e+09),
           (-1.191,  1.20e+09),
           (-1.188,  1.14e+08),
           (-1.185,  2.12e+08),
           (-1.181, -1.24e+08),
           (-1.178,  3.27e+08),
           (-1.175, -1.10e+08),
           (-1.171,  7.59e+08),
           (-1.168,  6.70e+08),
           (-1.164,  6.24e+08),
           (-1.161, -3.37e+08),
           (-1.158,  1.74e+09),
           (-1.154,  3.75e+08),
           (-1.151, -6.11e+08),
           (-1.147, -7.45e+08),
           (-1.144, -9.92e+08),
           (-1.141, -5.76e+08),
           (-1.137,  1.93e+09),
           (-1.134,  4.27e+08),
           (-1.131,  1.01e+09),
           (-1.127,  1.90e+09),
           (-1.124,  3.81e+08),
           (-1.121,  8.88e+08),
           (-1.117,  2.99e+09),
           (-1.110, -1.27e+09),
           (-1.107,  3.61e+08),
           (-1.104, -2.91e+08),
           (-1.100, -3.12e+08),
           (-1.097,  5.12e+08),
           (-1.094,  6.21e+07),
           (-1.090, -1.23e+09),
           (-1.087,  4.13e+08),
           (-1.083,  8.39e+08),
           (-1.080, -6.31e+08),
           (-1.077,  4.97e+07),
           (-1.073, -7.65e+08),
           (-1.070,  7.16e+07),
           (-1.067,  1.34e+08),
           (-1.063, -5.29e+08),
           (-1.060, -1.67e+09),
           (-1.056, -1.84e+09),
           (-1.053, -1.92e+08),
           (-1.050, -4.59e+08),
           (-1.046, -8.48e+08),
           (-1.043,  3.29e+06),
           (-1.040,  4.28e+08),
           (-1.036, -7.81e+08),
           (-1.033, -4.89e+07),
           (-1.029,  2.66e+08),
           (-1.026, -2.08e+08),
           (-1.019,  8.19e+08),
           (-1.016,  3.30e+08),
           (-1.012, -3.65e+08),
           (-1.009, -1.43e+08),
           (-1.006,  1.40e+09),
           (-1.002, -4.63e+08),
           (-0.996,  1.95e+09),
           (-0.992,  7.83e+08),
           (-0.989,  7.97e+08),
           (-0.986,  1.26e+09),
           (-0.982,  2.61e+08),
           (-0.979,  8.62e+08),
           (-0.975,  7.28e+08),
           (-0.972,  1.37e+09),
           (-0.969,  1.55e+08),
           (-0.965, -4.23e+08),
           (-0.962,  4.47e+08),
           (-0.959,  2.46e+08),
           (-0.955, -5.92e+08),
           (-0.952,  1.09e+09),
           (-0.948, -5.68e+08),
           (-0.945, -2.22e+08),
           (-0.942,  2.22e+08),
           (-0.938, -3.54e+08),
           (-0.935, -4.80e+08),
           (-0.931, -1.22e+07),
           (-0.928, -1.78e+08),
           (-0.921,  6.04e+08),
           (-0.918, -6.51e+08),
           (-0.915, -1.38e+09),
           (-0.911, -1.71e+09),
           (-0.908,  1.35e+09),
           (-0.905, -1.46e+08),
           (-0.901, -1.06e+09),
           (-0.898,  4.87e+08),
           (-0.894, -9.27e+08),
           (-0.891,  2.32e+09),
           (-0.888, -4.31e+08),
           (-0.884, -2.22e+08),
           (-0.881, -1.50e+09),
           (-0.877,  6.26e+08),
           (-0.874, -5.81e+08),
           (-0.871, -8.60e+08),
           (-0.867,  6.96e+08),
           (-0.864, -7.31e+08),
           (-0.861, -1.21e+09),
           (-0.857,  1.85e+09),
           (-0.854,  1.76e+07),
           (-0.851,  1.78e+08),
           (-0.847,  1.46e+09),
           (-0.844, -1.45e+09),
           (-0.840,  8.20e+08),
           (-0.837,  3.45e+08),
           (-0.834, -1.06e+09),
           (-0.830, -7.40e+08),
           (-0.827, -1.03e+09),
           (-0.824,  1.49e+09),
           (-0.820, -1.72e+08),
           (-0.817, -7.75e+08),
           (-0.813, -2.68e+08),
           (-0.810, -7.44e+08),
           (-0.807,  7.12e+08),
           (-0.803, -7.68e+08),
           (-0.800, -1.86e+08),
           (-0.796, -3.58e+08),
           (-0.793, -1.10e+09),
           (-0.790,  1.48e+09),
           (-0.786, -5.14e+08),
           (-0.783,  3.07e+08),
           (-0.780, -4.62e+08),
           (-0.776, -6.72e+08),
