Bolide Detection Notification: 2010-314

At 08:26:35 UT on 10 Nov 2010, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 74.5 °N, Lon 77.7 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 1.97e+10 watts/steradian, and total radiated flash
energy 8.52e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.250,  1.35e+09),
           (-0.246,  5.22e+08),
           (-0.243,  1.07e+09),
           (-0.240,  7.82e+08),
           (-0.236,  2.74e+09),
           (-0.233,  1.07e+09),
           (-0.230, -2.79e+08),
           (-0.226,  1.71e+09),
           (-0.223, -8.95e+08),
           (-0.219,  1.19e+09),
           (-0.216, -1.14e+09),
           (-0.213,  6.68e+08),
           (-0.209,  2.55e+08),
           (-0.206, -5.34e+07),
           (-0.202,  6.72e+08),
           (-0.199,  6.39e+08),
           (-0.196,  8.14e+08),
           (-0.192,  1.16e+09),
           (-0.189,  1.23e+08),
           (-0.186,  2.69e+09),
           (-0.182,  1.17e+09),
           (-0.179,  2.31e+09),
           (-0.176,  3.84e+08),
           (-0.172, -1.19e+09),
           (-0.169, -1.73e+08),
           (-0.165, -3.30e+08),
           (-0.162, -3.85e+08),
           (-0.159, -7.52e+08),
           (-0.155, -1.46e+09),
           (-0.152, -1.13e+08),
           (-0.148,  2.67e+08),
           (-0.145,  8.08e+06),
           (-0.142,  5.56e+08),
           (-0.138,  7.49e+08),
           (-0.135, -4.91e+08),
           (-0.132, -4.76e+08),
           (-0.128,  7.60e+08),
           (-0.125, -4.19e+08),
           (-0.121, -2.94e+09),
           (-0.118,  1.60e+09),
           (-0.115,  2.02e+09),
           (-0.111,  7.49e+08),
           (-0.108,  2.97e+08),
           (-0.105, -6.37e+08),
           (-0.101,  8.97e+08),
           (-0.098,  2.18e+09),
           (-0.095, -1.48e+09),
           (-0.091, -3.16e+08),
           (-0.088, -3.78e+08),
           (-0.084,  3.06e+09),
           (-0.081, -4.10e+08),
           (-0.078,  1.94e+09),
           (-0.074,  6.59e+07),
           (-0.071,  1.41e+09),
           (-0.067,  1.20e+09),
           (-0.064,  1.71e+09),
           (-0.061,  1.51e+09),
           (-0.057,  1.06e+09),
           (-0.054,  1.34e+09),
           (-0.051,  2.86e+09),
           (-0.047,  3.91e+08),
           (-0.044,  1.39e+09),
           (-0.041,  3.23e+09),
           (-0.037,  1.51e+09),
           (-0.034,  2.73e+09),
           (-0.027,  1.95e+09),
           (-0.024,  4.15e+09),
           (-0.020,  3.51e+09),
           (-0.017,  5.43e+09),
           (-0.013,  2.45e+09),
           (-0.010,  2.70e+09),
           (-0.007,  4.00e+09),
           (-0.003,  4.84e+09),
           (-0.000,  5.54e+09),
           ( 0.003,  5.03e+09),
           ( 0.007,  6.86e+09),
           ( 0.010,  4.88e+09),
           ( 0.013,  6.24e+09),
           ( 0.017,  7.28e+09),
           ( 0.020,  6.23e+09),
           ( 0.024,  8.45e+09),
           ( 0.027,  8.09e+09),
           ( 0.030,  9.00e+09),
           ( 0.034,  7.01e+09),
           ( 0.037,  7.81e+09),
           ( 0.041,  8.19e+09),
           ( 0.044,  9.92e+09),
           ( 0.047,  9.65e+09),
           ( 0.051,  1.11e+10),
           ( 0.054,  9.07e+09),
           ( 0.057,  1.04e+10),
           ( 0.061,  1.03e+10),
           ( 0.064,  1.26e+10),
           ( 0.068,  1.35e+10),
           ( 0.071,  1.47e+10),
