Bolide Detection Notification: 2019-228

At 20:36:05 UT on 16 Aug 2019, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 38.9 °N, Lon 7.0 °E.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 6.94e+09 watts/steradian, and total radiated flash
energy 3.01e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-1.998, -1.27e+09),
           (-1.995, -1.23e+09),
           (-1.991,  1.85e+09),
           (-1.988,  3.27e+08),
           (-1.985,  1.54e+09),
           (-1.981, -2.97e+08),
           (-1.978, -5.54e+08),
           (-1.974, -2.53e+08),
           (-1.971, -3.48e+08),
           (-1.968,  1.61e+09),
           (-1.964, -4.25e+08),
           (-1.961,  3.41e+08),
           (-1.951, -7.94e+08),
           (-1.947, -2.76e+07),
           (-1.944, -1.43e+09),
           (-1.941, -1.46e+08),
           (-1.937, -6.62e+08),
           (-1.934,  7.02e+08),
           (-1.931, -2.00e+09),
           (-1.927, -9.23e+07),
           (-1.924,  2.51e+09),
           (-1.917, -7.45e+08),
           (-1.914,  8.55e+08),
           (-1.907, -2.07e+09),
           (-1.903,  2.28e+08),
           (-1.900, -1.29e+09),
           (-1.897,  3.99e+08),
           (-1.893,  7.62e+08),
           (-1.890,  4.88e+08),
           (-1.887,  9.61e+06),
           (-1.883,  5.37e+08),
           (-1.880,  7.46e+08),
           (-1.877, -1.58e+07),
           (-1.873, -1.44e+09),
           (-1.870, -3.15e+08),
           (-1.866, -5.60e+08),
           (-1.863, -4.92e+08),
           (-1.860,  1.08e+09),
           (-1.856,  4.56e+07),
           (-1.853, -3.50e+08),
           (-1.850, -2.40e+09),
           (-1.846,  5.61e+07),
           (-1.843, -6.20e+08),
           (-1.839, -7.56e+08),
           (-1.836,  1.59e+09),
           (-1.833, -3.35e+08),
           (-1.829,  5.95e+07),
           (-1.826,  9.93e+08),
           (-1.823, -1.98e+09),
           (-1.816, -7.31e+08),
           (-1.812,  7.08e+08),
           (-1.809,  1.21e+09),
           (-1.806, -1.65e+08),
           (-1.802, -4.56e+08),
           (-1.799,  2.51e+08),
           (-1.796,  4.01e+08),
           (-1.789, -1.08e+09),
           (-1.785,  7.57e+08),
           (-1.782, -1.16e+09),
           (-1.779, -7.00e+08),
           (-1.775,  1.02e+09),
           (-1.772, -4.93e+08),
           (-1.768, -7.53e+07),
           (-1.765,  1.97e+09),
           (-1.762,  2.86e+09),
           (-1.758,  7.69e+08),
           (-1.752, -5.37e+08),
           (-1.748, -6.28e+08),
           (-1.745, -2.94e+08),
           (-1.742, -8.11e+08),
           (-1.738, -5.78e+08),
           (-1.735, -7.73e+08),
           (-1.731, -2.32e+09),
           (-1.728,  7.30e+08),
           (-1.725,  1.07e+09),
           (-1.721,  1.24e+08),
           (-1.718, -1.06e+07),
           (-1.714, -5.29e+08),
           (-1.711, -2.84e+08),
           (-1.708,  1.70e+08),
           (-1.704,  1.38e+09),
           (-1.701, -8.81e+08),
           (-1.698, -8.27e+08),
           (-1.694, -2.30e+09),
           (-1.691, -2.08e+09),
           (-1.688, -1.47e+09),
           (-1.684, -3.61e+08),
           (-1.681, -7.38e+08),
           (-1.677,  1.41e+08),
           (-1.674, -5.25e+08),
           (-1.671,  1.03e+09),
           (-1.667, -4.20e+08),
           (-1.664,  9.96e+08),
           (-1.661, -1.54e+09),
           (-1.657, -5.16e+08),
           (-1.654, -7.77e+08),
           (-1.650,  1.65e+09),
           (-1.647, -4.58e+07),
           (-1.644,  6.80e+08),
           (-1.640, -1.10e+09),
           (-1.637,  2.82e+08),
           (-1.633, -6.81e+08),
           (-1.630,  4.65e+07),
           (-1.627,  1.99e+09),
           (-1.620, -1.87e+07),
           (-1.617, -2.72e+08),
           (-1.613,  8.25e+08),
           (-1.610,  8.07e+08),
           (-1.607, -1.73e+09),
           (-1.600,  1.26e+08),
           (-1.596,  2.00e+09),
           (-1.593, -2.82e+08),
           (-1.590, -1.96e+08),
           (-1.583,  6.51e+08),
           (-1.579,  1.80e+09),
           (-1.576, -1.36e+09),
           (-1.573,  3.15e+07),
           (-1.569,  3.52e+08),
           (-1.566, -3.66e+08),
           (-1.563, -5.63e+08),
           (-1.559,  9.79e+08),
           (-1.556,  1.76e+09),
           (-1.552,  9.79e+08),
           (-1.549,  1.31e+09),
           (-1.546,  6.82e+08),
           (-1.542,  8.42e+08),
           (-1.539, -1.05e+09),
           (-1.536,  1.07e+09),
           (-1.532, -5.63e+08),
           (-1.529,  1.17e+09),
           (-1.526, -1.26e+09),
           (-1.515,  2.49e+09),
           (-1.512,  1.05e+09),
           (-1.509,  8.11e+08),
           (-1.505,  2.08e+09),
           (-1.502,  2.39e+09),
           (-1.498, -1.65e+08),
           (-1.495,  1.40e+09),
           (-1.492,  1.53e+09),
           (-1.488,  7.13e+08),
           (-1.485,  3.94e+08),
           (-1.482,  2.01e+09),
           (-1.478, -7.01e+08),
           (-1.475,  2.45e+09),
           (-1.472,  7.34e+08),
           (-1.468, -2.29e+08),
           (-1.465, -7.12e+08),
           (-1.461, -2.05e+08),
           (-1.458,  6.21e+08),
           (-1.455, -3.70e+07),
           (-1.451, -1.97e+07),
           (-1.448, -6.04e+08),
           (-1.444,  1.62e+08),
           (-1.441, -1.50e+08),
           (-1.438,  1.05e+09),
