Bolide Detection Notification: 2013-207

At 11:32:26 UT on 26 Jul 2013, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 21.0 °N, Lon 178.5 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 8.71e+09 watts/steradian, and total radiated flash
energy 2.01e+10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999,  9.27e+08),
           (-0.996,  1.12e+09),
           (-0.992, -6.14e+08),
           (-0.989, -9.11e+08),
           (-0.986, -1.83e+09),
           (-0.979,  3.40e+08),
           (-0.975,  4.88e+08),
           (-0.972,  1.26e+09),
           (-0.969,  1.05e+09),
           (-0.965, -2.40e+08),
           (-0.962, -3.60e+08),
           (-0.959,  1.06e+09),
           (-0.955, -8.62e+08),
           (-0.952,  1.40e+09),
           (-0.948, -6.64e+08),
           (-0.945, -2.78e+08),
           (-0.942, -1.67e+08),
           (-0.938, -6.37e+08),
           (-0.935,  1.08e+09),
           (-0.931, -3.05e+07),
           (-0.925,  9.10e+08),
           (-0.921, -2.20e+08),
           (-0.918, -1.19e+08),
           (-0.915, -3.84e+08),
           (-0.911,  3.98e+08),
           (-0.908,  5.39e+08),
           (-0.905, -2.94e+08),
           (-0.901, -9.47e+08),
           (-0.898, -4.92e+07),
           (-0.894, -2.66e+09),
           (-0.891, -6.43e+08),
           (-0.888, -3.88e+08),
           (-0.884, -1.16e+09),
           (-0.881, -3.56e+08),
           (-0.878,  1.01e+09),
           (-0.874, -6.29e+08),
           (-0.871,  1.05e+09),
           (-0.867, -2.05e+09),
           (-0.864,  4.30e+08),
           (-0.861,  8.67e+08),
           (-0.857, -6.04e+07),
           (-0.854, -2.09e+09),
           (-0.851, -6.02e+08),
           (-0.847,  2.00e+08),
           (-0.844, -1.96e+08),
           (-0.840,  1.41e+08),
           (-0.837, -1.52e+09),
           (-0.834, -6.74e+08),
           (-0.830,  4.38e+08),
           (-0.827, -5.09e+08),
           (-0.824, -5.68e+08),
           (-0.820, -1.36e+09),
           (-0.817, -1.19e+09),
           (-0.813, -8.14e+08),
           (-0.810,  1.47e+09),
           (-0.803,  9.28e+08),
           (-0.800,  8.90e+08),
           (-0.797,  1.77e+09),
           (-0.793,  7.72e+08),
           (-0.790, -9.52e+08),
           (-0.786, -1.42e+09),
           (-0.783, -8.39e+08),
           (-0.780, -1.04e+07),
           (-0.776, -1.74e+09),
           (-0.773,  1.62e+09),
           (-0.770, -1.75e+09),
           (-0.763, -2.43e+08),
           (-0.759, -7.33e+08),
