Bolide Detection Notification: 2017-349

At 07:49:14 UT on 19 Nov 2017, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash  was Lat 60.2N, Lon 170.0E.

 Based upon the visible-light intensity-time signature, peak brightness of the flash
was  determined to be approximately 1.07e12 watts/steradian, and total radiated flash
energy  383e10 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.432,  2.02e+11),
           (-0.429,  2.01e+11),
           (-0.425,  2.01e+11),
           (-0.422,  2.01e+11),
           (-0.418,  2.01e+11),
           (-0.415,  2.00e+11),
           (-0.412,  2.00e+11),
           (-0.408,  2.01e+11),
           (-0.405,  2.01e+11),
           (-0.402,  2.01e+11),
           (-0.398,  2.01e+11),
           (-0.395,  2.01e+11),
           (-0.392,  2.00e+11),
           (-0.388,  2.00e+11),
           (-0.385,  2.01e+11),
           (-0.381,  2.01e+11),
           (-0.378,  2.00e+11),
           (-0.375,  2.02e+11),
           (-0.371,  2.02e+11),
           (-0.368,  2.00e+11),
           (-0.364,  2.01e+11),
           (-0.361,  2.00e+11),
           (-0.358,  2.02e+11),
           (-0.354,  2.02e+11),
           (-0.351,  2.02e+11),
           (-0.348,  2.02e+11),
           (-0.344,  2.02e+11),
           (-0.341,  2.02e+11),
           (-0.338,  2.02e+11),
           (-0.334,  2.01e+11),
           (-0.331,  2.01e+11),
           (-0.327,  2.01e+11),
           (-0.324,  2.02e+11),
           (-0.321,  2.02e+11),
           (-0.317,  2.02e+11),
           (-0.314,  2.02e+11),
           (-0.310,  2.00e+11),
           (-0.307,  2.03e+11),
           (-0.304,  2.02e+11),
           (-0.300,  2.02e+11),
           (-0.297,  2.02e+11),
           (-0.294,  2.02e+11),
           (-0.290,  2.00e+11),
           (-0.287,  2.02e+11),
           (-0.284,  2.03e+11),
           (-0.280,  2.03e+11),
           (-0.277,  2.02e+11),
           (-0.273,  2.03e+11),
           (-0.270,  2.03e+11),
           (-0.267,  2.03e+11),
           (-0.263,  2.02e+11),
           (-0.260,  2.02e+11),
           (-0.257,  2.03e+11),
           (-0.253,  2.02e+11),
           (-0.250,  2.02e+11),
           (-0.246,  2.02e+11),
           (-0.243,  2.02e+11),
           (-0.240,  2.01e+11),
           (-0.236,  2.01e+11),
           (-0.233,  2.02e+11),
           (-0.229,  2.02e+11),
