Bolide Detection Notification: 2020-297

At 20:51:38 UT on 23 Oct 2020, sensors aboard U. S. Government satellites recorded
the flash signature of a large meteoroid entry into the atmosphere. Location of the
flash was Lat 30.0 °N, Lon 71.9 °W.

Based upon the visible-light intensity-time signature, peak brightness of the flash
was determined to be approximately 3.99e+10 watts/steradian, and total radiated flash
energy 4.27e+11 joules (6000K blackbody model).

Columns: time, intensity (w/sr)
Intensity=[(-0.999, -1.11e+09),
           (-0.996, -4.22e+07),
           (-0.992,  1.81e+09),
           (-0.989,  1.45e+08),
           (-0.986, -6.39e+08),
           (-0.982,  2.97e+08),
           (-0.979,  1.72e+09),
           (-0.975,  9.45e+08),
           (-0.972, -1.21e+09),
           (-0.969,  4.68e+08),
           (-0.962, -6.49e+07),
           (-0.958, -1.96e+09),
           (-0.952,  8.17e+08),
           (-0.948,  4.11e+08),
           (-0.945, -1.89e+08),
           (-0.942, -2.72e+09),
           (-0.938, -1.51e+09),
           (-0.935,  1.42e+09),
           (-0.928, -2.38e+09),
           (-0.925, -4.99e+08),
           (-0.921, -8.58e+08),
           (-0.918,  3.27e+08),
           (-0.915,  4.98e+08),
           (-0.911,  9.54e+08),
           (-0.908,  2.09e+09),
           (-0.904, -9.91e+07),
           (-0.901,  1.28e+09),
           (-0.898, -1.95e+08),
           (-0.894,  8.25e+08),
           (-0.888, -9.49e+08),
           (-0.884, -1.30e+09),
           (-0.881,  1.11e+09),
           (-0.877, -3.27e+08),
           (-0.874,  6.45e+08),
           (-0.871, -1.08e+09),
           (-0.867,  4.67e+08),
           (-0.864, -1.06e+09),
           (-0.861,  9.70e+08),
           (-0.857, -4.69e+08),
           (-0.854,  1.38e+09),
           (-0.851,  1.53e+09),
           (-0.840, -6.39e+08),
           (-0.837,  1.29e+09),
           (-0.834,  1.89e+09),
           (-0.827, -1.35e+08),
           (-0.820, -1.04e+09),
           (-0.817,  6.31e+08),
           (-0.813, -1.33e+07),
           (-0.807,  1.70e+09),
           (-0.803, -1.84e+09),
           (-0.800,  9.90e+08),
           (-0.793, -3.49e+08),
           (-0.790,  1.66e+09),
           (-0.786,  9.00e+08),
           (-0.783,  5.19e+09),
           (-0.780,  1.75e+09),
           (-0.776,  1.53e+09),
           (-0.773, -8.07e+07),
           (-0.769,  2.40e+09),
           (-0.766,  2.86e+09),
           (-0.763, -3.07e+08),
           (-0.759,  6.02e+08),
           (-0.756,  8.64e+08),
           (-0.753, -6.27e+08),
           (-0.749, -3.74e+08),
           (-0.746,  2.93e+08),
           (-0.742,  1.91e+09),
           (-0.739, -6.38e+08),
           (-0.736, -6.11e+08),
           (-0.732, -4.13e+08),
           (-0.729,  1.40e+09),
           (-0.726,  1.85e+08),
           (-0.722,  1.09e+09),
           (-0.719,  3.62e+09),
           (-0.716,  2.65e+09),
           (-0.712,  2.44e+09),
           (-0.709,  1.63e+09),
           (-0.705, -1.94e+08),
           (-0.702,  1.32e+09),
           (-0.699,  1.08e+09),
           (-0.695,  4.41e+07),
           (-0.692,  2.07e+09),
           (-0.689,  2.40e+09),
           (-0.685,  1.83e+09),
           (-0.682, -3.06e+07),
           (-0.678,  7.72e+08),
           (-0.675, -4.49e+08),
           (-0.672, -7.98e+08),
           (-0.668,  1.62e+09),
           (-0.665,  2.02e+09),
           (-0.661, -2.21e+07),
           (-0.658, -4.88e+08),
           (-0.655, -1.49e+09),
           (-0.651,  2.69e+09),
           (-0.648,  3.89e+08),
           (-0.641,  1.60e+09),
           (-0.638,  2.66e+09),
           (-0.634,  2.87e+08),
           (-0.631, -2.82e+08),
           (-0.628,  8.50e+08),
           (-0.624,  6.98e+08),
           (-0.621, -4.64e+08),
           (-0.618, -5.40e+08),
           (-0.614,  1.51e+09),
           (-0.611,  8.67e+08),
           (-0.607,  2.14e+09),
           (-0.604,  1.09e+09),
           (-0.601,  2.15e+09),
           (-0.594, -6.31e+08),
           (-0.591,  7.62e+08),
           (-0.587,  1.50e+09),
           (-0.580,  1.08e+07),
           (-0.577,  2.17e+09),
           (-0.574,  2.53e+09),
           (-0.570,  1.09e+09),
           (-0.567,  7.88e+08),
           (-0.564,  6.12e+09),
           (-0.557,  2.30e+09),
           (-0.553,  1.83e+09),
           (-0.550, -1.08e+09),
           (-0.547,  3.37e+08),
           (-0.543,  1.02e+09),
           (-0.540,  3.07e+09),
           (-0.537, -3.24e+08),
           (-0.533,  1.52e+09),
           (-0.530,  1.31e+09),
           (-0.523,  2.40e+09),
           (-0.520,  1.00e+09),
           (-0.516, -1.27e+09),
           (-0.513,  1.04e+09),
           (-0.510, -9.21e+08),
           (-0.506,  1.64e+09),
           (-0.503, -1.02e+09),
           (-0.500, -3.34e+08),
           (-0.496,  2.36e+09),
           (-0.493,  2.72e+09),
           (-0.489,  8.14e+08),
           (-0.486,  1.92e+09),
           (-0.483,  2.28e+08),
           (-0.479,  1.57e+09),
           (-0.476, -2.04e+08),
           (-0.473,  1.88e+09),
           (-0.469,  1.88e+09),
           (-0.466,  4.16e+09),
           (-0.459,  1.20e+09),
           (-0.456,  1.47e+08),
           (-0.452, -9.64e+07),
           (-0.449,  5.12e+08),
           (-0.445,  1.53e+09),
           (-0.442,  1.32e+09),
           (-0.439,  2.36e+09),
           (-0.435,  1.87e+09),
           (-0.432,  2.06e+09),
           (-0.429, -3.53e+06),
           (-0.425,  6.86e+08),
           (-0.422,  2.50e+08),
           (-0.418,  3.32e+08),
           (-0.415,  2.53e+09),
           (-0.412,  3.21e+09),
           (-0.408,  2.47e+08),
           (-0.405,  3.89e+08),
           (-0.402,  1.89e+08),
           (-0.398,  1.32e+09),
           (-0.395,  5.94e+09),
           (-0.391,  4.21e+09),
           (-0.388,  5.87e+09),
           (-0.385,  5.12e+09),
           (-0.381,  2.93e+09),
           (-0.378,  3.99e+09),
           (-0.375,  1.85e+09),
           (-0.371,  1.36e+09),
           (-0.368,  2.88e+08),
           (-0.365,  1.25e+09),
           (-0.361,  1.13e+09),
           (-0.358,  1.94e+09),
           (-0.354,  2.28e+09),
           (-0.351,  2.29e+09),
           (-0.348,  1.77e+09),
           (-0.344, -2.12e+07),
           (-0.341,  2.25e+08),
           (-0.337,  2.00e+09),
           (-0.334,  5.18e+08),
           (-0.331,  2.14e+09),
           (-0.327,  1.18e+09),
           (-0.321,  2.00e+09),
           (-0.317,  2.30e+09),
           (-0.314,  6.97e+09),
           (-0.310,  3.04e+09),
           (-0.307,  3.27e+09),
           (-0.304,  8.89e+08),
           (-0.300, -7.09e+07),
           (-0.297,  2.02e+09),
           (-0.294,  1.45e+09),
           (-0.290,  4.09e+09),
           (-0.287,  1.25e+09),
           (-0.284,  6.55e+09),
           (-0.277,  5.23e+09),
           (-0.273,  1.59e+09),
           (-0.270,  6.01e+09),
           (-0.267,  2.49e+09),
           (-0.263,  1.32e+09),
           (-0.256,  2.17e+09),
           (-0.253,  4.04e+09),
           (-0.250,  1.29e+09),
           (-0.246,  6.10e+08),
           (-0.243,  7.34e+08),
           (-0.240,  1.20e+09),
           (-0.236,  1.40e+09),
           (-0.233,  3.68e+09),
           (-0.223,  6.77e+09),
           (-0.219,  4.08e+09),
           (-0.209,  1.89e+10),
           (-0.206,  1.56e+10),
           (-0.202,  2.28e+09),
           (-0.199,  3.86e+09),
           (-0.196,  4.32e+09),
           (-0.192,  3.43e+09),
           (-0.182,  6.12e+09),
           (-0.179,  2.44e+09),
           (-0.175,  3.26e+09),
           (-0.172,  2.61e+09),
           (-0.169,  6.42e+09),
           (-0.165,  7.16e+09),
           (-0.162,  1.12e+10),
           (-0.159,  9.06e+09),
           (-0.155,  5.84e+09),
           (-0.152,  4.58e+09),
           (-0.148,  2.10e+09),
           (-0.142,  4.77e+09),
           (-0.135,  2.17e+09),
           (-0.132,  7.44e+09),
           (-0.125,  2.60e+09),
           (-0.121,  2.42e+09),
           (-0.118,  4.97e+09),
